66.5,30977,542,0,816,7324,7932,5915,
67.5,42585,1172,2,1514,11934,11441,8078,
68.5,58007,2378,8,2762,19212,16473,10932,
69.5,78277,4553,28,4945,30517,23664,14669,
70.5,104620,8266,94,8683,47748,33882,19531,
71.5,138463,14297,279,14934,73456,48286,25824,
72.5,181424,23672,741,25129,110900,68373,33935,
73.5,235297,37683,1778,41301,164012,96014,44328,
74.5,302018,57917,3898,66204,237209,133449,57529,
75.5,383608,86264,7874,103347,335031,183225,74070,
76.5,482101,124938,14781,156883,461597,248060,94410,
77.5,599454,176485,25996,231301,619956,330638,118829,
78.5,737438,243794,43167,330879,811435,433343,147325,
79.5,897518,330100,68172,458956,1035152,557980,179531,
80.5,1080728,438985,103091,617124,1287828,705551,214667,
81.5,1287553,574373,150223,804563,1563970,876136,251547,
82.5,1517822,740519,212147,1017710,1856437,1068927,288637,
83.5,1770627,942003,291865,1250432,2157264,1282438,324176,
84.5,2044278,1183705,392984,1494728,2458576,1514854,356340,
85.5,2336308,1470774,519957,1741819,2753427,1764457,383446,
86.5,2643522,1808563,678348,1983392,3036406,2030046,404193,
87.5,2962101,2202504,875117,2212716,3303959,2311279,417917,
88.5,3287759,2657902,1118868,2425404,3554404,2608867,424917,
89.5,3615925,3179582,1420045,2619732,3787728,2924602,426882,
90.5,3941963,3771376,1790975,2796528,4005222,3261213,427479,
91.5,4261389,4435398,2245680,2958756,4209056,3622056,432968,
92.5,4570081,5171114,2799300,3110940,4401868,4010661,452191,
93.5,4864454,5974237,3466992,3258567,4586395,4430129,494849,
94.5,5141595,6835557,4262155,3407569,4765189,4882413,568136,
95.5,5399347,7739873,5193913,3563920,4940412,5367493,674337,
96.5,5636334,8665290,6263936,3733363,5113706,5882526,811167,
97.5,5851932,9583163,7462937,3921226,5286136,6421079,973281,
98.5,6046203,10458977,8767460,4132317,5458171,6972626,1153153,
99.5,6219783,11254339,10137860,4370839,5629726,7522509,1341256,
100.5,6373749,11930061,11518459,4640299,5800217,8052557,1526146,
101.5,6509488,12450047,12840675,4943404,5968651,8542453,1694912,
102.5,6628547,12785437,14029319,5281911,6133725,8971788,1834164,
103.5,6732513,12918271,15011418,5656443,6293933,9322516,1931497,
104.5,6822899,12843946,15726018,6066275,6447679,9581363,1977197,
105.5,6901055,12571921,16132898,6509110,6593372,9741671,1965813,
106.5,6968110,12124507,16218137,6980874,6729521,9804230,1897243,
107.5,7024931,11533985,15995299,7475558,6854801,9776915,1777133,
108.5,7072116,10838656,15502085,7985152,6968105,9673223,1616584,
109.5,7110001,10078586,14793505,8499710,7068569,9510074,1431432,
110.5,7138697,9291780,13933368,9007562,7155575,9305397,1241437,
111.5,7158138,8511314,12985975,9495706,7228733,9075973,1069428,
112.5,7168141,7763638,12009492,9950366,7287855,8835898,939184,
113.5,7168477,7068041,11051762,10357697,7332906,8595776,868972,
114.5,7158948,6437019,10148568,10704579,7363961,8362615,861059,
115.5,7139455,5877254,9323891,10979444,7381162,8140241,898916,
116.5,7110059,5390869,8591464,11173031,7384678,7930020,958427,
117.5,7071039,4976733,7956919,11279026,7374676,7731679,1019510,
118.5,7022925,4631624,7420029,11294470,7351312,7544072,1069392,
119.5,6966518,4351190,6976676,11219933,7314721,7365808,1101265,
120.5,6902888,4130662,6620405,11059407,7265039,7195680,1112299,
121.5,6833356,3965348,6343528,10819948,7202419,7032920,1102166,
122.5,6759460,3850931,6137812,10511115,7127068,6877277,1072069,
123.5,6682909,3783623,5994837,10144270,7039283,6728984,1024127,
124.5,6605523,3760195,5906114,9731819,6939485,6588627,960960,
125.5,6529177,3777922,5863038,9286460,6828258,6456971,885413,
126.5,6455738,3834470,5856769,8820528,6706372,6334776,800365,
127.5,6387012,3927725,5878100,8345445,6574799,6222616,708614,
128.5,6324687,4055587,5917385,7871331,6434710,6120740,612819,
129.5,6270294,4215740,5964579,7406770,6287470,6028971,515526,
130.5,6225173,4405407,6009419,6958707,6134607,5946663,419317,
