NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,2019-08-26_Pexo_plasma_qEV_conc.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
Mode,129.7,106.6,109.4,149.4,110.9,69.3,74.2,69.3,65.8,82.2,72.7,77.8,73.2,87.7,78.0,90.4,6.5
SD,72.6,66.7,69.3,65.5,54.1,23.7,23.3,23.0,39.3,29.1,30.4,57.0,59.1,27.7,33.6,45.0,4.9
D10,100.0,100.3,100.3,97.1,99.7,60.9,64.4,63.5,61.1,62.0,66.3,64.9,67.1,65.8,64.4,75.8,4.5
D50,134.7,148.8,141.3,144.3,139.4,76.1,77.4,72.9,76.7,80.0,81.3,79.4,78.9,84.8,82.3,99.9,8.0
D90,247.2,262.1,256.4,258.0,207.6,118.4,115.1,102.4,109.8,106.1,123.1,119.2,142.2,121.3,119.5,160.6,16.6
Valid Tracks,3134.0,2749.0,2734.0,2756.0,2636.0,2250.0,2003.0,1887.0,1747.0,1551.0,1476.0,1607.0,1369.0,1278.0,1301.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
