67.5,0,0,1021,36,8,213,202,
68.5,0,0,1735,87,15,368,342,
69.5,0,0,2875,205,30,622,565,
70.5,0,0,4646,463,58,1033,907,
71.5,0,0,7331,1002,109,1688,1423,
72.5,0,1,11304,2076,197,2716,2182,
73.5,0,4,17052,4111,347,4303,3280,
74.5,0,12,25188,7780,595,6715,4847,
75.5,3,35,36474,14070,996,10315,7061,
76.5,9,91,51826,24333,1629,15577,10167,
77.5,28,226,72328,40289,2602,23095,14482,
78.5,86,527,99231,63965,4070,33576,20394,
79.5,251,1160,133934,97567,6239,47830,28337,
80.5,695,2409,177956,143296,9387,66749,38742,
81.5,1830,4739,232885,203138,13879,91294,51984,
82.5,4571,8858,300298,278670,20189,122517,68297,
83.5,10807,15786,381651,370914,28926,161617,87703,
84.5,24146,26936,478153,480253,40860,210070,109910,
85.5,50887,44181,590611,606429,56948,269811,134233,
86.5,101027,69937,719269,748587,78371,343438,159565,
87.5,188796,107245,863663,905356,106548,434321,184514,
88.5,332053,159854,1022505,1074949,143159,546504,207847,
89.5,549954,232292,1193617,1255255,190143,684252,229341,
90.5,858830,329893,1373954,1443914,249668,851252,250823,
91.5,1267150,458747,1559706,1638393,324080,1049615,276559,
92.5,1771187,625505,1746487,1836042,415793,1279003,311711,
93.5,2353198,836989,1929609,2034156,527140,1536219,358979,
94.5,2983144,1099565,2104392,2230042,660168,1815462,416296,
95.5,3623622,1418242,2266493,2421088,816381,2109165,477718,
96.5,4236476,1795577,2412205,2604838,996467,2409113,536170,
97.5,4789026,2230494,2538695,2779067,1200008,2707458,585937,
98.5,5258310,2717244,2644143,2941839,1425240,2997355,624090,
99.5,5632630,3244777,2727802,3091561,1668891,3273132,650845,
100.5,5910705,3796792,2789937,3227008,1926148,3530118,668983,
101.5,6099268,4352641,2831708,3347328,2190784,3764346,682560,
102.5,6210094,4889077,2854985,3452028,2455456,3972328,695273,
103.5,6257237,5382630,2862140,3540943,2712159,4151022,709110,
104.5,6254877,5812207,2855835,3614198,2952792,4297982,723851,
105.5,6215938,6161422,2838834,3672162,3169767,4411625,737564,
106.5,6151378,6420230,2813846,3715413,3356587,4491491,747665,
107.5,6069985,6585582,2783400,3744702,3508313,4538396,751923,
108.5,5978520,6661090,2749771,3760928,3621871,4554436,749071,
109.5,5882019,6655867,2714934,3765128,3696163,4542822,738959,
110.5,5784166,6582867,2680551,3758465,3731987,4507607,722400,
111.5,5687663,6457090,2647979,3742223,3731800,4453351,700864,
112.5,5594531,6293935,2618293,3717803,3699366,4384786,676147,
113.5,5506361,6107911,2592325,3686711,3639351,4306532,650091,
114.5,5424480,5911769,2570695,3650545,3556907,4222879,624379,
115.5,5350051,5716049,2553856,3610975,3457309,4137648,600413,
116.5,5284121,5528962,2542124,3569712,3345648,4054113,579257,
117.5,5227622,5356500,2535720,3528479,3226606,3974986,561632,
118.5,5181344,5202692,2534789,3488973,3104322,3902424,547936,
119.5,5145882,5069908,2539432,3452835,2982314,3838074,538283,
120.5,5121577,4959167,2549719,3421615,2863477,3783111,532553,
121.5,5108456,4870412,2565706,3396747,2750108,3738286,530432,
122.5,5106163,4802736,2587441,3379524,2643970,3703967,531457,
123.5,5113905,4754551,2614973,3371080,2546365,3680175,535051,
124.5,5130401,4723719,2648349,3372375,2458216,3666612,540547,
125.5,5153846,4707640,2687612,3384184,2380141,3662685,547208,
126.5,5181895,4703321,2732797,3407080,2312528,3667524,554245,
127.5,5211670,4707436,2783918,3441419,2255595,3680008,560823,
128.5,5239804,4716390,2840961,3487324,2209442,3698784,566082,
129.5,5262525,4726394,2903865,3544661,2174090,3722307,569159,
130.5,5275780,4733561,2972513,3613010,2149517,3748876,569218,
131.5,5275412,4734032,3046712,3691636,2135676,3776694,565495,
132.5,5257381,4724114,3126178,3779460,2132509,3803928,557353,
133.5,5218001,4700449,3210519,3875029,2139956,3828791,544346,
134.5,5154206,4660176,3299224,3976499,2157950,3849611,526295,
135.5,5063791,4601086,3391650,4081627,2186413,3864913,503367,
136.5,4945611,4521762,3487012,4187781,2225242,3873481,476160,
137.5,4799724,4421661,3584381,4291978,2274289,3874407,445789,
138.5,4627429,4301156,3682691,4390948,2333339,3867113,413966,
139.5,4431224,4161511,3780740,4481221,2402080,3851355,383051,
140.5,4214652,4004796,3877214,4559255,2480075,3827198,356006,
141.5,3982076,3833745,3970708,4621571,2566727,3794965,336099,
142.5,3738390,3651582,4059757,4664922,2661250,3755180,326197,
143.5,3488708,3461814,4142877,4686450,2762639,3708498,327787,
144.5,3238062,3268030,4218606,4683847,2869650,3655639,340333,
145.5,2991131,3073708,4285551,4655491,2980783,3597333,361603,
146.5,2752038,2882057,4342436,4600542,3094286,3534272,388647,
147.5,2524202,2695896,4388144,4519007,3208169,3467084,418670,
148.5,2310279,2517575,4421764,4411741,3320235,3396319,449449,
149.5,2112155,2348945,4442619,4280406,3428129,3322451,479382,
150.5,1931000,2191357,4450291,4127381,3529409,3245888,507394,
151.5,1767354,2045697,4444640,3955630,3621625,3166989,532790,
152.5,1621240,1912438,4425798,3768547,3702411,3086087,555142,
153.5,1492282,1791706,4394164,3569784,3769583,3003504,574183,
154.5,1379826,1683348,4350385,3363077,3821232,2919573,589745,
155.5,1283042,1587001,4295321,3152088,3855811,2834653,601715,
156.5,1201022,1502154,4230013,2940267,3872204,2749132,610018,
157.5,1132851,1428201,4155640,2730739,3869770,2663440,614611,
158.5,1077672,1364485,4073475,2526228,3848373,2578046,615491,
159.5,1034732,1310335,3984839,2329008,3808372,2493457,612696,
160.5,1003416,1265090,3891062,2140888,3750599,2410211,606320,
161.5,983272,1228118,3793445,1963219,3676303,2328871,596513,
162.5,974034,1198827,3693227,1796922,3587086,2250019,583482,
163.5,975631,1176676,3591558,1642533,3484819,2174243,567491,
164.5,988200,1161173,3489482,1500251,3371558,2102133,548848,
165.5,1012094,1151877,3387921,1370001,3249456,2034270,527909,
166.5,1047885,1148398,3287666,1251481,3120687,1971224,505070,
167.5,1096370,1150395,3189379,1144225,2987369,1913547,480774,
168.5,1158559,1157570,3093590,1047643,2851505,1861773,455531,
169.5,1235667,1169667,3000705,961071,2714940,1816410,429945,
170.5,1329087,1186469,2911017,883799,2579327,1777940,404776,
171.5,1440345,1207795,2824707,815106,2446106,1746812,381012,
