46.5,0,0,0,0,0,0,0,
47.5,0,0,0,2,0,0,0,
48.5,0,0,0,3,0,0,0,
49.5,0,1,0,5,0,1,1,
50.5,0,3,0,9,0,2,2,
51.5,0,6,0,15,1,5,3,
52.5,0,14,5,25,4,9,4,
53.5,0,31,28,40,13,22,7,
54.5,0,71,119,64,38,58,20,
55.5,0,158,411,101,105,155,69,
56.5,0,347,1179,159,263,390,206,
57.5,0,745,2886,247,616,899,514,
58.5,2,1556,6146,379,1347,1886,1104,
59.5,7,3149,11606,578,2769,3622,2086,
60.5,22,6147,19783,875,5370,6440,3546,
61.5,62,11550,30932,1315,9872,10746,5532,
62.5,161,20848,45017,1962,17255,17049,8092,
63.5,389,36118,61778,2908,28756,25990,11356,
64.5,883,60056,80865,4284,45802,38378,15650,
65.5,1890,95922,101977,6270,69870,55186,21561,
66.5,3835,147379,124963,9118,102274,77514,29877,
67.5,7407,218249,149882,13175,143909,106524,41412,
68.5,13668,312209,177009,18909,195012,143361,56841,
69.5,24181,432472,206824,26951,254979,189081,76608,
70.5,41138,581501,239973,38139,322317,244614,100893,
71.5,67480,760750,277235,53569,394754,310758,129615,
72.5,106981,970467,319468,74654,469478,388209,162444,
73.5,164258,1209549,367557,103189,543485,477608,198817,
74.5,244693,1475469,422356,141413,613934,579573,237977,
75.5,354225,1764273,484607,192060,678466,694726,279012,
76.5,499007,2070685,554865,258388,735411,823671,320939,
77.5,684943,2388336,633408,344172,783882,966948,362800,
78.5,917121,2710102,720173,453632,823752,1124956,403803,
79.5,1199219,3028562,814711,591276,855546,1297863,443475,
80.5,1532959,3336502,916192,761627,880290,1485514,481811,
81.5,1917690,3627437,1023473,968826,899336,1687352,519373,
82.5,2350181,3896053,1135220,1216087,914216,1902352,557282,
83.5,2824672,4138535,1250083,1505051,926515,2128971,597075,
84.5,3333179,4352734,1366894,1835069,937784,2365132,640408,
85.5,3866033,4538164,1484863,2202529,949496,2608217,688646,
86.5,4412556,4695852,1603736,2600354,963017,2855103,742456,
87.5,4961800,4828071,1723895,3017813,979618,3102239,801528,
88.5,5503237,4938015,1846393,3440786,1000494,3345785,864505,
89.5,6027319,5029457,1972922,3852564,1026793,3581811,929143,
90.5,6525857,5106419,2105735,4235144,1059665,3806564,992626,
91.5,6992207,5172906,2247534,4570917,1100297,4016772,1051973,
92.5,7421257,5232683,2401337,4844474,1149967,4209944,1104438,
93.5,7809274,5289123,2570347,5044269,1210085,4384620,1147841,
94.5,8153646,5345112,2757801,5163806,1282245,4540522,1180783,
95.5,8452582,5402987,2966826,5202188,1368270,4678571,1202711,
96.5,8704830,5464522,3200269,5163911,1470248,4800756,1213839,
97.5,8909430,5530916,3460511,5058022,1590571,4909890,1214959,
98.5,9065566,5602813,3749251,4896804,1731946,5009276,1207207,
99.5,9172494,5680309,4067267,4694276,1897398,5102349,1191842,
100.5,9229581,5762975,4414163,4464743,2090225,5192338,1170107,
101.5,9236413,5849869,4788113,4221604,2313912,5281982,1143192,
102.5,9192969,5939556,5185643,3976520,2571970,5373332,1112299,
103.5,9099815,6030134,5601468,3738966,2867696,5467616,1078773,
104.5,8958301,6119259,6028430,3516119,3203824,5565187,1044259,
105.5,8770699,6204199,6457569,3312999,3582065,5665506,1010811,
106.5,8540286,6281889,6878344,3132760,4002541,5767164,980914,
107.5,8271325,6349024,7279023,2977061,4463142,5867915,957327,
108.5,7968964,6402169,7647227,2846435,4958870,5964733,942725,
109.5,7639043,6437898,7970600,2740617,5481262,6053884,939139,
110.5,7287847,6452946,8237564,2658825,6018025,6131041,947320,
111.5,6921817,6444391,8438074,2599958,6553022,6191453,966289,
112.5,6547272,6409823,8564331,2562750,7066744,6230184,993251,
113.5,6170147,6347512,8611340,2545855,7537335,6242438,1023950,
114.5,5795798,6256546,8577295,2547894,7942161,6223939,1053286,
115.5,5428850,6136935,8463700,2567477,8259791,6171351,1076031,
116.5,5073136,5989648,8275253,2603194,8472144,6082675,1087464,
117.5,4731673,5816607,8019470,2653603,8566472,5957565,1083898,
118.5,4406712,5620601,7706117,2717206,8536841,5797495,1063029,
119.5,4099804,5405159,7346497,2792437,8384849,5605749,1024120,
120.5,3811908,5174362,6952683,2877650,8119436,5387208,968002,
121.5,3543487,4932638,6536771,2971120,7755830,5147969,896914,
122.5,3294626,4684541,6110213,3071061,7313828,4894854,814239,
123.5,3065119,4434535,5683298,3175647,6815717,4634863,724185,
124.5,2854556,4186815,5264794,3283053,6284176,4374679,631514,
125.5,2662394,3945154,4861758,3391496,5740444,4120249,541385,
126.5,2488004,3712802,4479497,3499286,5202966,3876511,459354,
127.5,2330719,3492427,4121660,3604867,4686579,3647251,391426,
128.5,2189856,3286107,3790411,3706861,4202240,3435095,343616,
129.5,2064742,3095345,3486655,3804093,3757171,3241601,320051,
130.5,1954728,2921129,3210290,3895611,3355311,3067414,320053,
131.5,1859201,2763995,2960451,3980688,2997929,2912453,337796,
132.5,1777593,2624112,2735731,4058812,2684284,2776106,365754,
133.5,1709395,2501358,2534375,4129662,2412245,2657407,397860,
134.5,1654158,2395402,2354439,4193078,2178836,2555182,430233,
135.5,1611505,2305771,2193911,4249022,1980660,2468174,460682,
136.5,1581135,2231910,2050807,4297532,1814228,2395122,488076,
137.5,1562827,2173229,1923236,4338688,1676180,2334832,511897,
138.5,1556443,2129140,1809441,4372565,1563431,2286204,531969,
139.5,1561919,2099083,1707831,4399204,1473253,2248258,548296,
140.5,1579266,2082535,1616993,4418584,1403317,2220139,560972,
141.5,1608548,2079021,1535697,4430601,1351697,2201113,570129,
142.5,1649869,2088110,1462894,4435062,1316861,2190559,575912,
143.5,1703341,2109404,1397710,4431685,1297650,2187958,578467,
144.5,1769055,2142520,1339434,4420103,1293245,2192871,577945,
145.5,1847036,2187072,1287504,4399885,1303139,2204927,574505,
146.5,1937198,2242643,1241498,4370557,1327096,2223798,568333,
147.5,2039297,2308757,1201113,4331636,1365116,2249184,559653,
148.5,2152878,2384846,1166157,4282663,1417384,2280786,548751,
149.5,2277228,2470216,1136530,4223241,1484225,2318288,535996,
150.5,2411341,2564019,1112219,4153070,1566032,2361336,521857,
151.5,2553895,2665224,1093282,4071990,1663193,2409517,506928,
152.5,2703246,2772591,1079846,3980003,1775991,2462336,491933,
153.5,2857449,2884661,1072102,3877307,1904497,2519203,477723,
154.5,3014301,2999745,1070297,3764308,2048433,2579417,465250,
155.5,3171412,3115939,1074741,3641628,2207033,2642151,455502,
156.5,3326287,3231142,1085802,3510103,2378889,2706445,449397,
157.5,3476437,3343091,1103907,3370767,2561813,2771203,447639,
158.5,3619479,3449419,1129546,3224826,2752711,2835196,450568,
159.5,3753240,3547715,1163268,3073630,2947522,2897075,458048,
160.5,3875843,3635605,1205677,2918626,3141205,2955391,469431,
161.5,3985774,3710829,1257422,2761318,3327832,3008635,483615,
162.5,4081914,3771335,1319183,2603222,3500786,3055288,499178,
163.5,4163546,3815352,1391646,2445816,3653063,3093885,514538,
164.5,4230331,3841473,1475466,2290501,3777684,3123091,528130,
165.5,4282257,3848706,1571222,2138567,3868175,3141786,538571,
166.5,4319572,3836523,1679353,1991162,3919082,3149138,544812,
167.5,4342703,3804877,1800085,1849268,3926448,3144676,546274,
168.5,4352175,3754199,1933342,1713696,3888209,3128324,542960,
169.5,4348527,3685376,2078647,1585076,3804433,3100412,535531,
170.5,4332241,3599707,2235025,1463861,3677383,3061643,525322,
171.5,4303690,3498836,2400907,1350336,3511374,3013029,514267,
172.5,4263095,3384687,2574049,1244635,3312440,2955781,504677,
173.5,4210509,3259374,2751489,1146755,3087860,2891197,498869,
174.5,4145817,3125122,2929544,1056576,2845595,2820531,498659,
175.5,4068765,2984187,3103867,973883,2593708,2744882,504881,
176.5,3978998,2838776,3269571,898385,2339834,2665113,517154,
177.5,3876125,2690992,3421425,829736,2090746,2581805,533996,
178.5,3759796,2542772,3554109,767550,1852062,2495258,553225,
179.5,3629789,2395858,3662524,711418,1628086,2405535,572423,
180.5,3486102,2251764,3742119,660920,1421789,2312539,589318,
181.5,3329038,2111768,3789212,615637,1234894,2216110,602015,
182.5,3159284,1976907,3801268,575159,1068040,2116132,609111,
183.5,2977964,1847987,3777102,539093,920986,2012626,609727,
184.5,2786665,1725598,3716976,507064,792834,1905827,603486,
185.5,2587428,1610131,3622592,478722,682236,1796222,590467,
186.5,2382701,1501804,3496967,453743,587576,1684558,571135,
187.5,2175252,1400685,3344212,431829,507121,1571820,546258,
188.5,1968049,1306717,3169239,412708,439135,1459169,516822,
189.5,1764119,1219744,2977435,396133,381957,1347878,483940,
190.5,1566393,1139532,2774323,381883,334056,1239237,448769,
191.5,1377558,1065787,2565259,369758,294054,1134483,412435,
192.5,1199927,998175,2355177,359580,260739,1034720,375972,
193.5,1035331,936338,2148395,351191,233061,940863,340277,
194.5,885068,879903,1948504,344449,210125,853610,306088,
195.5,749875,828493,1758313,339228,191173,773417,273965,
196.5,629952,781738,1579860,335416,175572,700508,244304,
197.5,525018,739277,1414467,332911,162795,634893,217345,
198.5,434388,700762,1262825,331623,152404,576400,193197,
199.5,357073,665866,1125099,331468,144037,524709,171865,
200.5,291871,634280,1001035,332372,137396,479391,153271,
201.5,237468,605714,890065,334261,132232,439948,137284,
202.5,192513,579901,791404,337070,128340,405845,123734,
203.5,155687,556594,704130,340731,125543,376537,112426,
204.5,125749,535564,627250,345183,123693,351488,103154,
205.5,101571,516602,559755,350360,122659,330189,95706,
206.5,82151,499517,500656,356200,122324,312170,89865,
207.5,66622,484136,449012,362636,122579,296997,85420,
