Mean,89.7,88.5,84.5,88.7,92.9,88.8,1.3
Mode,81.3,62.6,66.5,65.7,73.9,70.0,3.4
SD,32.8,41.0,27.5,49.3,35.8,37.3,3.7
D10,59.2,58.7,59.3,59.8,65.9,60.6,1.3
D50,81.0,75.1,71.1,75.7,78.1,76.2,1.6
D90,128.7,133.8,120.7,116.6,132.4,126.4,3.3
Valid Tracks,1750.0,1577.0,1642.0,1401.0,1286.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,
30.5,0,0,0,0,0,0,0,
31.5,0,0,0,0,0,0,0,
32.5,0,0,0,0,0,0,0,
33.5,0,0,0,0,0,0,0,
34.5,4,0,0,0,0,0,0,
35.5,19,0,0,0,0,4,4,
36.5,79,0,0,0,0,16,16,
37.5,289,0,0,0,0,58,58,
38.5,947,0,0,0,0,190,189,
39.5,2796,0,0,7,0,561,559,
40.5,7465,0,0,46,3,1503,1490,
41.5,18136,5,1,234,27,3681,3614,
42.5,40381,24,8,1003,178,8319,8018,
43.5,82967,108,49,3609,854,17517,16375,
44.5,158361,437,254,11069,3140,34652,30989,
45.5,282547,1613,1143,29308,9176,64757,54686,
46.5,473787,5421,4482,67931,22052,114735,90500,
47.5,750056,16616,15372,139870,45035,193390,141012,
48.5,1125154,46482,46241,259706,80525,311622,207203,
49.5,1604011,118739,122504,441452,129466,483234,286882,
50.5,2178313,277043,287425,697034,191592,726281,373467,
51.5,2824115,590563,601509,1036329,266272,1063757,456792,
52.5,3502989,1150855,1132323,1468594,353499,1521652,528307,
53.5,4167354,2052955,1935768,2004388,454674,2123028,592314,
54.5,4769040,3359964,3036443,2656839,573126,2879082,678040,
55.5,5268657,5062762,4417197,3441330,714443,3780878,830058,
56.5,5642830,7056478,6023290,4372953,886763,4796463,1067573,
57.5,5887196,9152017,7778191,5461381,1101071,5875971,1366064,
58.5,6014804,11122858,9602361,6703305,1371492,6962964,1680805,
59.5,6051204,12766651,11426492,8073526,1715403,8006655,1971813,
60.5,6028317,13953760,13195154,9517256,2153115,8969521,2214867,
61.5,5978980,14645126,14861816,10947535,2706723,9828036,2401301,
62.5,5933243,14879798,16379294,12251796,3397714,10568369,2530730,
63.5,5916597,14745309,17690659,13309260,4243067,11180979,2602482,
64.5,5949738,14346174,18725107,14016077,5249993,11657418,2611299,
65.5,6049221,13780389,19401982,14310238,6410125,11990391,2549062,
66.5,6228419,13126837,19643843,14186636,7694729,12176093,2410093,
67.5,6498342,12441800,19396109,13696261,9052880,12217078,2196509,
68.5,6868016,11761150,18647188,12930537,10414173,12124213,1922017,
69.5,7344289,11105048,17440986,11997925,11696272,11916904,1614600,
70.5,7930980,10483077,15875384,11001691,12815927,11621412,1319513,
71.5,8627420,9898675,14085674,10025000,13700706,11267495,1101138,
72.5,9426544,9352462,12218456,9124998,14298494,10884191,1024778,
73.5,10312834,8844390,10405301,8334018,14582704,10495850,1098747,
74.5,11260605,8374895,8744443,7664660,14552754,10119471,1263260,
75.5,12233243,7945243,7294107,7115895,14230734,9763844,1457216,
76.5,13183996,7557373,6076044,6678451,13655915,9430356,1647386,
77.5,14058759,7213445,5084936,6338799,12878637,9114915,1818933,
78.5,14800861,6915323,4299183,6081769,11954620,8810351,1964174,
79.5,15357325,6664109,3690058,5892094,10940122,8508742,2077064,
80.5,15685554,6459797,3228062,5755274,9888030,8203343,2151837,
81.5,15759084,6301056,2886543,5658050,8844839,7889914,2183748,
82.5,15571143,6185112,2643279,5588696,7848525,7567351,2170390,
83.5,15135217,6107694,2480773,5537207,6927382,7237654,2112629,
84.5,14482571,6063036,2385865,5495425,6099867,6905353,2014773,
85.5,13657384,6043926,2349062,5457074,5375373,6576564,1884006,
86.5,12710640,6041831,2363781,5417682,4755711,6257929,1729324,
87.5,11694037,6047147,2425616,5374386,4236966,5955631,1560294,
88.5,10654939,6049588,2531637,5325630,3811378,5674634,1385929,
89.5,9632959,6038739,2679707,5270803,3468987,5418239,1213873,
90.5,8658307,6004749,2867810,5209862,3198857,5187917,1050013,
91.5,7751650,5939080,3093366,5142988,2989861,4983389,898566,
92.5,6925059,5835229,3352561,5070329,2831060,4802847,762641,
93.5,6183555,5689298,3639722,4991820,2711790,4643237,645208,
94.5,5526863,5500314,3946843,4907125,2621600,4500549,550236,
95.5,4951068,5270246,4263343,4815651,2550183,4370098,483208,
96.5,4450032,5003712,4576202,4716653,2487448,4246809,449378,
97.5,4016491,4707432,4870517,4609370,2423832,4125528,449187,
98.5,3642843,4389522,5130544,4493193,2350888,4001398,475406,
99.5,3321680,4058734,5341092,4367821,2262062,3870278,516414,
100.5,3046097,3723748,5489123,4233381,2153476,3729165,561297,
101.5,2809853,3392584,5565243,4090510,2024454,3576529,602068,
102.5,2607430,3072175,5564827,3940367,1877565,3412473,633685,
103.5,2434013,2768124,5488528,3784591,1718091,3238669,653488,
104.5,2285438,2484608,5342060,3625210,1553010,3058065,660654,
105.5,2158118,2224422,5135332,3464502,1389764,2874428,655733,
106.5,2048960,1989107,4881095,3304855,1235123,2691828,640226,
107.5,1955279,1779147,4593406,3148604,1094399,2514167,616202,
108.5,1874730,1594179,4286154,2997907,971120,2344818,585952,
109.5,1805234,1433220,3971887,2854622,867108,2186414,551706,
110.5,1744928,1294872,3661029,2720234,782845,2040782,515421,
111.5,1692115,1177500,3361523,2595800,717948,1908977,478657,
112.5,1645237,1079385,3078813,2481924,671657,1791403,442516,
113.5,1602852,998842,2816087,2378743,643243,1687953,407640,
114.5,1563629,934307,2574668,2285932,632334,1598174,374253,
115.5,1526344,884398,2354449,2202706,639161,1521412,342220,
116.5,1489900,847957,2154326,2127824,664742,1456950,311124,
117.5,1453339,824072,1972579,2059589,711024,1404121,280361,
118.5,1415865,812079,1807192,1995857,780989,1362396,249285,
119.5,1376865,811565,1656096,1934059,878683,1331454,217471,
120.5,1335927,822350,1517354,1871258,1009119,1311202,185338,
121.5,1292846,844462,1389289,1804260,1177952,1301762,155675,
122.5,1247620,878097,1270554,1729798,1390792,1303372,136844,
123.5,1200441,923569,1160163,1644810,1652005,1316197,143641,
124.5,1151663,981228,1057478,1546806,1962932,1340022,183687,
125.5,1101772,1051368,962163,1434290,2319586,1373836,249557,
126.5,1051340,1134096,874117,1307172,2710175,1415380,331121,
127.5,1000986,1229179,793389,1167090,3113172,1460763,419947,
128.5,951330,1335877,720102,1017494,3496930,1504347,507773,
129.5,902962,1452758,654378,863445,3821902,1539089,585771,
130.5,856409,1577541,596291,711063,4045984,1557458,645169,
131.5,812119,1706980,545837,566709,4132487,1552826,678731,
132.5,770447,1836831,502937,436063,4058893,1521034,682551,
133.5,731657,1961944,467453,323311,3823635,1461600,657510,
134.5,695924,2076486,439219,230639,3448226,1378099,609782,
135.5,663344,2174320,418093,158157,2973515,1277486,549975,
136.5,633945,2249503,403998,104223,2450970,1168528,490724,
137.5,607700,2296848,396973,66027,1931857,1059881,442837,
138.5,584541,2312483,397231,40255,1457787,958459,411133,
139.5,564375,2294306,405199,23661,1055216,868551,392981,
140.5,547089,2242260,421575,13441,734662,791806,381438,
141.5,532564,2158377,447377,7404,493647,727874,369939,
142.5,520683,2046567,483984,3970,321446,675330,354738,
143.5,511335,1912207,533166,2082,203806,632519,334918,
144.5,504422,1761583,597085,1073,126488,598130,311555,
145.5,499862,1601280,678238,547,77290,571443,286985,
146.5,497593,1437614,779309,277,46788,552316,264441,
147.5,497573,1276181,902879,141,28245,541004,247869,
148.5,499780,1121545,1050960,72,17118,537895,241433,
149.5,504218,977103,1224297,38,10487,543229,248243,
150.5,510909,845083,1421473,20,6539,556805,268855,
151.5,519900,726652,1637893,11,4178,577727,301014,
152.5,531255,622103,1864844,6,2752,604192,340709,
153.5,545056,531053,2088969,4,1881,633392,383208,
154.5,561396,452653,2292534,2,1340,661585,423515,
155.5,580381,385768,2454850,2,1001,684400,456614,
156.5,602115,329124,2554966,1,786,697398,477854,
157.5,626697,281420,2575368,0,652,696828,483561,
158.5,654211,241405,2505911,0,572,680420,471752,
159.5,684709,207922,2346882,0,531,648009,442738,
160.5,718200,179939,2110095,0,522,601751,399385,
161.5,754629,156551,1817394,0,544,545824,346935,
162.5,793859,136982,1496757,0,598,485639,292406,
163.5,835648,120571,1177050,0,694,426793,243673,
164.5,879624,106769,882937,0,847,374036,207991,
165.5,925270,95116,631342,0,1082,330562,189395,
166.5,971900,85231,430188,1,1440,297752,186230,
167.5,1018650,76802,279326,2,1989,275354,192675,
168.5,1064477,69572,172884,3,2833,261954,203070,
169.5,1108166,63332,102056,5,4141,255540,214006,
170.5,1148360,57909,57506,8,6174,253991,223928,
171.5,1183599,53164,30963,13,9339,255416,232228,
172.5,1212386,48985,15949,23,14248,258318,238652,
173.5,1233261,45277,7870,41,21806,261651,243024,
174.5,1244889,41969,3726,75,33301,264792,245159,
175.5,1246161,39000,1695,139,50493,267498,244869,
176.5,1236277,36324,742,257,75655,269851,242005,
177.5,1214829,33902,313,474,111533,272210,236528,
178.5,1181857,31707,128,872,161143,275141,228610,
179.5,1137870,29715,50,1586,227366,279317,218773,
180.5,1083833,27909,19,2847,312309,285383,208062,
