Sample_ID,Time,Treatment,Volume,particle_size,Dilution_factor,Injection,tech_N,tech_mean,tech_sd,tech_se
1,48,BPS,145.0,42.5,25.0,2,3,291.6666666666667,505.18148554092255,291.6666666666667
1,48,BPS,145.0,43.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,43.5,25.0,2,3,400.0,692.8203230275509,400.0
1,48,BPS,145.0,44.5,25.0,1,3,0.0,0.0,0.0
1,48,BPS,145.0,44.5,25.0,2,3,533.3333333333334,923.7604307034012,533.3333333333334
1,48,BPS,145.0,45.5,25.0,1,3,16.666666666666668,28.867513459481287,16.666666666666668
1,48,BPS,145.0,45.5,25.0,2,3,683.3333333333334,1183.5680518387328,683.3333333333334
1,48,BPS,145.0,46.5,25.0,1,3,41.666666666666664,72.16878364870321,41.666666666666664
1,48,BPS,145.0,46.5,25.0,2,3,833.3333333333334,1443.3756729740644,833.3333333333334
1,48,BPS,145.0,47.5,25.0,1,3,108.33333333333333,187.63883748662838,108.33333333333334
1,48,BPS,145.0,47.5,25.0,2,3,1e3,1732.0508075688772,1e3
1,48,BPS,145.0,48.5,25.0,1,3,241.66666666666666,418.5789451624787,241.66666666666669
1,48,BPS,145.0,48.5,25.0,2,3,1175.0,2035.159698893431,1175.0000000000002
1,48,BPS,145.0,49.5,25.0,1,3,500.0,866.0254037844386,500.0
1,48,BPS,145.0,49.5,25.0,2,3,1358.3333333333333,2352.702346947725,1358.3333333333333
1,48,BPS,145.0,50.5,25.0,1,3,966.6666666666666,1674.3157806499148,966.6666666666667
1,48,BPS,145.0,50.5,25.0,2,3,1550.0,2684.67875173176,1550.0
1,48,BPS,145.0,51.5,25.0,1,3,1750.0,3031.0889132455354,1750.0000000000002
1,48,BPS,145.0,51.5,25.0,2,3,1775.0,3052.7651400001278,1762.5147753517795
1,48,BPS,145.0,52.5,25.0,1,3,3008.3333333333335,5210.586179436373,3008.3333333333335
1,48,BPS,145.0,52.5,25.0,2,3,2041.6666666666667,3471.521040312637,2004.2836071219508
1,48,BPS,145.0,53.5,25.0,1,3,4900.0,8487.048957087498,4900.0
1,48,BPS,145.0,53.5,25.0,2,3,2358.3333333333335,3934.1718738933273,2271.3951904305673
1,48,BPS,145.0,54.5,25.0,1,3,7608.333333333333,13178.019894253208,7608.333333333334
1,48,BPS,145.0,54.5,25.0,2,3,2758.3333333333335,4477.885475683063,2585.308384785932
1,48,BPS,145.0,55.5,25.0,1,3,11325.0,19615.475395717534,11325.0
1,48,BPS,145.0,55.5,25.0,2,3,3283.3333333333335,5113.482994333053,2952.270783274762
1,48,BPS,145.0,56.5,25.0,1,3,16241.666666666666,28131.391866264516,16241.666666666668
1,48,BPS,145.0,56.5,25.0,2,3,3991.6666666666665,5844.4596271454675,3374.3003390003355
1,48,BPS,145.0,57.5,25.0,1,3,22541.666666666668,39043.31195394844,22541.666666666668
1,48,BPS,145.0,57.5,25.0,2,3,4983.333333333333,6700.062188766112,3868.282708271348
1,48,BPS,145.0,58.5,25.0,1,3,30416.666666666668,52683.21206355335,30416.666666666668
1,48,BPS,145.0,58.5,25.0,2,3,6391.666666666667,7741.783278633763,4469.720659926947
1,48,BPS,145.0,59.5,25.0,1,3,40075.0,69411.93611332275,40075.0
1,48,BPS,145.0,59.5,25.0,2,3,8416.666666666666,9021.721472830634,5208.693320892594
1,48,BPS,145.0,60.5,25.0,1,3,51750.0,89633.6292916894,51750.00000000001
1,48,BPS,145.0,60.5,25.0,2,3,11300.0,10833.310897412664,6254.614962836108
1,48,BPS,145.0,61.5,25.0,1,3,65733.33333333333,113853.47308419421,65733.33333333334
1,48,BPS,145.0,61.5,25.0,2,3,15400.0,13584.066953604137,7842.764712353249
1,48,BPS,145.0,62.5,25.0,1,3,82366.66666666667,142641.60142936328,82354.1669828822
1,48,BPS,145.0,62.5,25.0,2,3,21150.0,17966.757498224324,10373.112278064542
1,48,BPS,145.0,63.5,25.0,1,3,102058.33333333333,176726.9191672093,102033.33435424152
1,48,BPS,145.0,63.5,25.0,2,3,29133.333333333332,24730.37521618573,14278.088788225281
1,48,BPS,145.0,64.5,25.0,1,3,125333.33333333333,217018.75254994287,125295.8352039063
1,48,BPS,145.0,64.5,25.0,2,3,4e4,34731.21794581929,20052.07803030233
1,48,BPS,145.0,65.5,25.0,1,3,152816.66666666666,264577.98511654994,152754.17092868892
1,48,BPS,145.0,65.5,25.0,2,3,54616.666666666664,48810.79755887352,28180.927109975957
1,48,BPS,145.0,66.5,25.0,1,3,185266.66666666666,320718.090124853,185166.67566756657
