Time,Treatment,Volume,particle_conc,particle_count,corrected_particle_conc
48,DMSO,112,5332908929.166667,597285800.0666667,5.332908929166667
48,EGF,120,13941558391.666666,1672987006.9999998,13.941558391666666
48,BPS,145,5733223262.5,831317373.0625,5.7332232625
48,BPS_EGF,110,5658288537.5,622411739.125,5.6582885375
96,DMSO,105,5570460916.666667,584898396.25,5.570460916666667
96,EGF,105,4416285745.833333,463710003.31249994,4.416285745833333
96,BPS,110,5557785941.666667,611356453.5833334,5.557785941666667
96,BPS_EGF,112,4699700962.5,526366507.8,4.6997009625
