Sample_ID,Time,Treatment,Volume,particle_size,Dilution_factor,inj_N,inj_mean,inj_sd,inj_se
1,48,BPS,145.0,0.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,1.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,2.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,3.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,4.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,5.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,6.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,7.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,8.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,9.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,10.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,11.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,12.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,13.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,14.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,15.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,16.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,17.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,18.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,19.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,20.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,21.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,22.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,23.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,24.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,25.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,26.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,27.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,28.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,29.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,30.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,31.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,32.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,33.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,34.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,35.5,25.0,2,0.0,0.0,0.0
1,48,BPS,145.0,36.5,25.0,2,4.166666666666667,5.892556509887896,4.166666666666667
1,48,BPS,145.0,37.5,25.0,2,8.333333333333334,11.785113019775793,8.333333333333334
1,48,BPS,145.0,38.5,25.0,2,20.833333333333332,29.462782549439478,20.83333333333333
1,48,BPS,145.0,39.5,25.0,2,37.5,53.033008588991066,37.5
1,48,BPS,145.0,40.5,25.0,2,62.5,88.38834764831844,62.5
1,48,BPS,145.0,41.5,25.0,2,100.0,141.4213562373095,100.0
1,48,BPS,145.0,42.5,25.0,2,145.83333333333334,206.23947784607637,145.83333333333334
1,48,BPS,145.0,43.5,25.0,2,200.0,282.842712474619,200.0
1,48,BPS,145.0,44.5,25.0,2,266.6666666666667,377.12361663282536,266.6666666666667
1,48,BPS,145.0,45.5,25.0,2,350.0,471.4045207910317,333.3333333333333
1,48,BPS,145.0,46.5,25.0,2,437.5,559.7928684393502,395.8333333333333
1,48,BPS,145.0,47.5,25.0,2,554.1666666666666,630.5035465580049,445.8333333333333
1,48,BPS,145.0,48.5,25.0,2,708.3333333333334,659.9663291074444,466.66666666666663
1,48,BPS,145.0,49.5,25.0,2,929.1666666666666,606.9333205184532,429.1666666666666
1,48,BPS,145.0,50.5,25.0,2,1258.3333333333333,412.47895569215274,291.6666666666667
1,48,BPS,145.0,51.5,25.0,2,1762.5,17.67766952966369,12.5
1,48,BPS,145.0,52.5,25.0,2,2525.0,683.536555146996,483.3333333333333
1,48,BPS,145.0,53.5,25.0,2,3629.166666666667,1797.2297355158082,1270.8333333333333
1,48,BPS,145.0,54.5,25.0,2,5183.333333333333,3429.467888754755,2424.9999999999995
1,48,BPS,145.0,55.5,25.0,2,7304.166666666667,5686.317032041819,4020.833333333333
1,48,BPS,145.0,56.5,25.0,2,10116.666666666666,8662.058069535207,6125.0
1,48,BPS,145.0,57.5,25.0,2,13762.5,12415.616566333798,8779.166666666666
1,48,BPS,145.0,58.5,25.0,2,18404.166666666668,16988.240418006804,12012.5
1,48,BPS,145.0,59.5,25.0,2,24245.833333333332,22385.82218106412,15829.166666666666
1,48,BPS,145.0,60.5,25.0,2,31525.0,28602.469298995846,20224.999999999996
1,48,BPS,145.0,61.5,25.0,2,40566.666666666664,35591.04131972289,25166.666666666664
1,48,BPS,145.0,62.5,25.0,2,51758.333333333336,43286.720121636485,30608.333333333332
1,48,BPS,145.0,63.5,25.0,2,65595.83333333333,51565.762018028974,36462.49999999999
1,48,BPS,145.0,64.5,25.0,2,82666.66666666666,60339.77866125205,42666.66666666666
1,48,BPS,145.0,65.5,25.0,2,103716.66666666666,69437.88591251896,49099.99999999999
1,48,BPS,145.0,66.5,25.0,2,129650.0,78653.84429398362,55616.66666666666
1,48,BPS,145.0,67.5,25.0,2,161575.0,87716.59620619121,62024.99999999999
1,48,BPS,145.0,68.5,25.0,2,200887.5,96195.9850239199,68020.83333333333
1,48,BPS,145.0,69.5,25.0,2,249412.5,103408.47419202268,73120.83333333333
1,48,BPS,145.0,70.5,25.0,2,309491.6666666666,108281.61842569995,76566.66666666664
1,48,BPS,145.0,71.5,25.0,2,384258.3333333334,109165.50190218315,77191.66666666666
1,48,BPS,145.0,72.5,25.0,2,477787.5,103620.60622637866,73270.83333333333
1,48,BPS,145.0,73.5,25.0,2,595437.5,88123.18260537348,62312.49999999999
1,48,BPS,145.0,74.5,25.0,2,744004.1666666667,57941.50816172765,40970.83333333331
1,48,BPS,145.0,75.5,25.0,2,931954.1666666667,6959.109238177578,4920.833333333314
1,48,BPS,145.0,76.5,25.0,2,1169420.8333333333,72283.99070679482,51112.5
1,48,BPS,145.0,77.5,25.0,2,1467979.1666666665,188190.57725628978,133070.83333333334
1,48,BPS,145.0,78.5,25.0,2,1840254.1666666667,349575.9149490994,247187.49999999997
1,48,BPS,145.0,79.5,25.0,2,2299066.6666666665,564671.9052295374,399283.3333333334
1,48,BPS,145.0,80.5,25.0,2,2856479.166666667,840036.9634931085,593995.8333333333
1,48,BPS,145.0,81.5,25.0,2,3522495.833333333,1179224.3013152753,833837.4999999997
1,48,BPS,145.0,82.5,25.0,2,4303908.333333333,1581715.3737231686,1118441.6666666667
1,48,BPS,145.0,83.5,25.0,2,5203125.0,2042100.8138407096,1443983.3333333333
1,48,BPS,145.0,84.5,25.0,2,6217495.833333333,2549915.4413063386,1803062.4999999998
1,48,BPS,145.0,85.5,25.0,2,7339058.333333334,3089985.9231070946,2184950.0000000005
1,48,BPS,145.0,86.5,25.0,2,8554850.0,3643473.756080864,2576324.9999999995
