Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,0,0,0,0,
30.5,0,0,0,0,0,0,0,
31.5,0,0,0,0,0,0,0,
32.5,0,0,0,0,0,0,0,
33.5,0,0,0,0,0,0,0,
34.5,0,0,0,0,0,0,0,
35.5,0,0,0,0,0,0,0,
36.5,0,0,0,0,0,0,0,
37.5,0,0,0,0,0,0,0,
38.5,0,0,0,0,0,0,0,
39.5,0,0,0,0,0,0,0,
40.5,0,2,0,0,0,0,0,
41.5,0,7,0,0,0,1,1,
42.5,0,18,0,0,0,4,4,
43.5,0,41,0,0,0,8,8,
44.5,0,86,0,0,0,17,17,
45.5,0,164,0,0,0,33,33,
46.5,0,289,0,0,0,58,58,
47.5,0,476,0,0,0,95,95,
48.5,0,738,0,0,2,148,148,
49.5,0,1088,0,0,5,219,217,
50.5,0,1538,0,0,11,310,307,
51.5,2,2102,0,0,23,425,419,
52.5,7,2799,0,0,45,570,557,
53.5,18,3658,0,0,85,752,727,
54.5,42,4722,0,0,152,983,935,
55.5,94,6056,0,0,260,1282,1195,
56.5,195,7753,0,0,430,1676,1521,
57.5,382,9947,0,2,690,2204,1940,
58.5,713,12826,0,7,1082,2925,2484,
59.5,1271,16658,0,19,1667,3923,3201,
60.5,2179,21820,2,53,2537,5318,4159,
61.5,3611,28838,7,142,3827,7285,5450,
62.5,5806,38441,22,361,5740,10074,7201,
63.5,9095,51635,65,875,8580,14050,9582,
64.5,13920,69783,183,2020,12800,19741,12812,
65.5,20875,94700,485,4447,19063,27914,17163,
66.5,30739,128751,1213,9325,28334,39672,22960,
67.5,44529,174935,2866,18623,41981,56587,30571,
68.5,63557,236927,6396,35433,61899,80842,40388,
69.5,89489,319054,13498,64261,90626,115386,52801,
70.5,124424,426178,26960,111186,131430,164035,68167,
71.5,170964,563450,51024,183744,188310,231499,86768,
72.5,232297,735951,91630,290450,265874,323240,108768,
73.5,312259,948226,156399,439908,369036,445165,134154,
74.5,415393,1203790,254217,639625,502507,603106,162671,
75.5,546969,1504658,394370,894717,670137,802170,193767,
76.5,712947,1851020,585321,1206799,874184,1046054,226559,
77.5,919880,2241101,833367,1573316,1114665,1336466,259837,
78.5,1174699,2671255,1141504,1987492,1388982,1672786,292137,
79.5,1484388,3136277,1508809,2438925,1691926,2052065,321890,
80.5,1855512,3629862,1930520,2914701,2016127,2469344,347683,
81.5,2293609,4145133,2398806,3400800,2352874,2918244,368629,
82.5,2802460,4675143,2904033,3883531,2693146,3391663,384846,
