particle_size,6_4000_2_00,6_4000_2_01,6_4000_2_02,6_4000_1_00,6_4000_1_01,6_4000_1_02,5_500_2_00,5_500_2_01,5_500_2_02,5_500_1_00,5_500_1_01,5_500_1_02,4_500_2_00,4_500_2_01,4_500_2_02,4_500_1_00,4_500_1_01,4_500_1_02,3_500_1_00,3_500_1_01,3_500_1_02,3_500_2_00,3_500_2_01,3_500_2_02,2_500_2_00,2_500_2_01,2_500_2_02,2_500_1_00,2_500_1_01,2_500_1_02,1_500_2_00,1_500_2_01,1_500_2_02,1_500_1_00,1_500_1_01,1_500_1_02
171.5,3556693,1696366,2041412,4310916,3760898,2630661,1497587,4228956,2232094,1082912,1747389,3690569,4179862,1559484,1951021,319631,2440269,1569425,3154203,1881910,948414,1394821,1359887,1202940,1127200,1891251,2275779,653684,710123,1851467,549897,148123,1895799,996591,286814,670636
172.5,3280316,1647155,1976152,4226750,3917575,2710411,1507478,4335075,1996157,1035853,1765083,3715458,4167938,1572758,1973657,324600,2201862,1536805,3121127,1789776,916818,1416521,1201315,1247034,1208994,1970017,2219743,631073,661895,1790558,538053,129154,1875522,950691,257073,685262
173.5,3024998,1605820,1918650,4136932,4065261,2786457,1522528,4411355,1780462,993407,1780989,3709589,4120905,1587141,1998256,331601,1972072,1505685,3072288,1706341,887176,1440806,1057999,1291303,1298103,2058422,2152984,611539,617388,1721343,531895,114343,1852338,906343,232299,702624
174.5,2791430,1571414,1868329,4039623,4199950,2857435,1542316,4453667,1585567,955344,1794394,3671758,4039215,1602253,2024309,340667,1754890,1475792,3007858,1631693,860023,1467372,929927,1335327,1393963,2154869,2077180,594820,576645,1645816,531124,102905,1826418,863885,211844,722691
175.5,2579658,1543066,1824626,3933262,4317712,2922006,1566399,4458882,1411315,921449,1804621,3601917,3924517,1617738,2051146,351846,1553177,1446906,2928429,1565789,835789,1495884,816642,1378673,1495688,2257338,1994176,580672,539634,1565933,535520,94237,1797946,823575,195143,745416
176.5,2389234,1519968,1786996,3816648,4414873,2978887,1594309,4425134,1256996,891519,1811040,3501208,3779571,1633264,2077930,365204,1368723,1418858,2834995,1508491,814814,1525973,717357,1420903,1602010,2363355,1905888,568863,506266,1483533,544929,87886,1767109,785604,181713,770725
177.5,2219343,1501367,1754915,3689012,4488198,3026893,1625541,4352011,1121499,865368,1813094,3371906,3608092,1648531,2103663,380819,1202367,1391526,2728915,1459605,797361,1557238,631062,1461577,1711248,2469983,1814216,559179,476405,1400282,559245,83518,1734095,750093,171154,798513
178.5,2068926,1486555,1727879,3550071,4535059,3064978,1659554,4240640,1003461,842823,1810310,3217294,3414539,1663275,2127191,398779,1054161,1364835,2611868,1418903,783628,1589249,556617,1500268,1821280,2573858,1720968,551420,449882,1317637,578389,80904,1699086,717108,163138,828637
179.5,1936775,1474867,1705408,3400056,4553581,3092261,1695766,4093664,901384,823732,1802323,3041470,3203862,1677272,2147231,419182,923546,1338750,2485777,1386147,773765,1621545,492834,1536561,1929558,2671276,1627802,545398,426510,1236828,602286,79902,1662254,686660,157407,860910
180.5,1821619,1465669,1687041,3239713,4542734,3108063,1733559,3915085,813732,807957,1788884,2849102,2981245,1690336,2162399,442129,809526,1313271,2352731,1361101,767883,1653642,438535,1570068,2033151,2758329,1536175,540941,406091,1158854,630840,80447,1623762,658720,153767,895093
