particle_size,mG15.5_yes_500_00,mG15.5_yes_500_01,mG15.5_yes_500_02,mG15.5_no_500_00,mG15.5_no_500_01,mG15.5_no_500_02,400_yes_50_00,400_yes_50_01,400_yes_50_02,400_no_50_00,400_no_50_01,400_no_50_02,200_yes_125_00,200_yes_125_01,200_yes_125_02,200_no_125_00,200_no_125_01,200_no_125_02,fluorx100_no_125_00,fluorx100_no_125_01,fluorx100_no_125_02,fluorx100_yes_125_00,fluorx100_yes_125_01,fluorx100_yes_125_02,fluor_no_125_00,fluor_no_125_01,fluor_no_125_02,fluor_yes_125_00,fluor_yes_125_01,fluor_yes_125_02,100_no_125_00,100_no_125_01,100_no_125_02,100_yes_125_00,100_yes_125_01,100_yes_125_02
37.5,0,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.5,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
40.5,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
42.5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0
43.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0
44.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,393,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,694,0,0,0,0,0,0,0,0,0,0
46.5,0,0,0,0,13,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1096,0,0,0,0,0,0,0,0,0,0
47.5,0,0,0,0,48,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1573,0,0,0,0,0,0,0,0,0,0
48.5,0,0,0,0,160,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2073,0,0,0,0,0,0,0,0,0,0
49.5,0,0,0,0,495,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2536,0,0,0,0,0,0,0,0,0,0
50.5,0,0,0,4,1417,5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2910,0,0,0,0,0,0,0,0,0,0
51.5,0,0,0,20,3744,13513,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,3162,0,0,0,0,0,0,0,0,0,0
52.5,0,0,0,88,9147,28292,0,0,0,5,0,0,0,0,0,0,22,0,0,0,0,27,0,0,0,3282,0,0,0,0,0,0,0,0,0,0
53.5,0,0,0,336,20672,53280,0,0,0,14,0,0,0,0,0,0,121,0,0,0,0,38,0,0,0,3279,0,1,0,0,0,0,0,0,0,0
54.5,0,0,0,1096,43249,91067,0,0,0,34,0,0,0,0,0,0,506,0,0,0,0,55,0,0,0,3177,0,3,0,0,0,0,0,0,0,0
55.5,0,0,0,3090,83895,142769,0,0,0,78,0,0,0,0,0,0,1647,0,0,0,0,79,0,0,0,3008,0,9,0,0,0,0,2,0,0,0
56.5,0,0,0,7631,151214,207656,0,0,0,168,0,0,0,0,0,0,4228,0,0,0,0,115,1,0,0,2803,0,21,0,0,0,0,3,0,0,0
57.5,0,0,0,16748,253974,283471,0,0,0,342,0,0,0,0,0,1,8626,0,0,0,0,168,2,0,0,2588,0,46,0,0,0,0,7,0,0,0
58.5,0,0,0,33141,398889,367233,0,0,0,659,0,0,0,0,0,2,14109,0,0,0,0,248,3,0,0,2386,0,95,0,0,0,0,13,0,0,0
59.5,0,0,0,59969,588271,456054,0,0,0,1203,0,0,0,0,0,4,18660,0,0,0,0,368,5,0,0,2213,0,186,0,0,0,0,25,0,0,0
60.5,0,0,0,100578,818461,547639,0,0,0,2082,0,0,0,0,0,7,20123,0,0,0,0,550,7,0,0,2082,0,342,0,0,2,0,47,0,0,0
61.5,0,0,0,158298,1079798,640361,0,0,0,3422,0,0,0,0,0,11,17845,0,0,0,0,826,11,0,1,2002,0,598,0,0,5,0,89,0,0,0
62.5,0,0,0,236409,1358270,733035,0,0,0,5347,0,2,0,0,0,17,13121,0,0,0,0,1246,17,0,3,1982,0,999,0,0,14,0,169,0,0,0
63.5,0,0,0,338251,1638309,824559,0,0,0,7957,0,5,0,0,0,27,8066,0,0,0,0,1887,25,0,7,2036,0,1605,0,0,36,0,315,0,0,0
64.5,0,0,0,467421,1905767,913626,0,0,0,11293,0,11,0,0,0,44,4180,0,0,0,0,2858,37,0,14,2181,0,2494,0,0,88,0,580,0,0,0
65.5,0,0,0,627931,2150196,998604,0,0,0,15313,0,24,0,0,0,68,1841,0,1,0,0,4325,55,0,29,2447,0,3772,0,0,208,0,1052,0,0,0
66.5,0,0,0,824247,2365914,1077635,0,0,0,19869,1,52,0,0,0,107,695,0,4,0,0,6517,82,0,59,2881,0,5582,0,0,468,1,1877,0,0,0
67.5,0,0,0,1061121,2551883,1148940,0,0,0,24714,3,107,0,0,0,165,227,0,11,0,1,9761,122,2,118,3555,2,8128,1,0,1004,3,3293,0,0,0
68.5,0,0,0,1343176,2710723,1211233,0,0,0,29522,7,211,0,0,0,253,65,0,33,0,5,14495,181,9,232,4584,16,11698,4,0,2047,7,5681,0,0,0
69.5,0,0,0,1674208,2847320,1264121,0,0,0,33926,14,402,0,0,0,383,16,0,93,0,15,21292,267,32,449,6142,114,16702,12,0,3965,16,9634,0,0,0
70.5,0,0,0,2056219,2967424,1308386,0,0,0,37577,29,736,0,0,0,574,4,0,254,0,46,30878,394,102,853,8490,603,23726,38,0,7312,38,16060,0,0,0
71.5,0,0,0,2488243,3076462,1346049,0,0,0,40189,54,1292,0,0,0,848,0,0,655,0,139,44130,581,302,1588,12002,2420,33605,116,0,12871,86,26315,0,0,0
72.5,0,0,0,2965133,3178656,1380237,0,0,0,41584,99,2177,0,0,0,1234,0,0,1590,0,407,62063,856,820,2901,17192,7456,47518,338,3,21703,193,42380,0,0,0
73.5,0,0,0,3476545,3276437,1414911,0,0,0,41705,172,3525,0,0,0,1766,0,0,3621,0,1135,85785,1259,2067,5186,24737,17963,67113,943,20,35198,426,67069,0,0,0
74.5,0,0,0,4006458,3370119,1454546,0,0,0,40621,287,5497,0,0,0,2481,0,0,7722,0,3006,116433,1851,4850,9072,35468,34704,94660,2510,110,55150,918,104268,0,0,0
75.5,0,0,0,4533549,3457807,1503853,0,0,0,38498,459,8270,0,0,0,3417,0,0,15413,0,7496,155086,2718,10619,15513,50346,55479,133235,6330,503,83868,1938,159171,0,0,0
76.5,0,0,0,5032655,3535527,1567593,0,0,0,35572,706,12026,0,0,0,4605,0,0,28832,0,17522,202661,3987,21716,25925,70417,76019,186915,15042,1940,124337,3999,238466,0,0,0
77.5,0,0,0,5477270,3597623,1650469,0,0,0,32108,1045,16939,0,0,0,6066,0,0,50688,0,38237,259814,5836,41503,42336,96777,92685,260977,33560,6359,180444,8053,350424,0,0,0
78.5,0,0,0,5842768,3637418,1757060,0,0,0,28368,1491,23151,0,0,0,7801,0,0,84069,0,77721,326854,8524,74150,67568,130579,104400,362043,70106,17888,257264,15803,504783,0,0,0
79.5,0,0,0,6109708,3648148,1891746,0,0,0,24580,2055,30753,0,0,0,9786,0,0,132158,0,147028,403697,12408,123868,105427,173113,112593,498147,136982,43666,361399,30187,712380,0,0,0
80.5,0,0,0,6266503,3624046,2058543,0,0,0,20929,2739,39756,0,0,0,11966,0,0,197923,0,259029,489855,17983,193600,160901,225992,120050,678643,250447,93625,501334,56067,984449,0,0,0
81.5,0,0,0,6310804,3561436,2260799,0,0,0,17547,3538,50070,0,0,0,14256,0,0,283886,0,425850,584477,25919,283475,240314,291422,129978,913909,429232,178559,687763,101153,1331587,0,0,0
82.5,0,0,0,6249323,3459588,2500725,0,0,0,14514,4436,61486,0,0,0,16546,0,0,392033,0,655417,686425,37095,389740,351429,372553,145831,1214792,691673,306887,933774,177110,1762435,0,0,0
83.5,0,0,0,6096211,3321133,2778746,0,0,0,11868,5406,73664,0,0,0,18714,0,0,523857,1,948335,794385,52643,504835,503409,473881,171812,1591793,1052157,481584,1254780,300703,2282229,0,0,0
