particle_size,16_3_20_1_00,16_3_20_1_01,16_3_20_1_02,16_2_20_1_00,16_2_20_1_01,16_2_20_1_02,16_1_4_1_00,16_1_4_1_01,16_1_4_1_02,14_3_20_1_00,14_3_20_1_01,14_3_20_1_02,14_2_16_1_00,14_2_16_1_01,14_2_16_1_02,14_1_4_1_00,14_1_4_1_01,14_1_4_1_02
525.5,428633,145650,70159,22712,73837,31300,2,35331,17604,84197,268397,62883,233080,138747,135272,2093251,448332,239401
526.5,415359,144022,73757,22885,72528,32675,1,36010,16802,82234,270020,57354,232968,135712,132127,1966257,438447,253153
527.5,400147,142299,77509,23095,71206,34176,1,36693,16013,80371,271647,52220,232836,132695,129102,1841109,429071,267713
528.5,383204,140481,81415,23343,69876,35809,0,37378,15238,78603,273272,47462,232676,129698,126192,1718576,420195,283111
529.5,364764,138566,85470,23628,68539,37583,0,38063,14478,76928,274892,43060,232478,126721,123394,1599335,411807,299371
530.5,345083,136553,89670,23951,67199,39503,0,38749,13736,75342,276503,38995,232235,123768,120704,1483968,403897,316518
531.5,324433,134443,94009,24312,65858,41579,0,39434,13010,73842,278102,35248,231938,120840,118119,1372960,396455,334572
532.5,303092,132235,98479,24711,64519,43817,0,40117,12304,72425,279683,31802,231578,117938,115635,1266705,389469,353549
533.5,281340,129929,103072,25149,63185,46225,0,40797,11616,71089,281244,28638,231147,115064,113249,1165505,382930,373465
534.5,259454,127528,107775,25626,61858,48810,0,41474,10949,69830,282778,25739,230634,112221,110957,1069577,376827,394327
535.5,237697,125031,112575,26141,60540,51579,0,42146,10303,68646,284283,23088,230033,109409,108757,979059,371150,416138
536.5,216312,122441,117459,26696,59233,54536,0,42812,9678,67534,285752,20669,229334,106630,106646,894015,365890,438897
537.5,195524,119761,122408,27291,57941,57687,0,43471,9076,66492,287182,18465,228530,103886,104620,814444,361035,462593
538.5,175527,116992,127403,27926,56663,61035,0,44122,8496,65517,288567,16462,227611,101179,102676,740289,356578,487211
539.5,156487,114139,132425,28600,55404,64583,0,44764,7938,64608,289903,14646,226570,98509,100812,671441,352508,512725
540.5,138538,111205,137450,29314,54163,68328,0,45397,7404,63762,291183,13002,225400,95878,99025,607750,348817,539102
541.5,121783,108195,142453,30068,52943,72271,0,46018,6893,62977,292404,11518,224092,93287,97313,549033,345497,566300
542.5,106291,105114,147409,30862,51745,76405,0,46628,6406,62252,293559,10180,222642,90738,95672,495079,342538,594264
543.5,92102,101967,152289,31694,50571,80722,0,47225,5942,61584,294643,8978,221041,88232,94100,445654,339933,622932
544.5,79227,98762,157066,32564,49421,85210,0,47808,5500,60971,295651,7900,219286,85769,92596,400514,337675,652228
545.5,67651,95503,161709,33471,48296,89856,0,48376,5082,60413,296577,6935,217369,83350,91157,359402,335755,682066
546.5,57340,92199,166187,34414,47198,94638,0,48928,4687,59907,297414,6073,215288,80977,89780,322058,334165,712348
547.5,48237,88857,170469,35391,46127,99534,0,49464,4313,59452,298159,5306,213038,78651,88463,288222,332900,742964
548.5,40274,85486,174525,36400,45083,104515,0,49982,3962,59046,298804,4625,210617,76371,87205,257638,331952,773792
549.5,33370,82092,178322,37439,44068,109547,0,50481,3632,58688,299344,4021,208021,74139,86004,230054,331313,804698
550.5,27439,78686,181831,38504,43082,114592,0,50961,3322,58377,299774,3488,205252,71954,84857,205228,330977,835536
551.5,22388,75276,185023,39594,42125,119606,0,51421,3033,58111,300087,3017,202307,69819,83764,182927,330938,866150
552.5,18125,71870,187869,40703,41197,124542,0,51860,2763,57890,300277,2604,199188,67732,82722,162932,331187,896374
553.5,14559,68479,190343,41828,40298,129348,0,52277,2512,57712,300339,2241,195896,65694,81729,145034,331719,926032
554.5,11603,65112,192422,42964,39429,133966,0,52672,2279,57575,300268,1924,192434,63705,80785,129037,332526,954940
555.5,9174,61777,194085,44106,38590,138338,0,53044,2063,57480,300058,1647,188806,61766,79887,114761,333600,982908
556.5,7195,58484,195313,45247,37780,142401,0,53393,1864,57424,299703,1407,185016,59876,79034,102037,334935,1009741
557.5,5599,55241,196092,46382,37000,146093,0,53717,1680,57408,299198,1198,181070,58035,78226,90709,336521,1035240
558.5,4321,52058,196409,47503,36248,149351,0,54016,1511,57429,298539,1018,176975,56243,77460,80635,338351,1059206
