168.5,2311485935,1112492081,1314534399,1178466985,2637264419,1710848764,317611172,
169.5,2304615513,1105527160,1269101172,1096714056,2711968146,1697585209,338573181,
170.5,2292030991,1102805178,1227455354,1026118278,2782805446,1686243049,357496765,
171.5,2273259950,1104040455,1189371350,965697529,2848435454,1676160947,374152307,
172.5,2247985907,1108959794,1154639167,914530463,2907520069,1666727080,388366270,
173.5,2216061691,1117298239,1123065936,871770115,2958763500,1657391896,400005435,
174.5,2177516183,1128794982,1094476803,836650557,3000953757,1647678456,408969463,
175.5,2132553728,1143189619,1068715307,808488181,3033004102,1637190187,415188438,
176.5,2081546004,1160218902,1045643344,786678945,3053992353,1625615910,418623297,
177.5,2025016737,1179614137,1025140816,770692667,3063195835,1612732038,419267740,
178.5,1963620154,1201099361,1007105027,760065260,3060119939,1598401948,417150669,
179.5,1898114528,1224390395,991449902,754389557,3044518521,1582572581,412338470,
180.5,1829332505,1249194848,978105071,753305237,3016404823,1565268497,404936675,
181.5,1758150006,1275213109,967014856,756488249,2976052156,1546583675,395090701,
182.5,1685455575,1302140320,958137202,763640044,2923984214,1526671471,382985490,
183.5,1612121785,1329669268,951442562,774476907,2860955552,1505733215,368844042,
184.5,1538980100,1357494096,946912746,788719658,2787923351,1484005990,352924931,
185.5,1466800179,1385314669,944539756,806084039,2706012151,1461750159,335519035,
186.5,1396274187,1412841409,944324576,826272109,2616473565,1439237169,316945794,
187.5,1328006310,1439800360,946275928,848965002,2520643266,1416738173,297549388,
188.5,1262507287,1465938240,950408962,873817424,2419897519,1394513886,277695225,
189.5,1200193474,1491027214,956743870,900454239,2315611429,1372806045,257767075,
190.5,1141389778,1514869163,965304384,928469452,2209120794,1351830714,238164918,
191.5,1086335668,1537299209,976116131,957427802,2101689047,1331773571,219303142,
192.5,1035193429,1558188342,989204822,986869046,1994480316,1312787191,201607754,
193.5,988057871,1577445011,1004594230,1016314856,1888539158,1294990225,185509879,
194.5,944966771,1595015610,1022303939,1045278057,1784777054,1278468286,171431020,
195.5,905911447,1610883871,1042346836,1073273761,1683965369,1263276257,159754616,
196.5,870846972,1625069191,1064726328,1099831763,1586734135,1249441678,150781144,
197.5,839701692,1637624005,1089433288,1124509474,1493575822,1236968856,144673208,
198.5,812385786,1648630348,1116442732,1146904546,1404853109,1225843304,141410807,
199.5,788798752,1658195766,1145710260,1166666404,1320809631,1216036162,140783079,
200.5,768835738,1666448763,1177168311,1183505915,1241582729,1207508291,142428519,
201.5,752392740,1673533973,1210722306,1197202614,1167217282,1200213783,145908182,
202.5,739370697,1679607231,1246246779,1207609046,1097679871,1194102725,150780409,
203.5,729678557,1684830704,1283581620,1214652065,1032872631,1189123115,156653067,
204.5,723235394,1689368211,1322528600,1218331080,972646339,1185221925,163207345,
205.5,719971661,1693380859,1362848343,1218713535,916812387,1182345357,170199655,
206.5,719829637,1697023049,1404257953,1215927998,865153451,1180438418,177451322,
207.5,722763154,1700438924,1446429521,1210155430,817432770,1179443960,184833668,
208.5,728736640,1703759267,1488989711,1201619221,773402014,1179301371,192252946,
209.5,737723520,1707098874,1531520667,1190574621,732807807,1179945098,199637315,
210.5,749703996,1710554367,1573562403,1177298139,695397019,1181303185,206926655,
211.5,764662246,1714202444,1614616846,1162077422,660920934,1183295979,214065350,
212.5,782583037,1718098527,1654153634,1145202014,629138459,1185835134,220997854,
213.5,803447787,1722275772,1691617686,1126955277,599818507,1188823005,227666677,
214.5,827230112,1726744419,1726438506,1107607666,572741693,1192152479,234012391,
215.5,853890909,1731491451,1758041077,1087411420,547701482,1195707268,239975198,
216.5,883373036,1736480541,1785858085,1066596652,524504885,1199362640,245497635,
217.5,915595732,1741652269,1809343164,1045368762,502972812,1202986548,250527961,
218.5,950448886,1746924615,1827984715,1023907036,482940160,1206441082,255023842,
219.5,987787373,1752193708,1841319814,1002364259,464255702,1209584171,258955930,
