NTA Experiment Summary File
59.5,158486,2422735,621077,4638,306973,702782,441885,
60.5,431346,2824959,757031,15261,355700,876859,501094,
61.5,985298,3198792,909811,43159,402822,1107976,550314,
62.5,1907437,3521470,1078257,106031,448259,1412291,609961,
63.5,3166413,3774805,1260398,229317,492908,1784768,715279,
64.5,4568900,3947682,1453375,443015,538549,2190304,868057,
65.5,5817550,4037224,1653434,775832,587695,2574347,1017052,
66.5,6643409,4048460,1856016,1248654,643447,2887997,1100914,
67.5,6919297,3992770,2055970,1869015,709394,3109289,1088668,
68.5,6684582,3885604,2247904,2626900,789570,3246912,991122,
69.5,6088926,3744074,2426639,3491557,888419,3327923,854008,
70.5,5310772,3584886,2587685,4409781,1010733,3380771,744026,
71.5,4498160,3422875,2727677,5307574,1161462,3423550,717831,
72.5,3746056,3270218,2844663,6097696,1345337,3460794,772196,
73.5,3100292,3136221,2938199,6694089,1566225,3487005,852894,
74.5,2572507,3027519,3009247,7030601,1826192,3493213,910793,
75.5,2155337,2948486,3059886,7077696,2124329,3473147,921812,
76.5,1833450,2901690,3092933,6850031,2455521,3426725,882833,
77.5,1590051,2888290,3111513,6401159,2809469,3360097,805255,
78.5,1410067,2908285,3118681,5807678,3170372,3283017,709295,
79.5,1281314,2960583,3117119,5149700,3517619,3205267,618370,
80.5,1194664,3042921,3108936,4494970,3827697,3133838,552422,
81.5,1143782,3151648,3095579,3890633,4077121,3071753,519873,
82.5,1124774,3281456,3077839,3362506,4245876,3018490,513987,
83.5,1135854,3425172,3055930,2919101,4320572,2971326,519869,
84.5,1177095,3573722,3029618,2557298,4296527,2926852,524558,
85.5,1250240,3716389,2998390,2267490,4178258,2882153,521071,
86.5,1358529,3841453,2961624,2037304,3978339,2835450,507567,
87.5,1506459,3937191,2918761,1853869,3714996,2786255,485386,
88.5,1699377,3993125,2869444,1705005,3409118,2735214,457646,
89.5,1942769,4001308,2813621,1579805,3081389,2683779,428876,
90.5,2241109,3957379,2751613,1468961,2750056,2633824,405605,
91.5,2596193,3861135,2684114,1365047,2429586,2587215,396918,
92.5,3005035,3716503,2612163,1262799,2130206,2545341,412593,
93.5,3457614,3530903,2537071,1159317,1858118,2508605,457724,
94.5,3935097,3314174,2460327,1054039,1616147,2475957,528823,
95.5,4409370,3077291,2383485,948397,1404561,2444621,615819,
96.5,4844669,2831130,2308066,845169,1221885,2410184,706246,
97.5,5201682,2585477,2235455,747677,1065607,2367180,787918,
98.5,5443653,2348381,2166829,659030,932715,2310121,850423,
99.5,5543112,2125873,2103094,581605,820081,2234753,886245,
100.5,5487325,1921983,2044847,516853,724710,2139144,891595,
101.5,5280779,1738964,1992356,465375,643872,2024269,866687,
102.5,4943945,1577636,1945542,427199,575170,1893898,815344,
103.5,4508841,1437756,1903986,402121,516556,1753852,743993,
104.5,4012875,1318367,1866935,390049,466316,1610908,660347,
105.5,3492762,1218093,1833316,391305,423038,1471703,572133,
106.5,2979882,1135362,1801764,406885,385581,1341895,486103,
107.5,2497741,1068572,1770671,438676,353030,1225738,407476,
108.5,2061426,1016192,1738244,489639,324663,1126033,339781,
109.5,1678499,976823,1702597,563893,299915,1044345,285045,
110.5,1350652,949219,1661868,666606,278349,981339,244315,
111.5,1075544,932287,1614352,803487,259626,937059,218482,
112.5,848435,925066,1558659,979621,243490,911054,209028,
113.5,663460,926693,1493859,1197385,229740,902227,217600,
114.5,514503,936359,1419606,1453415,218227,908422,243993,
115.5,395738,953257,1336224,1735139,208838,925839,284537,
116.5,301901,976535,1244716,2018206,201490,948570,332334,
117.5,228406,1005236,1146714,2266853,196130,968668,378360,
118.5,171345,1038254,1044347,2439086,192729,977152,412925,
119.5,127440,1074294,940056,2496846,191283,965984,427742,
120.5,93976,1111845,836380,2418371,191813,930477,418386,
121.5,68717,1149181,735738,2207440,194363,871088,386215,
122.5,49844,1184386,640246,1894389,199005,793574,338724,
123.5,35886,1215407,551580,1527504,205830,707241,287874,
124.5,25666,1240145,470907,1158489,214949,622031,246379,
125.5,18257,1256572,398874,828691,226487,545776,222157,
126.5,12933,1262861,335654,561541,240571,482712,213986,
127.5,9140,1257537,281024,362581,257322,433521,214294,
128.5,6455,1239603,234466,224699,276838,396412,215992,
129.5,4566,1208648,195262,134776,299176,368486,215377,
130.5,3243,1164913,162591,78977,324327,346810,211365,
131.5,2317,1109293,135599,45671,352201,329016,204181,
132.5,1670,1043292,113456,26340,382595,313471,194562,
133.5,1218,968914,95394,15313,415183,299205,183424,
134.5,901,888511,80727,9070,449498,285741,171735,
135.5,678,804610,68856,5529,484931,272921,160452,
136.5,520,719724,59277,3503,520738,260752,150456,
137.5,407,636191,51567,2326,556063,249311,142448,
138.5,327,556035,45378,1630,589976,238669,136838,
139.5,270,480872,40431,1214,621515,228860,133654,
140.5,229,411868,36501,965,649743,219861,132559,
141.5,201,349739,33410,821,673805,211595,132963,
142.5,182,294787,31017,749,692981,203943,134187,
143.5,170,246964,29215,732,706730,196762,135598,
144.5,164,205947,27923,765,714719,189904,136693,
145.5,165,171226,27081,852,716839,183233,137120,
146.5,171,142169,26648,1007,713198,176639,136669,
147.5,184,118095,26598,1256,704104,170047,135248,
148.5,206,98320,26919,1641,690030,163423,132853,
149.5,238,82194,27611,2231,671574,156770,129548,
150.5,284,69126,28688,3131,649416,150129,125431,
151.5,351,58591,30172,4499,624271,143577,120625,
152.5,448,50139,32100,6566,596853,137221,115255,
153.5,587,43391,34518,9654,567842,131198,109441,
154.5,792,38034,37482,14189,537859,125671,103291,
155.5,1096,33813,41064,20694,507448,120823,96895,
156.5,1550,30526,45344,29742,477073,116847,90335,
157.5,2237,28012,50413,41859,447110,113926,83694,
158.5,3281,26148,56371,57361,417855,112203,77077,
159.5,4879,24842,63326,76155,389530,111746,70621,
160.5,7332,24026,71387,97534,362289,112514,64497,
161.5,11098,23657,80660,120075,336234,114345,58859,
162.5,16860,23708,91240,141694,311420,116984,53761,
163.5,25622,24171,103201,159930,287870,120159,49065,
164.5,38819,25054,116584,172412,265580,123690,44435,
165.5,58430,26380,131383,177393,244528,127623,39494,
166.5,87081,28186,147529,174174,224683,132331,34208,
167.5,128072,30524,164880,163273,206005,138551,29694,
168.5,185271,33461,183202,146283,188454,147334,29483,
169.5,262787,37080,202164,125459,171990,159896,37940,
170.5,364353,41478,221334,103214,156575,177391,55360,
171.5,492372,46767,240187,81658,142172,200631,79976,
172.5,646720,53074,258113,62308,128751,229793,110481,
173.5,823498,60534,274453,46004,116279,264154,145583,
174.5,1014107,69294,288526,32985,104728,301928,183401,
175.5,1205078,79500,299678,23056,94069,340276,221222,
176.5,1379056,91295,307326,15774,84273,375545,255613,
177.5,1517061,104812,311012,10609,75309,403761,282830,
178.5,1601751,120159,310440,7044,67143,421307,299456,
179.5,1620969,137412,305507,4639,59740,425653,303104,
180.5,1570588,156599,296324,3043,53061,415923,292997,
181.5,1455733,177693,283205,1997,47066,393139,270219,
182.5,1289923,200593,266656,1318,41711,360040,237575,
183.5,1092309,225123,247327,877,36952,320518,199085,
184.5,883833,251019,225973,592,32742,278832,159307,
185.5,683418,277930,203388,407,29035,238835,122740,
186.5,505183,305418,180359,285,25786,203406,93492,
187.5,357201,332971,157609,205,22951,174187,74874,
188.5,241788,360009,135761,151,20489,151640,67803,
189.5,156845,385909,115311,115,18359,135308,69144,
190.5,97626,410027,96615,91,16524,124177,74216,
191.5,58393,431721,79894,74,14952,117007,79983,
192.5,33619,450386,65239,63,13612,112584,85160,
193.5,18665,465474,52638,55,12477,109862,89329,
194.5,10013,476527,41993,50,11524,108022,92394,
195.5,5202,483197,33148,47,10732,106465,94352,
196.5,2623,485260,25911,47,10085,104785,95225,
197.5,1287,482633,20074,48,9567,102722,95045,
198.5,616,475374,15427,51,9167,100127,93855,
199.5,289,463678,11771,56,8876,96934,91715,
200.5,132,447870,8927,64,8688,93136,88705,
201.5,60,428388,6735,75,8599,88772,84922,
202.5,27,405757,5061,92,8608,83909,80478,
203.5,12,380574,3792,115,8715,78641,75500,
204.5,5,353470,2836,147,8923,73076,70117,
205.5,2,325094,2119,194,9240,67330,64463,
206.5,0,296080,1584,261,9674,61520,58667,
207.5,0,267027,1186,357,10237,55761,52850,
208.5,0,238479,891,497,10944,50162,47123,
209.5,0,210912,671,699,11817,44820,41581,
210.5,0,184720,509,992,12877,39819,36305,
211.5,0,160213,388,1416,14155,35234,31356,
212.5,0,137615,298,2028,15683,31125,26781,
213.5,0,117065,230,2905,17503,27541,22613,
214.5,0,98629,180,4149,19661,24524,18874,
215.5,0,82303,142,5893,22210,22110,15585,
216.5,0,68028,114,8299,25211,20330,12778,
