NTA Experiment Summary File
58.5,6320528,4827468,4443807,3651900,2911589,4431059,576336,
59.5,7418166,5896370,5013907,3959829,3689502,5195555,680417,
60.5,8420003,6911373,5578773,4116344,4475757,5900450,796441,
61.5,9276452,7813104,6118635,4178580,5231300,6523614,910334,
62.5,9955678,8560382,6612661,4202922,5927790,7051887,1006992,
63.5,10444019,9132992,7041754,4231000,6549867,7479927,1075430,
64.5,10743491,9529785,7391213,4287076,7093856,7809084,1110456,
65.5,10867831,9763877,7652589,4380996,7564202,8045899,1112047,
66.5,10838286,9856892,7824335,4512598,7969142,8200251,1083909,
67.5,10679898,9833790,7911206,4675880,8316822,8283519,1032007,
68.5,10418628,9719088,7922719,4862613,8612540,8307118,963270,
69.5,10079359,9534680,7871138,5065357,8857384,8281584,884488,
70.5,9684665,9299022,7769501,5279711,9048223,8216225,801363,
71.5,9254196,9027278,7630029,5505526,9178830,8119172,717851,
72.5,8804505,8731975,7463093,5746935,9241783,7997658,635987,
73.5,8349171,8423807,7276765,6011318,9230685,7858349,556494,
74.5,7899100,8112318,7076841,6307498,9142166,7707585,480447,
75.5,7462896,7806332,6867201,6643527,8977193,7551430,412193,
76.5,7047248,7514093,6650334,7024276,8741391,7395468,363308,
77.5,6657269,7243173,6427923,7448986,8444364,7244343,353067,
78.5,6296777,7000226,6201347,7908921,8098244,7101103,394559,
79.5,5968501,6790693,5972065,8385438,7715926,6966525,479105,
80.5,5674232,6618538,5741825,8849063,7309417,6838615,586120,
81.5,5414912,6486030,5512706,9260376,6888639,6712533,696320,
82.5,5190700,6393593,5287026,9573444,6460863,6581125,794090,
83.5,5001000,6339686,5067151,9742000,6030754,6436118,867067,
84.5,4844475,6320711,4855277,9727607,5600913,6269797,906611,
85.5,4719044,6330942,4653219,9507957,5172729,6076778,908979,
86.5,4621863,6362500,4462248,9082792,4747318,5855344,876457,
87.5,4549306,6405438,4283011,8475337,4326370,5607893,817818,
88.5,4496954,6448005,4115509,7728491,3912704,5340333,747658,
