Profile,Profile_N,Profile_mean,Profile_sd,Profile_se
Normal,2,215102246833.3333,66550473590.00203,47058291166.66667
TgAA,2,208266715625,30895965724.357033,21846746875
Hypothyroid,2,1645240877833.3333,2138027011464.656,1511813398166.6665
