"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Znhit12",1.49475169806076e-45,0.673896694276211,0.899,0.335,4.18500580423051e-41,"Ciliated cells","Znhit1"
"Cdpf1",1.50982615728301e-45,0.610222146690303,0.646,0.114,4.22721127516097e-41,"Ciliated cells","Cdpf1"
"Ank31",2.06577944580073e-45,0.572894429655673,0.793,0.198,5.78376929235287e-41,"Ciliated cells","Ank3"
"Nat9",3.41657465811653e-45,0.495738504860055,0.546,0.074,9.56572572779466e-41,"Ciliated cells","Nat9"
"Isg20",3.65855729393725e-45,0.490955012024922,0.57,0.09,1.02432287115655e-40,"Ciliated cells","Isg20"
"Sord",4.52377403061308e-45,0.591143460315274,0.604,0.103,1.26656625309105e-40,"Ciliated cells","Sord"
"Pmepa1",5.62082019028915e-45,0.488758176100351,0.558,0.099,1.57371723687716e-40,"Ciliated cells","Pmepa1"
"Baiap2",7.33130174857277e-45,0.633904306906965,0.643,0.103,2.0526178635654e-40,"Ciliated cells","Baiap2"
"Ppp1cb",1.18186724754162e-44,0.609471343599565,0.826,0.288,3.30899191966703e-40,"Ciliated cells","Ppp1cb"
"Rfc2",1.2402665548153e-44,0.58734927919158,0.668,0.158,3.47249830017187e-40,"Ciliated cells","Rfc2"
"Ptov1",1.78055727465986e-44,0.568922408175941,0.622,0.103,4.98520425759266e-40,"Ciliated cells","Ptov1"
"Rnf186",5.92281361567005e-44,0.508848901981015,0.503,0.046,1.6582693561153e-39,"Ciliated cells","Rnf186"
"Myo1b",6.44278173289983e-44,0.451207837281537,0.515,0.059,1.80385002957729e-39,"Ciliated cells","Myo1b"
"Swt11",8.56044039605433e-44,0.628187883445509,0.78,0.228,2.39675210208729e-39,"Ciliated cells","Swt1"
"Sfn",8.82059664570349e-44,0.484811094025927,0.506,0.062,2.46959064886406e-39,"Ciliated cells","Sfn"
"Ctnnb13",1.34166319305247e-43,0.628728719518591,0.933,0.449,3.75638860790829e-39,"Ciliated cells","Ctnnb1"
"Ctnna1",1.47759567864566e-43,0.480550630905481,0.787,0.263,4.13697238107211e-39,"Ciliated cells","Ctnna1"
"Mgat5",1.60336987620012e-43,0.454841594985451,0.53,0.069,4.48911497938509e-39,"Ciliated cells","Mgat5"
"Trib2",2.03719535633155e-43,0.456531182852031,0.512,0.047,5.70373955865707e-39,"Ciliated cells","Trib2"
"Mrps6",2.14522221031231e-43,0.572060268998863,0.591,0.103,6.00619314443241e-39,"Ciliated cells","Mrps6"
"Cxadr",2.21855675280666e-43,0.477117734959912,0.558,0.081,6.21151519650808e-39,"Ciliated cells","Cxadr"
"Cep19",2.36014640743159e-43,0.529509312085715,0.518,0.061,6.60793791152696e-39,"Ciliated cells","Cep19"
"Pbx1",2.83722801518403e-43,0.593831134981123,0.744,0.225,7.94367099691225e-39,"Ciliated cells","Pbx1"
"Golgb1",6.73543275485419e-43,0.745630279980531,0.835,0.257,1.88578646270408e-38,"Ciliated cells","Golgb1"
"Thap3",8.99254346936661e-43,0.439288331285131,0.573,0.102,2.51773232055326e-38,"Ciliated cells","Thap3"
"Slc9a3r1",1.3241592790224e-42,0.595969287604415,0.777,0.23,3.70738114940693e-38,"Ciliated cells","Slc9a3r1"
"Snapin",1.47826025054208e-42,0.514166607449243,0.643,0.131,4.13883304946771e-38,"Ciliated cells","Snapin"
"Cdkn1a1",1.55805752849383e-42,0.550154026925184,0.71,0.2,4.36224946827704e-38,"Ciliated cells","Cdkn1a"
"Tspan2",1.98904418557101e-42,0.442509906780939,0.567,0.108,5.56892591076172e-38,"Ciliated cells","Tspan2"
"Ino80b",2.03511735902834e-42,0.564734788646378,0.695,0.187,5.69792158180755e-38,"Ciliated cells","Ino80b"
