"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a4",4.58099910615929e-150,1.98495627453384,0.991,0.218,1.28258812974248e-145,"Classical monocytes","S100a4"
"Ms4a6c",8.95331394540045e-145,1.78237476841708,0.975,0.194,2.50674883843322e-140,"Classical monocytes","Ms4a6c"
"F13a1",1.3675027105904e-137,1.7614241860575,0.892,0.059,3.82873408911101e-133,"Classical monocytes","F13a1"
"Ccr2",2.12350674708465e-136,1.65948833179981,0.96,0.161,5.9453941904876e-132,"Classical monocytes","Ccr2"
"Ly6c2",2.33944041462937e-130,1.99599357282229,0.947,0.165,6.54996527287931e-126,"Classical monocytes","Ly6c2"
"Plac8",9.19668604307815e-130,1.90885696695274,0.998,0.325,2.57488815834102e-125,"Classical monocytes","Plac8"
"Ifitm3",7.21313354870152e-129,1.67083558080467,0.999,0.376,2.01953313096545e-124,"Classical monocytes","Ifitm3"
"Lgals3",6.07781936948715e-124,1.30125047413251,0.999,0.494,1.70166786706901e-119,"Classical monocytes","Lgals3"
"Ccl9",3.25666411427446e-121,1.47584540039943,0.923,0.185,9.11800818714563e-117,"Classical monocytes","Ccl9"
"Alox5ap",3.04248826122993e-111,1.1969221979346,0.996,0.419,8.51835863379156e-107,"Classical monocytes","Alox5ap"
"Tgfbi",2.24161599164354e-109,1.41646959853136,0.948,0.313,6.27607645340358e-105,"Classical monocytes","Tgfbi"
"Smpdl3a",7.04967245330901e-109,1.3204995486509,0.949,0.388,1.97376729347746e-104,"Classical monocytes","Smpdl3a"
"S100a6",9.32038806359161e-102,0.998355251197776,0.999,0.517,2.60952225004438e-97,"Classical monocytes","S100a6"
"Fn1",1.03334820006096e-101,1.44047483099695,0.88,0.152,2.89316829053068e-97,"Classical monocytes","Fn1"
"Prdx5",8.34472134714593e-98,1.01681540303669,0.983,0.617,2.33635508277392e-93,"Classical monocytes","Prdx5"
"Lst1",1.24192997362525e-96,1.00997658462896,0.942,0.264,3.47715554015597e-92,"Classical monocytes","Lst1"
"Ifitm6",1.94915771320025e-94,1.19738698152943,0.834,0.123,5.45725176541807e-90,"Classical monocytes","Ifitm6"
"Gpx1",2.40426104777451e-94,0.916711039273599,0.998,0.762,6.73145008155907e-90,"Classical monocytes","Gpx1"
"Wfdc17",7.58274871646514e-94,0.446141488147993,0.991,0.381,2.12301798563591e-89,"Classical monocytes","Wfdc17"
"Vim",1.94170369573443e-91,1.08331204835276,0.995,0.611,5.43638200731726e-87,"Classical monocytes","Vim"
"Vcan",8.98170706863196e-91,1.2218943742803,0.6,0.018,2.51469834507558e-86,"Classical monocytes","Vcan"
"Pld4",3.19183373537868e-90,1.10159969910139,0.883,0.246,8.93649609231324e-86,"Classical monocytes","Pld4"
"Tyrobp",6.82706873623141e-90,0.978456845354198,1,0.588,1.91144270477007e-85,"Classical monocytes","Tyrobp"
"Ms4a4c",5.04115167534216e-89,1.2392620956737,0.771,0.108,1.4114216460623e-84,"Classical monocytes","Ms4a4c"
"Clec4a1",7.87143786588828e-86,1.03955652173599,0.736,0.106,2.2038451736914e-81,"Classical monocytes","Clec4a1"
"Msrb1",3.6897344590015e-85,0.916072764708698,0.992,0.489,1.03305185383124e-80,"Classical monocytes","Msrb1"
"Arpc1b",1.14058246570285e-84,0.843229966317557,0.991,0.767,3.19340278747483e-80,"Classical monocytes","Arpc1b"
"Emb",3.16532263352698e-84,0.962409595919349,0.906,0.423,8.86227030934883e-80,"Classical monocytes","Emb"
"H3f3a",7.66590239916201e-84,0.778766697280449,0.999,0.953,2.14629935371738e-79,"Classical monocytes","H3f3a"
"Ifitm2",1.06065576625142e-83,0.948051570001836,0.989,0.451,2.96962401435073e-79,"Classical monocytes","Ifitm2"
"Emilin2",1.32968801244418e-83,1.01440053117636,0.722,0.108,3.72286049724122e-79,"Classical monocytes","Emilin2"
"Gsr",7.03269075855765e-83,1.00779431037529,0.902,0.309,1.96901275858097e-78,"Classical monocytes","Gsr"
"Shfm1",7.21311488456989e-82,0.765146735377109,0.997,0.839,2.01952790538188e-77,"Classical monocytes","Shfm1"
"Fcer1g",8.12480968438136e-82,0.916583171352336,1,0.534,2.27478421543309e-77,"Classical monocytes","Fcer1g"
"Pirb",8.94934227580441e-82,0.939686179522274,0.783,0.192,2.50563685037972e-77,"Classical monocytes","Pirb"
"Ms4a6b",7.4964856608813e-80,1.05982034715291,0.821,0.181,2.09886605533355e-75,"Classical monocytes","Ms4a6b"
"Actg1",6.60566619086652e-79,0.730489913290684,1,0.944,1.84945442011881e-74,"Classical monocytes","Actg1"
"H2afz",1.41421586640486e-78,0.835744443840349,0.991,0.773,3.95952158276032e-74,"Classical monocytes","H2afz"
"Hp",8.90052239641077e-77,0.672440654332047,0.962,0.463,2.49196826054709e-72,"Classical monocytes","Hp"
"AB124611",1.08690807605124e-76,0.86125955404253,0.81,0.219,3.04312523132826e-72,"Classical monocytes","AB124611"
"Arhgdib",9.3003451047559e-75,0.87095978775072,0.98,0.593,2.60391062242956e-70,"Classical monocytes","Arhgdib"
"Lyz2",1.33128325074747e-74,0.857229466170346,1,0.908,3.72732684544276e-70,"Classical monocytes","Lyz2"
"Crip1",4.85580430574478e-74,0.84695901256132,0.999,0.758,1.35952808952242e-69,"Classical monocytes","Crip1"
"Hspa8",1.16462758225786e-73,0.779718093468724,0.99,0.88,3.26072430480554e-69,"Classical monocytes","Hspa8"
"Cybb",2.68248751709181e-73,0.910955948706581,0.96,0.335,7.51042855035364e-69,"Classical monocytes","Cybb"
"Psma7",7.24317604819482e-72,0.833093141086419,0.938,0.569,2.02794442997358e-67,"Classical monocytes","Psma7"
"Pkm",6.43327359031884e-71,0.831364653446522,0.929,0.542,1.80118793981747e-66,"Classical monocytes","Pkm"
"Tpd52",2.03294165574966e-70,0.847608034926305,0.886,0.394,5.69183004776788e-66,"Classical monocytes","Tpd52"
"Spi1",4.51534508638341e-70,0.82902836266596,0.95,0.395,1.26420631728563e-65,"Classical monocytes","Spi1"
"Coro1a",5.11155704634669e-70,0.801455635712871,0.995,0.622,1.43113374183615e-65,"Classical monocytes","Coro1a"
"Rps9",2.70131388201993e-68,0.49306327571846,1,0.99,7.56313860687941e-64,"Classical monocytes","Rps9"
"Pycard",3.75126640949766e-68,0.886605660190064,0.797,0.279,1.05027956933116e-63,"Classical monocytes","Pycard"
"F10",1.09616776990263e-67,0.966152164274163,0.634,0.091,3.06905052217339e-63,"Classical monocytes","F10"
"Fam96a",1.37285461905117e-67,0.935428747689292,0.876,0.367,3.84371836241946e-63,"Classical monocytes","Fam96a"
"Cyba",1.69533828203157e-67,0.734705529845428,0.996,0.777,4.746608122032e-63,"Classical monocytes","Cyba"
"Rpl10",2.54142011963654e-67,0.469806376955893,0.997,0.97,7.11546805095839e-63,"Classical monocytes","Rpl10"
"Ifi27l2a",5.44732760092743e-67,1.27001237844127,0.857,0.367,1.52514278170766e-62,"Classical monocytes","Ifi27l2a"
"Rplp0",1.20289125734234e-65,0.545790538970326,0.999,0.958,3.36785494230708e-61,"Classical monocytes","Rplp0"
"Igsf6",1.87293194825999e-64,0.919378128830585,0.659,0.102,5.24383486873833e-60,"Classical monocytes","Igsf6"
"Fxyd5",1.80330255424469e-63,0.69311178774541,0.985,0.563,5.04888649137429e-59,"Classical monocytes","Fxyd5"
"Clec4a3",5.58691873859835e-63,0.889973895192166,0.756,0.194,1.56422550843277e-58,"Classical monocytes","Clec4a3"
"Gapdh",9.4387182073363e-63,0.759020500674696,0.979,0.733,2.64265232369002e-58,"Classical monocytes","Gapdh"
"Rpl28",4.85774863479966e-62,0.509386808444561,1,0.959,1.36007246277121e-57,"Classical monocytes","Rpl28"
"Ifi204",8.31282542838038e-62,0.933882356988654,0.585,0.073,2.32742486343794e-57,"Classical monocytes","Ifi204"
"Tmsb10",2.87553735085735e-61,0.828904760745661,0.998,0.831,8.0509294749304e-57,"Classical monocytes","Tmsb10"
"Aprt",4.10017112784068e-61,0.860384935002383,0.84,0.342,1.14796591237283e-56,"Classical monocytes","Aprt"
"Plbd1",7.96520528526177e-61,0.789615199309683,0.755,0.199,2.23009817576759e-56,"Classical monocytes","Plbd1"
"Fcgr3",1.1330697407505e-60,0.753633860599449,0.813,0.262,3.17236866015324e-56,"Classical monocytes","Fcgr3"
"Fam49b",1.1415749534282e-60,0.783967642368105,0.845,0.367,3.19618155460827e-56,"Classical monocytes","Fam49b"
"Ifi30",5.57296222752938e-60,0.900391216094278,0.88,0.401,1.56031796446367e-55,"Classical monocytes","Ifi30"
"Ncf2",3.87118633993232e-59,0.814753210548853,0.824,0.294,1.08385475145425e-54,"Classical monocytes","Ncf2"
"Zeb2",4.16148798148939e-59,0.907849045569274,0.83,0.269,1.1651334050574e-54,"Classical monocytes","Zeb2"
"Erp29",4.62858687741821e-59,0.819119305900986,0.917,0.493,1.29591175393955e-54,"Classical monocytes","Erp29"
"Hacd4",3.2701123727593e-58,0.779930626358186,0.616,0.127,9.15566062125149e-54,"Classical monocytes","Hacd4"
"Ms4a6d",7.51974864464985e-58,0.977695775651878,0.629,0.12,2.10537922552906e-53,"Classical monocytes","Ms4a6d"
"Mrpl33",3.19682433622211e-57,0.778769875519162,0.953,0.599,8.95046877655466e-53,"Classical monocytes","Mrpl33"
"Rassf4",5.09569578324779e-57,0.834225973863046,0.748,0.215,1.42669290539372e-52,"Classical monocytes","Rassf4"
"Ctss",9.55332886964758e-57,0.641478828225659,0.994,0.529,2.67474101692393e-52,"Classical monocytes","Ctss"
"Eef1a1",2.4759871601033e-56,0.424930122280895,1,0.981,6.93226885085721e-52,"Classical monocytes","Eef1a1"
"Vsir",3.55660293947743e-56,0.863477971890606,0.805,0.238,9.9577769099489e-52,"Classical monocytes","Vsir"
"Btf3",4.34282724926715e-56,0.53687442543349,0.981,0.844,1.21590477324982e-51,"Classical monocytes","Btf3"
"Lgals1",7.53925720542902e-56,0.683565359718943,0.931,0.415,2.11084123237602e-51,"Classical monocytes","Lgals1"
"Rps27a",3.15890772146705e-55,0.412280948258861,1,0.993,8.84430983856343e-51,"Classical monocytes","Rps27a"
"Psap",1.24953151766884e-54,0.600114295132352,0.999,0.659,3.49843834316923e-50,"Classical monocytes","Psap"
"Rbm3",1.3293240375091e-54,0.780488255180306,0.927,0.591,3.72184144021797e-50,"Classical monocytes","Rbm3"
"Lyn",1.55035430613828e-54,0.77752022650798,0.84,0.324,4.34068198632595e-50,"Classical monocytes","Lyn"
"Sec61b",1.78023728824881e-54,0.660514172446989,0.97,0.77,4.98430835963903e-50,"Classical monocytes","Sec61b"
"Fos",2.67078271244344e-54,0.816222671532389,0.825,0.348,7.47765743829914e-50,"Classical monocytes","Fos"
"Taldo1",3.39327959585265e-54,0.718293744747053,0.951,0.569,9.50050421246824e-50,"Classical monocytes","Taldo1"
"Itm2b",3.50740972643319e-54,0.488738295793122,0.998,0.918,9.82004575206764e-50,"Classical monocytes","Itm2b"
"S100a10",4.16801336117152e-54,0.565080675479442,0.943,0.656,1.1669603808608e-49,"Classical monocytes","S100a10"
"Cmtm7",5.88886236124114e-54,0.771608250242444,0.781,0.265,1.64876368390029e-49,"Classical monocytes","Cmtm7"
"Rpsa",1.67841361052861e-53,0.467752211222221,1,0.934,4.699222426758e-49,"Classical monocytes","Rpsa"
"Slc25a5",3.67979504629033e-53,0.670052170346047,0.951,0.671,1.03026901706037e-48,"Classical monocytes","Slc25a5"
"Ptpn18",5.42485542544498e-52,0.63320581242659,0.943,0.495,1.51885102201609e-47,"Classical monocytes","Ptpn18"
"Cd52",8.03331096441713e-52,0.620060689652663,0.998,0.69,2.24916640381751e-47,"Classical monocytes","Cd52"
"Lsp1",8.93230343742342e-52,0.595977921628146,0.964,0.53,2.50086631640981e-47,"Classical monocytes","Lsp1"
"Sirpb1c",2.42987522769634e-51,0.849168310626417,0.604,0.144,6.80316466250422e-47,"Classical monocytes","Sirpb1c"
"Cotl1",3.57015385054269e-51,0.724646031275628,0.944,0.514,9.99571675074942e-47,"Classical monocytes","Cotl1"
"Ccdc109b",5.93744526045314e-51,0.774012715148339,0.576,0.12,1.66236592402167e-46,"Classical monocytes","Ccdc109b"
"Gda",1.94367312240395e-50,0.739332249584048,0.774,0.247,5.44189600810658e-46,"Classical monocytes","Gda"
"Ethe1",3.19080811103649e-50,0.732322132034835,0.529,0.096,8.93362454927995e-46,"Classical monocytes","Ethe1"
"Emp3",4.28020562616148e-50,0.738186763839226,0.906,0.423,1.19837197121269e-45,"Classical monocytes","Emp3"
"Tspo",9.2401540404986e-50,0.682119964829764,0.952,0.664,2.5870583282588e-45,"Classical monocytes","Tspo"
"Ftl1",1.53903459758663e-49,0.358919366617453,1,0.979,4.30898906632306e-45,"Classical monocytes","Ftl1"
"Eno1",7.58615823400211e-49,0.768154647889147,0.85,0.362,2.12397258235591e-44,"Classical monocytes","Eno1"
"Mmp8",1.54306240248806e-48,0.667931974434466,0.541,0.076,4.32026611448607e-44,"Classical monocytes","Mmp8"
"Lamtor4",2.72425849285254e-48,0.734410365785841,0.81,0.387,7.62737892828855e-44,"Classical monocytes","Lamtor4"
"Arpc2",6.59965828407148e-48,0.546067608086809,0.987,0.805,1.84777232637433e-43,"Classical monocytes","Arpc2"
"Ahnak",7.04917064402625e-48,0.745997250506151,0.894,0.471,1.97362679691447e-43,"Classical monocytes","Ahnak"
"Clta",9.20063507851077e-48,0.609437564837226,0.962,0.713,2.57599380928145e-43,"Classical monocytes","Clta"
"Bin2",1.219330787705e-47,0.610173977536345,0.701,0.253,3.41388233941645e-43,"Classical monocytes","Bin2"
"Ncf4",2.23047763092347e-47,0.738299402354979,0.689,0.189,6.24489127105954e-43,"Classical monocytes","Ncf4"
"Itgam",3.74065084368988e-47,0.711847908830416,0.583,0.115,1.04730742321629e-42,"Classical monocytes","Itgam"
"Tmcc1",6.22931735722645e-47,0.666963470021683,0.761,0.28,1.74408427367626e-42,"Classical monocytes","Tmcc1"
"Rpl7a",8.61129202037803e-47,0.492367350000213,0.995,0.894,2.41098953986544e-42,"Classical monocytes","Rpl7a"
"Sap30",8.87234487310146e-47,0.740347333165826,0.55,0.115,2.48407911757095e-42,"Classical monocytes","Sap30"
"Csf1r",1.51080903032666e-46,0.609369121121128,0.688,0.193,4.22996312310859e-42,"Classical monocytes","Csf1r"
"Clec4a2",1.9093312023635e-46,0.806417528588301,0.637,0.154,5.34574550037733e-42,"Classical monocytes","Clec4a2"
"Ly86",8.26983388552229e-46,0.767399242495953,0.707,0.187,2.31538809126853e-41,"Classical monocytes","Ly86"
"Fyb",9.86189135594601e-46,0.606045103715376,0.725,0.235,2.76113234183776e-41,"Classical monocytes","Fyb"
"Rgs2",3.68373068706643e-45,0.635897298678969,0.789,0.311,1.03137091776486e-40,"Classical monocytes","Rgs2"
"Gyg",7.93564659509102e-45,0.762486368417896,0.643,0.198,2.22182233369358e-40,"Classical monocytes","Gyg"
"Hmgb2",3.26626702302066e-44,0.533738675036734,0.845,0.435,9.14489441105326e-40,"Classical monocytes","Hmgb2"
"Hexa",3.77941613011262e-44,0.613574346750354,0.808,0.377,1.05816092810893e-39,"Classical monocytes","Hexa"
"Rhog",1.0512257085229e-43,0.568395085704248,0.762,0.343,2.94322173872241e-39,"Classical monocytes","Rhog"
"Cfl1",1.06713628287259e-43,0.482812999861017,0.992,0.872,2.98776816478669e-39,"Classical monocytes","Cfl1"
"Ap1s2",2.05462906526207e-43,0.66320918286609,0.602,0.172,5.75255045692075e-39,"Classical monocytes","Ap1s2"
"Sec61g",2.15433544080298e-43,0.52634319043381,0.982,0.828,6.03170836716019e-39,"Classical monocytes","Sec61g"
"Sat1",2.87877936003454e-43,0.616132642012463,0.957,0.663,8.06000645222472e-39,"Classical monocytes","Sat1"
"Rpl41",2.97608548902221e-43,0.268742734317935,1,0.997,8.33244415216439e-39,"Classical monocytes","Rpl41"
"Capg",1.01976335940167e-42,0.685593718446855,0.791,0.326,2.8551334536528e-38,"Classical monocytes","Capg"
"Gm2a",1.28360611808332e-42,0.551699971067321,0.852,0.391,3.59384040940968e-38,"Classical monocytes","Gm2a"
"Rpl4",1.83570965938799e-42,0.37842238576383,0.999,0.92,5.1396199043545e-38,"Classical monocytes","Rpl4"
"Mpeg1",2.27500167186793e-42,0.506801923316974,0.871,0.321,6.36954968089583e-38,"Classical monocytes","Mpeg1"
"Cd300a",3.48773705446596e-42,0.668353091962681,0.577,0.133,9.7649662050938e-38,"Classical monocytes","Cd300a"
"Coro1b",9.96093765375969e-42,0.68928724742024,0.727,0.293,2.78886332429964e-37,"Classical monocytes","Coro1b"
"Sh3bgrl3",3.15891801955449e-41,0.549291091517663,0.995,0.84,8.84433867114865e-37,"Classical monocytes","Sh3bgrl3"
"Prelid1",3.24084155560182e-41,0.645667063669518,0.85,0.48,9.07370818737397e-37,"Classical monocytes","Prelid1"
"Samhd1",6.79695950993444e-41,0.706497147414448,0.851,0.393,1.90301272359144e-36,"Classical monocytes","Samhd1"
"Eif3f",7.42680242052137e-41,0.510538094425693,0.967,0.767,2.07935614169757e-36,"Classical monocytes","Eif3f"
"Eef2",7.49931835951949e-41,0.409721282146143,0.981,0.874,2.09965915429827e-36,"Classical monocytes","Eef2"
"Actr3",8.82861055323788e-41,0.568990060218604,0.949,0.65,2.47183438269554e-36,"Classical monocytes","Actr3"
"Tmpo",2.17099431888736e-40,0.637008966557089,0.586,0.2,6.07834989402083e-36,"Classical monocytes","Tmpo"
"Fau",2.21686756912491e-40,0.371530636661482,1,0.995,6.20678582003591e-36,"Classical monocytes","Fau"
"Klra2",5.85509494797082e-40,0.663333378570232,0.523,0.117,1.63930948353287e-35,"Classical monocytes","Klra2"
"Rps26",1.07678913252101e-39,0.406493426783003,0.998,0.943,3.01479421323232e-35,"Classical monocytes","Rps26"
"Eif3h",3.96377055341027e-39,0.518584288337094,0.927,0.663,1.10977647954381e-34,"Classical monocytes","Eif3h"
"Cox4i1",4.26442354610771e-39,0.380247946832415,0.994,0.912,1.19395330443924e-34,"Classical monocytes","Cox4i1"
"Ggh",4.29807441974978e-39,0.639616649593543,0.585,0.176,1.20337487604154e-34,"Classical monocytes","Ggh"
"Arpc3",4.47173971813103e-39,0.492156026306032,0.942,0.664,1.25199768628233e-34,"Classical monocytes","Arpc3"
"Ifngr1",4.59183796845906e-39,0.678613900965648,0.82,0.395,1.28562279440917e-34,"Classical monocytes","Ifngr1"
"Cfp",4.66009408987812e-39,0.695564768072707,0.571,0.135,1.30473314328408e-34,"Classical monocytes","Cfp"
"Rpl29",1.43195897958813e-38,0.407026894332711,0.992,0.906,4.00919875105085e-34,"Classical monocytes","Rpl29"
"Rpl24",1.62053128620848e-38,0.336102519591375,0.999,0.954,4.5371634951265e-34,"Classical monocytes","Rpl24"
"Sub1",2.69705022644317e-38,0.519694781311345,0.978,0.817,7.5512012239956e-34,"Classical monocytes","Sub1"
"Tm6sf1",3.06944666284291e-38,0.592823817513624,0.664,0.245,8.59383676662759e-34,"Classical monocytes","Tm6sf1"
"Eif3k",3.48796814457622e-38,0.502283067137433,0.915,0.665,9.76561321118449e-34,"Classical monocytes","Eif3k"
"Irf5",5.367505567138e-38,0.647169404937316,0.592,0.161,1.5027942086873e-33,"Classical monocytes","Irf5"
"Rpl10a",7.48315055485024e-38,0.381057614654138,0.998,0.913,2.09513249234697e-33,"Classical monocytes","Rpl10a"
"Rps12",8.22016111086638e-38,0.341196085241288,0.998,0.964,2.30148070782037e-33,"Classical monocytes","Rps12"
"Gpi1",1.38136488096108e-37,0.606791482562183,0.82,0.456,3.86754539371482e-33,"Classical monocytes","Gpi1"
"AI662270",4.36905758592961e-37,0.614968390389823,0.639,0.223,1.22324874290857e-32,"Classical monocytes","AI662270"
"Naca",4.50852330745821e-37,0.365928363295219,0.99,0.887,1.26229635562215e-32,"Classical monocytes","Naca"
"Ppp1ca",5.99669630916314e-37,0.547753641182047,0.922,0.637,1.6789550326395e-32,"Classical monocytes","Ppp1ca"
"Nadk",7.21113234777177e-37,0.583906683052753,0.69,0.314,2.01897283472914e-32,"Classical monocytes","Nadk"
"Rpl36al",1.43173742637713e-36,0.439150556267777,0.992,0.874,4.00857844637068e-32,"Classical monocytes","Rpl36al"
"Sell",2.36648547362591e-36,0.565632282440662,0.655,0.207,6.62568602905781e-32,"Classical monocytes","Sell"
"Atp5c1",2.87789332969268e-36,0.588880512962751,0.858,0.541,8.05752574447356e-32,"Classical monocytes","Atp5c1"
"Gngt2",3.78437387363742e-36,0.515986112657933,0.837,0.361,1.05954899714101e-31,"Classical monocytes","Gngt2"
"Eif4ebp1",4.93276899376619e-36,0.521045026674944,0.608,0.235,1.38107666287466e-31,"Classical monocytes","Eif4ebp1"
"Ctsc",1.44707739612155e-35,0.57681586459683,0.896,0.552,4.05152729366113e-31,"Classical monocytes","Ctsc"
"Rps5",2.53228715191777e-35,0.292255022924379,0.999,0.955,7.08989756793938e-31,"Classical monocytes","Rps5"
"Rpl6",3.16430928112116e-35,0.309146268937394,0.999,0.956,8.85943312528301e-31,"Classical monocytes","Rpl6"
"Evi2a",3.62259423337802e-35,0.671673035237855,0.598,0.157,1.01425393346118e-30,"Classical monocytes","Evi2a"
"Itgb7",4.56564751835354e-35,0.62058411670549,0.645,0.181,1.27828999218862e-30,"Classical monocytes","Itgb7"
"Rps2",5.37530441445004e-35,0.397482829415928,0.997,0.928,1.50497772995772e-30,"Classical monocytes","Rps2"
"Tnfaip8l2",7.50959361951298e-35,0.667354615554048,0.699,0.231,2.10253602159124e-30,"Classical monocytes","Tnfaip8l2"
"Gnb2",1.12405475950639e-34,0.47424320637185,0.924,0.655,3.14712851566598e-30,"Classical monocytes","Gnb2"
"Ly6e",1.22280272070723e-34,0.491464394109719,0.994,0.831,3.4236030574361e-30,"Classical monocytes","Ly6e"
"Klf13",1.56280419772975e-34,0.591443012085988,0.72,0.329,4.37553919280374e-30,"Classical monocytes","Klf13"
"Nrros",3.94045711923702e-34,0.616072092812626,0.59,0.172,1.10324918424398e-29,"Classical monocytes","Nrros"
"Mgst1",2.04375951684471e-33,0.533841145346063,0.878,0.493,5.72211789526182e-29,"Classical monocytes","Mgst1"
"Atp2b1",2.10009977642268e-33,0.546495934273141,0.738,0.417,5.87985935402821e-29,"Classical monocytes","Atp2b1"
"Ptpn1",2.30688836602801e-33,0.614688365656702,0.73,0.331,6.45882604720521e-29,"Classical monocytes","Ptpn1"
"Rpl26",2.94068468727871e-33,0.262415377732866,0.999,0.97,8.23332898744293e-29,"Classical monocytes","Rpl26"
"Gm8730",3.10652885205627e-33,0.576206754871647,0.797,0.427,8.69765947998714e-29,"Classical monocytes","Gm8730"
"Esd",3.82964200160957e-33,0.619077492310503,0.781,0.399,1.07222316761065e-28,"Classical monocytes","Esd"
"Capzb",5.24334740449241e-33,0.499450021401563,0.915,0.615,1.46803240630978e-28,"Classical monocytes","Capzb"
"Capza2",5.93483768408245e-33,0.550187978535929,0.832,0.48,1.6616358547894e-28,"Classical monocytes","Capza2"
"Rpl18",8.44754366911768e-33,0.263074313536835,0.998,0.948,2.36514327647957e-28,"Classical monocytes","Rpl18"
"Ptpn6",1.00415294890899e-32,0.563307760908858,0.759,0.342,2.8114274263554e-28,"Classical monocytes","Ptpn6"
"Rap1b",2.41896422372098e-32,0.495925981798402,0.889,0.56,6.77261603357401e-28,"Classical monocytes","Rap1b"
"Rpl19",3.29259840153664e-32,0.272165432301832,0.999,0.964,9.2186170046223e-28,"Classical monocytes","Rpl19"
"Pnp",7.20995937678562e-32,0.635788863710235,0.562,0.201,2.01864442631244e-27,"Classical monocytes","Pnp"
"Gmfg",1.75770415871983e-31,0.510212747110719,0.864,0.45,4.92122010358378e-27,"Classical monocytes","Gmfg"
"Rps25",3.06402956699455e-31,0.319958657039168,0.999,0.971,8.57866998167135e-27,"Classical monocytes","Rps25"
"Gm9844",3.06967509398227e-31,0.525959233183444,0.569,0.225,8.59447632813155e-27,"Classical monocytes","Gm9844"
"Fgr",4.72518999422273e-31,0.54671133407389,0.604,0.191,1.32295869458248e-26,"Classical monocytes","Fgr"
"Gm9843",1.99758746321697e-30,0.404612914837271,0.946,0.745,5.59284537951489e-26,"Classical monocytes","Gm9843"
"Rps16",2.1990460286333e-30,0.252654930338522,1,0.987,6.15688907096752e-26,"Classical monocytes","Rps16"
"Rps6",2.25616793725889e-30,0.294943530253314,0.999,0.959,6.31681899073744e-26,"Classical monocytes","Rps6"
"Arpc4",2.52226159778036e-30,0.520270708673803,0.755,0.383,7.06182802146545e-26,"Classical monocytes","Arpc4"
"Rnh1",4.64678120520419e-30,0.534271771737853,0.687,0.339,1.30100580183307e-25,"Classical monocytes","Rnh1"
"Lilrb4a",5.28504514330211e-30,0.470660062682693,0.559,0.185,1.47970693922173e-25,"Classical monocytes","Lilrb4a"
"Arpc5",5.53940001666317e-30,0.501982756604813,0.927,0.618,1.55092121666535e-25,"Classical monocytes","Arpc5"
"Hck",7.28614265752476e-30,0.589599000937498,0.575,0.17,2.03997422125378e-25,"Classical monocytes","Hck"
"Fam105a",9.80361535015292e-30,0.503868715764235,0.604,0.233,2.74481622573581e-25,"Classical monocytes","Fam105a"
"Glud1",1.01807631136145e-29,0.630318539309676,0.726,0.327,2.85041005654978e-25,"Classical monocytes","Glud1"
"Grn",1.07012851977471e-29,0.433334075833839,0.785,0.386,2.99614582966523e-25,"Classical monocytes","Grn"
"Cd68",1.17551903104491e-29,0.507020487567654,0.687,0.244,3.29121818311953e-25,"Classical monocytes","Cd68"
"Unc93b1",1.19800058636902e-29,0.625827470389796,0.731,0.295,3.35416204171597e-25,"Classical monocytes","Unc93b1"
"Tgfb1",1.240357099397e-29,0.634866214195711,0.737,0.327,3.47275180689171e-25,"Classical monocytes","Tgfb1"
"Atp5h",1.32496166397204e-29,0.419191084046452,0.956,0.779,3.70962766678893e-25,"Classical monocytes","Atp5h"
"Ostf1",1.47904320553609e-29,0.446556365687354,0.893,0.584,4.14102516685994e-25,"Classical monocytes","Ostf1"
"Cdk2ap2",3.67810792331055e-29,0.450170549068764,0.866,0.623,1.02979665636849e-24,"Classical monocytes","Cdk2ap2"
"Rpl32",3.91628526332426e-29,0.29258133377063,1,0.966,1.09648154802553e-24,"Classical monocytes","Rpl32"
"Zyx",1.09597918173023e-28,0.468946813266178,0.688,0.294,3.0685225130083e-24,"Classical monocytes","Zyx"
"Anxa2",1.8433200730182e-28,0.417458925321383,0.928,0.606,5.16092754043636e-24,"Classical monocytes","Anxa2"
"Pid1",1.91343691471228e-28,0.531110830426318,0.514,0.151,5.35724067381145e-24,"Classical monocytes","Pid1"
"Serf2",4.29628062954557e-28,0.331070077706002,0.996,0.943,1.20287265066017e-23,"Classical monocytes","Serf2"
"Ap2s1",6.06245621550481e-28,0.468634121333456,0.717,0.415,1.69736649121704e-23,"Classical monocytes","Ap2s1"
"Arf5",7.76147998425062e-28,0.478476855144466,0.916,0.664,2.17305916599049e-23,"Classical monocytes","Arf5"
"Rnpep",9.07131486384183e-28,0.53900522414135,0.579,0.242,2.53978673557843e-23,"Classical monocytes","Rnpep"
"Csf2ra",3.32621156153497e-27,0.479332314083571,0.599,0.252,9.31272712998561e-23,"Classical monocytes","Csf2ra"
"Il6ra",6.94614355776445e-27,0.516825834662002,0.55,0.193,1.94478127330289e-22,"Classical monocytes","Il6ra"
"Dbi",1.33127962268117e-26,0.438304458511676,0.936,0.624,3.72731668758274e-22,"Classical monocytes","Dbi"
"Fam174a",1.40812462868273e-26,0.503988814666652,0.642,0.302,3.94246733538591e-22,"Classical monocytes","Fam174a"
"Rgs10",2.3148280986895e-26,0.397101286376958,0.674,0.321,6.48105571071086e-22,"Classical monocytes","Rgs10"
"Gdi2",2.59031939199397e-26,0.376630237293353,0.819,0.55,7.25237623370472e-22,"Classical monocytes","Gdi2"
