particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02
116.5,2199311,2338170,409630,844741,2106397,1590145,5874,1127720,936076,999208,910008,692767
117.5,1892789,2025298,269337,737269,1894483,1654366,4495,965593,776959,777848,721679,558047
118.5,1638990,1753058,177737,659600,1720912,1731550,3702,833672,649245,602873,572702,454782
119.5,1429031,1516896,118584,605048,1579266,1817241,3292,726214,546659,465730,455230,375540
120.5,1255282,1312618,80600,568805,1464000,1906170,3163,638529,464147,359016,362771,314614
121.5,1111288,1136406,56234,547454,1370357,1992285,3281,566812,397671,276474,290040,267665
122.5,991656,984806,40572,538577,1294263,2068982,3667,507991,344022,212927,232791,231415
123.5,891917,854717,30482,540465,1232209,2129546,4396,459597,300665,164169,187651,203401
124.5,808385,743365,23998,551881,1181141,2167766,5623,419647,265601,126836,151962,181778
125.5,738031,648284,19902,571867,1138374,2178622,7621,386548,237257,98273,123643,165166
126.5,678371,567290,17460,599578,1101517,2158920,10856,359021,214398,76413,101075,152534
127.5,627364,498457,16249,634137,1068437,2107744,16110,336037,196057,59656,83000,143117
128.5,583330,440094,16061,674504,1037233,2026609,24669,316770,181476,46780,68447,136346
129.5,544889,390728,16855,719376,1006244,1919276,38584,300550,170064,36850,56661,131803
130.5,510901,349077,18743,767112,974071,1791255,61016,286843,161361,29160,47060,129185
131.5,480427,314036,21999,815715,939606,1649104,96561,275218,155012,23176,39193,128277
132.5,452693,284654,27109,862873,902067,1499658,151407,265331,150745,18493,32710,128934
133.5,427067,260120,34826,906058,861021,1349329,232975,256912,148350,14807,27340,131065
134.5,403038,239743,46252,942702,816398,1203581,348652,249746,147671,11889,22869,134618
135.5,380199,222940,62898,970408,768468,1066625,503270,243671,148583,9566,19133,139577
