particle_size,1_125_1_00,1_125_1_01,1_125_1_02,1_125_2_00,1_125_2_01,1_125_2_02,2_125_1_00,2_125_1_01,2_125_1_02,2_125_2_00,2_125_2_01,2_125_2_02,3_125_1_00,3_125_1_01,3_125_1_02,3_125_2_00,3_125_2_01,3_125_2_02,4_125_1_00,4_125_1_01,4_125_1_02,4_125_2_00,4_125_2_01,4_125_2_02,5_125_1_00,5_125_1_01,5_125_1_02,5_125_2_00,5_125_2_01,5_125_2_02,6_125_1_00,6_125_1_01,6_125_1_02,6_125_2_00,6_125_2_01,6_125_2_02
94.5,4261728,8739552,3127816,5551196,7909818,8653385,4450699,3388022,5150221,3343041,3307320,4006617,5718529,4927824,3799084,3836494,5810436,3473899,7620563,3598779,3689634,6304774,7950003,8011500,12863690,12505550,4684021,7487051,10866468,12414494,5758100,6427966,2601783,3496422,3582276,2510298
95.5,4390354,8668386,3331116,6806049,8402178,8831684,4582560,3762601,5129684,3490707,3619626,4050093,6314897,4642567,3824807,4068887,5993456,3623728,8730900,3524054,4072225,6625840,8302160,8182968,12879797,12834547,4902452,7601669,10963484,12613265,5907152,6452666,3020485,3754154,4354280,2788260
96.5,4506818,8566900,3558727,8111957,8827181,8861185,4707146,4114063,5056191,3625033,3913166,4074604,6889042,4398832,3835854,4300645,6126253,3765014,9731571,3462310,4436861,6949043,8569176,8213493,12769700,12901380,5128691,7685452,11012068,12721332,5968014,6397747,3473102,4037814,5155351,3089489
97.5,4613691,8450377,3811189,9400625,9175919,8760282,4828449,4435195,4937989,3745222,4179692,4082971,7428835,4206555,3837600,4532345,6210188,3906364,10549424,3417189,4770754,7269920,8751430,8129373,12548045,12731023,5363269,7742476,11031077,12744216,5951737,6281821,3952377,4348610,5952531,3414321
98.5,4713755,8331377,4088185,10596998,9443794,8552379,4949526,4722235,4784017,3850789,4412121,4077231,7921394,4067734,3834570,4764383,6248958,4055703,11120548,3391623,5062341,7582877,8852254,7958621,12232576,12364719,5606254,7777015,11034630,12688990,5873070,6123857,4448364,4686907,6711139,3762128
99.5,4809904,8219648,4388377,11628882,9630451,8262585,5072430,4974804,4603219,3941566,4605034,4058680,8353263,3979256,3830273,4996910,6248186,4219930,11400244,3387993,5302358,7881428,8877339,7727749,11842728,11852588,5857106,7793279,11032236,12563731,5748456,5941581,4948661,5052067,7398244,4131020
100.5,4905046,8122263,4709269,12436854,9739287,7915113,5198195,5195373,4404013,4017693,4755007,4028015,8710912,3934754,3827156,5229775,6214870,4404724,11370550,3408260,5484671,8158554,8834141,7459839,11398317,11246440,6114557,7795221,11029260,12377078,5594291,5750468,5438931,5442320,7985966,4517592
101.5,5002023,8043895,5047111,12982263,9776645,7531534,5326890,5388467,4193940,4079617,4860732,3985537,8981548,3925701,3826636,5462484,6156771,4614427,11043263,3454085,5606732,8407156,8731325,7173681,10918410,10594064,6376516,7786409,11027522,12137876,5425621,5563282,5903707,5854657,8454067,4916753
102.5,5103540,7987137,5396877,13251569,9750867,7129861,5457695,5559761,3979467,4128064,4922935,3931384,9154163,3942047,3829183,5694161,6081832,4851942,10457561,3526890,5669604,8620565,8578253,6883676,10420467,9935593,6640026,7769956,11025963,11854933,5255359,5390028,6327407,6284773,8791473,5321683
103.5,5212103,7952819,5752351,13256241,9671342,6724292,5589004,5715246,3765931,4164023,4944119,3865736,9220670,3972696,3834438,5923529,5997666,5118613,9672871,3627890,5677595,8793060,8384522,6600200,9919760,9301932,6901285,7748493,11021314,11536840,5093938,5238177,6695475,6727091,8996575,5723975
