particle_size,qEV6_mGWT16_20_no_00,qEV6_mGWT16_20_no_01,qEV6_mGWT16_20_no_02,qEV8_mGWT16_20_no_00,qEV8_mGWT16_20_no_01,qEV8_mGWT16_20_no_02,qEV7_mGWT16_20_no_00,qEV7_mGWT16_20_no_01,qEV7_mGWT16_20_no_02,TEI_mGWT16_500_no_00,TEI_mGWT16_500_no_01,TEI_mGWT16_500_no_02
88.5,32984,123176,83001,1080140,887772,733843,938523,384280,194571,2477779,1460193,3158016
89.5,16377,125710,78444,1120541,974738,726098,998624,359891,170887,2426742,1294405,2886668
90.5,7415,125697,72231,1141628,1059807,729722,1047476,342600,151656,2400257,1171095,2617959
91.5,3081,122600,64729,1147012,1138228,742226,1082760,331551,136490,2396106,1083563,2353185
92.5,1186,116182,56403,1141383,1205114,761146,1102419,325704,124951,2411982,1026575,2094861
93.5,428,106597,47756,1129698,1256024,783972,1104916,323870,116622,2445393,996296,1846409
94.5,146,94407,39268,1116559,1287544,808147,1089498,324700,111151,2493546,990127,1611670
95.5,48,80508,31346,1105860,1297734,831125,1056407,326679,108265,2553242,1006511,1394346
96.5,16,65976,24286,1100653,1286352,850484,1006982,328161,107778,2620791,1044714,1197483
97.5,5,51881,18261,1103167,1254819,864075,943606,327472,109588,2691982,1104581,1023105
98.5,2,39111,13326,1114897,1205933,870168,869497,323084,113668,2762112,1186243,872051
99.5,0,28250,9440,1136712,1143430,867582,788383,313840,120056,2826107,1289771,744029
100.5,0,19551,6493,1168930,1071475,855752,704106,299158,128840,2878742,1414743,637828
101.5,0,12968,4338,1211356,994196,834749,620254,279170,140137,2914938,1559758,551616
102.5,0,8251,2816,1263289,915315,805222,539854,254712,154078,2930134,1721911,483263
103.5,0,5041,1778,1323505,837919,768301,465200,227172,170776,2920678,1896315,430616
104.5,0,2961,1092,1390250,764364,725457,397789,198228,190299,2884186,2075789,391719
105.5,0,1676,653,1461266,696277,678350,338377,169553,212639,2819815,2250861,364961
106.5,0,915,381,1533865,634645,628685,287099,142558,237677,2728394,2410199,349166
107.5,0,483,216,1605076,579930,578083,243626,118248,265158,2612379,2541548,343658
108.5,0,248,120,1671851,532203,527987,207330,97173,294669,2475644,2633123,348297
109.5,0,123,65,1731305,491265,479600,177419,79490,325635,2323110,2675233,363517
110.5,0,60,34,1780972,456750,433858,153049,65053,357330,2160294,2661832,390372
111.5,0,28,18,1819018,428206,391428,133401,53539,388898,1992822,2591621,430585
112.5,0,13,9,1844385,405157,352728,117728,44538,419406,1825995,2468396,486589
113.5,0,6,5,1856839,387138,317964,105378,37636,447895,1664435,2300542,561544
114.5,0,3,2,1856919,373723,287172,95801,32452,473446,1511869,2099761,659280
115.5,0,1,1,1845806,364537,260262,88552,28668,495246,1371036,1879358,784115
116.5,2,0,0,1825127,359258,237057,83274,26033,512643,1243710,1652465,940479
117.5,4,0,0,1796747,357615,217331,79695,24366,525186,1130809,1430574,1132279
118.5,11,0,0,1762557,359384,200836,77613,23548,532649,1032558,1222588,1361973
119.5,28,0,0,1724300,364375,187330,76885,23521,535034,948662,1034465,1629391
120.5,70,0,0,1683442,372423,176589,77422,24286,532554,878486,869361,1930461
121.5,174,0,0,1641080,383371,168424,79178,25901,525603,821200,728100,2256103
122.5,414,0,0,1597902,397060,162689,82145,28490,514712,775906,609804,2591701
123.5,943,0,0,1554182,413312,159287,86347,32251,500508,741723,512515,2917519
124.5,2040,0,0,1509805,431916,158178,91837,37464,483663,717845,433734,3210331
125.5,4171,0,0,1464316,452615,159384,98691,44513,464856,703576,370823,3446203
126.5,8020,0,0,1416990,475094,162989,107004,53894,444739,698337,321268,3604001
127.5,14458,0,0,1366926,498974,169150,116888,66229,423908,701658,282838,3668870
128.5,24375,0,0,1313153,523809,178101,128462,82268,402893,713158,253652,3634817
129.5,38362,0,0,1254752,549088,190154,141849,102873,382143,732508,232200,3505711
130.5,56287,0,0,1190985,574244,205706,157164,128967,362025,759383,217322,3294448
131.5,76947,0,0,1121426,598667,225235,174509,161465,342828,793412,208187,3020544
132.5,97984,0,0,1046063,621731,249298,193958,201141,324770,834115,204260,2706828
133.5,116248,0,0,965378,642811,278510,215544,248478,308006,880838,205278,2376066
134.5,128572,0,0,880361,661318,313514,239247,303476,292636,932701,211231,2048214
135.5,132685,0,0,792477,676726,354936,264972,365478,278716,988544,222351,1738717
136.5,127919,0,0,703556,688600,403305,292541,433034,266269,1046907,239108,1457905
137.5,115373,0,0,615637,696617,458958,321674,503855,255291,1106027,262201,1211295
138.5,97512,0,0,530776,700583,521915,351981,574897,245757,1163878,292555,1000456
139.5,77375,0,0,450859,700441,591729,382952,642574,237632,1218249,331297,824112
140.5,57759,0,0,377430,696271,667345,413964,703105,230869,1266853,379703,679207
141.5,40650,0,0,311583,688278,746965,444287,752928,225418,1307471,439120,561801
142.5,27035,0,0,253912,676781,827975,473105,789119,221226,1338108,510820,467725
143.5,17033,0,0,204527,662187,906956,499547,809733,218237,1357143,595810,393000
144.5,10191,0,0,163121,644967,979817,522728,814009,216398,1363461,694564,334071
145.5,5806,0,0,129076,625632,1042065,541795,802402,215652,1356534,806723,287905
146.5,3159,0,0,101570,604704,1089207,555983,776453,215942,1336465,930780,252004
147.5,1645,0,0,79690,582698,1117245,564663,738529,217208,1303960,1063821,224361
148.5,822,0,0,62515,560100,1123190,567392,691497,219386,1260258,1201396,203400
149.5,396,0,0,49182,537351,1105514,563948,638384,222405,1207020,1337590,187913
150.5,184,0,0,38924,514844,1064431,554351,582089,226187,1146185,1465367,176992
151.5,83,0,0,31087,492911,1001961,538870,525162,230641,1079824,1577166,169979
152.5,36,0,0,25132,471826,921731,518004,469677,235666,1010005,1665717,166420
153.5,15,0,0,20628,451805,828554,492453,417182,241147,938671,1724924,166031
154.5,6,0,0,17237,433011,727860,463072,368717,246953,867554,1750670,168673
155.5,3,0,0,14701,415556,625079,430811,324875,252938,798118,1741370,174333
156.5,1,0,0,12824,399513,525089,396663,285884,258945,731530,1698152,183112
157.5,0,0,0,11462,384917,431808,361598,251703,264799,668663,1624645,195212
158.5,0,0,0,10511,371774,347982,326519,222100,270323,610111,1526418,210934
159.5,0,0,0,9897,360067,275151,292222,196728,275328,556225,1410211,230662
160.5,0,0,0,9572,349757,213778,259366,175182,279632,507151,1283104,254858
161.5,0,0,0,9507,340796,163476,228461,157041,283054,462872,1151783,284039
162.5,0,0,0,9690,333121,123264,199868,141895,285431,423252,1021993,318750
163.5,0,0,0,10125,326663,91831,173807,129364,286616,388065,898224,359522
164.5,0,0,0,10828,321348,67742,150370,119112,286489,357035,783621,406806
165.5,0,0,0,11830,317094,49597,129549,110844,284965,329854,680069,460895
166.5,0,0,0,13176,313822,36128,111252,104311,281991,306206,588384,521808
167.5,0,0,0,14923,311444,26250,95327,99306,277555,285778,508560,589166
168.5,0,0,0,17145,309876,19076,81586,95665,271683,268275,440020,662043
169.5,0,0,0,19928,309028,13903,69816,93255,264443,253420,381830,738823
170.5,0,0,0,23372,308811,10190,59800,91978,255936,240964,332879,817082
171.5,0,0,0,27585,309135,7531,51324,91760,246294,230684,292007,893530
172.5,0,0,0,32682,309909,5629,44185,92554,235678,222383,258092,964055
173.5,0,0,0,38776,311042,4266,38195,94331,224263,215890,230102,1023903
174.5,0,0,0,45969,312444,3287,33187,97077,212239,211059,207121,1068032
175.5,0,0,0,54339,314026,2581,29013,100791,199798,207763,188353,1091624
176.5,0,0,0,63932,315702,2071,25543,105480,187129,205894,173124,1090723
177.5,0,0,0,74747,317390,1701,22668,111151,174412,205363,160871,1062912
178.5,0,0,0,86724,319012,1433,20293,117813,161813,206088,151125,1007892
179.5,0,0,0,99742,320497,1240,18340,125463,149478,207999,143499,927826
180.5,0,0,0,113611,321779,1105,16745,134086,137535,211030,137678,827315
181.5,0,0,0,128080,322803,1013,15455,143644,126086,215118,133399,712960
182.5,0,0,0,142849,323520,958,14425,154073,115212,220193,130448,592531
183.5,0,0,0,157581,323891,934,13622,165275,104973,226184,128643,473920
184.5,0,0,0,171929,323887,939,13018,177113,95408,233006,127832,364066
185.5,0,0,0,185554,323487,973,12593,189409,86535,240559,127882,268109
186.5,0,0,0,198150,322681,1039,12332,201942,78359,248727,128675,188941
187.5,0,0,0,209464,321463,1141,12225,214455,70870,257374,130102,127205
188.5,0,0,0,219306,319839,1288,12267,226654,64048,266339,132062,81692
189.5,0,0,0,227562,317818,1492,12455,238228,57863,275439,134458,49975
190.5,0,0,0,234191,315414,1770,12794,248855,52281,284470,137195,29087
191.5,0,0,0,239220,312646,2146,13290,258218,47262,293206,140180,16089
192.5,0,0,0,242738,309535,2653,13952,266030,42766,301405,143322,8451
193.5,0,0,0,244880,306103,3336,14796,272042,38751,308819,146532,4212
194.5,0,0,0,245815,302371,4256,15839,276064,35173,315196,149726,1991
195.5,0,0,0,245732,298363,5494,17104,277972,31994,320293,152822,892
196.5,0,0,0,244825,294097,7155,18617,277721,29175,323889,155747,379
197.5,0,0,0,243288,289591,9377,20408,275341,26679,325788,158437,153
198.5,0,0,0,241300,284862,12331,22510,270935,24472,325839,160834,58
199.5,0,0,0,239026,279923,16230,24962,264672,22525,323937,162893,21
200.5,0,0,0,236608,274784,21323,27802,256773,20808,320033,164579,7
201.5,0,0,0,234163,269454,27890,31073,247496,19297,314140,165866,2
202.5,0,0,0,231789,263940,36230,34814,237121,17969,306329,166741,0
203.5,0,0,0,229556,258248,46633,39066,225933,16804,296729,167197,0
204.5,0,0,0,227517,252381,59342,43862,214210,15784,285521,167239,0
205.5,0,0,0,225702,246344,74501,49230,202211,14892,272926,166876,0
206.5,0,0,0,224122,240143,92099,55183,190165,14116,259201,166122,0
