particle_size,1_25_1_00,1_25_1_01,1_25_1_02,1_25_2_00,1_25_2_01,1_25_2_02,2_25_1_00,2_25_1_01,2_25_1_02,2_25_2_00,2_25_2_01,2_25_2_02,3_25_1_00,3_25_1_01,3_25_1_02,3_25_2_00,3_25_2_01,3_25_2_02,4_25_1_00,4_25_1_01,4_25_1_02,4_25_2_00,4_25_2_01,4_25_2_02,5_25_1_00,5_25_1_01,5_25_1_02,5_25_2_00,5_25_2_01,5_25_2_02,6_25_1_00,6_25_1_01,6_25_1_02,6_25_2_00,6_25_2_01,6_25_2_02,7_25_1_00,7_25_1_01,7_25_1_02,7_25_2_00,7_25_2_01,7_25_2_02,8_25_1_00,8_25_1_01,8_25_1_02,8_25_2_00,8_25_2_01,8_25_2_02,14_20_1_00,14_20_1_01,14_20_1_02,16_20_2_00,16_20_2_01,16_20_2_02,16_20_1_00,16_20_1_01,16_20_1_02,15_20_2_00,15_20_2_01,15_20_2_02,15_20_1_00,15_20_1_01,15_20_1_02,14_20_2_00,14_20_2_01,14_20_2_02,13_20_2_00,13_20_2_01,13_20_2_02,13_20_1_00,13_20_1_01,13_20_1_02,12_20_2_00,12_20_2_01,12_20_2_02,12_20_1_00,12_20_1_01,12_20_1_02,11_20_2_00,11_20_2_01,11_20_2_02,11_20_1_00,11_20_1_01,11_20_1_02,10_20_2_00,10_20_2_01,10_20_2_02,10_20_1_00,10_20_1_01,10_20_1_02,9_20_2_00,9_20_2_01,9_20_2_02,9_20_1_00,9_20_1_01,9_20_1_02,24_20_2_00,24_20_2_01,24_20_2_02,24_20_1_00,24_20_1_01,24_20_1_02,23_20_2_00,23_20_2_01,23_20_2_02,23_20_1_00,23_20_1_01,23_20_1_02,22_20_2_00,22_20_2_01,22_20_2_02,22_20_1_00,22_20_1_01,22_20_1_02,21_20_2_00,21_20_2_01,21_20_2_02,21_20_1_00,21_20_1_01,21_20_1_02,20_20_2_00,20_20_2_01,20_20_2_02,20_20_1_00,20_20_1_01,20_20_1_02,19_20_2_00,19_20_2_01,19_20_2_02,19_20_1_00,19_20_1_01,19_20_1_02,18_20_2_00,18_20_2_01,18_20_2_02,18_20_1_00,18_20_1_01,18_20_1_02,17_20_2_00,17_20_2_01,17_20_2_02,17_20_1_00,17_20_1_01,17_20_1_02
208.5,0,460016,885992,929458,1586789,1288472,604186,815808,1266670,594793,1710668,888764,663972,462131,472392,536562,1179779,1330704,2922366,1548573,1951721,2603089,4516882,1609559,1168275,410649,391277,836834,538747,807604,997738,316131,684117,245709,513224,623036,446474,447559,476420,739684,466082,988697,1252439,1162312,749234,2381867,479073,912952,1098769,1046580,871677,1531729,927172,1779890,1380113,1288333,693198,567739,938862,1101599,816638,1529029,923104,1939227,1242315,1788427,1136677,1400100,1001423,707268,1484548,435513,1663262,2568570,2630109,1774455,3023941,2225051,1922587,1530355,1691415,1209668,2124465,1314231,2005146,2220828,1783507,3218119,2631480,1835825,1284939,1542351,977550,1592639,1066245,1054843,213804,323766,176911,610252,21149,565548,361481,621506,588755,244703,465227,219408,606776,72645,521601,161155,648173,309760,104016,679679,569327,194593,887772,227990,127591,229000,221668,286611,82997,620083,863443,466928,889829,471515,299602,327447,381487,491807,760511,312166,271552,404593,1256977,614702,186793,425651,611056,454472
209.5,0,466481,846223,922563,1600419,1290110,573221,815772,1258159,605250,1645232,921055,647207,444652,479835,518753,1157806,1314073,2892203,1524024,1900977,2504962,4451181,1573408,1167824,393607,349425,815411,554490,794363,975157,303958,670272,240879,496535,621841,462647,418934,478132,709821,454448,976428,1187437,1029042,739183,2239439,436895,863486,1078085,1062584,919349,1539442,925739,1740301,1350895,1261443,660097,573589,952431,1090425,799514,1494442,912416,1961327,1248848,1777140,1131884,1410028,975747,699051,1433649,463829,1609151,2469119,2554025,1783989,2875695,2213261,1780247,1518886,1730028,1167136,2194123,1297280,1931146,2242593,1738708,3141740,2669680,1823721,1260409,1525352,968257,1508276,1059985,1030303,212712,306031,176356,595969,21435,543965,363552,647938,596954,224199,473264,221187,584077,70963,517190,182866,569365,295394,95741,658459,571730,183536,827095,260398,117097,226379,222287,287940,86374,599066,807940,475579,899921,454969,282164,328376,377541,479244,708710,308687,246520,399457,1168707,612595,186370,410771,596741,454344
210.5,0,474528,808100,915877,1609395,1290740,543337,815865,1244735,619009,1578583,955427,631495,428322,488766,502524,1134323,1296717,2858941,1503517,1849839,2404567,4367622,1539268,1162974,379536,313106,793678,571749,780680,951947,293691,656317,237529,480514,619552,480327,392221,479619,680848,444753,962127,1119605,903199,727398,2083600,399425,815573,1057083,1074182,963567,1546610,928089,1701277,1322875,1232255,631182,580427,964188,1077594,783166,1457200,901962,1982347,1257954,1763752,1128054,1418416,950748,691798,1379364,496509,1562098,2370197,2479508,1796238,2731113,2198455,1643708,1509272,1764694,1128996,2262067,1283266,1862912,2264458,1693549,3059722,2706664,1812654,1239182,1507408,958517,1423332,1054300,1006753,212199,288889,175704,581978,22101,522872,367837,674000,605610,206257,481123,223938,560927,69788,511239,207847,501742,281547,88356,637714,573471,174230,767390,298734,108230,224234,222351,289679,90540,578061,755227,486935,909706,441579,265885,329678,373166,467834,658902,305403,223505,394319,1065717,610184,186792,398048,581234,453934
211.5,0,484148,771656,909428,1613519,1290300,514659,816011,1226692,635956,1511387,991580,616777,413120,499079,487815,1109494,1278812,2822639,1486881,1798524,2302789,4267484,1506999,1153770,368206,281782,771804,590489,766657,928233,285208,642297,235652,465208,616203,499306,367452,480873,652864,436984,945772,1049971,786308,713860,1918724,366294,769495,1035877,1080992,1002976,1553057,934089,1662998,1296112,1201025,606264,588131,973726,1063182,767653,1417898,891727,2001439,1269447,1748326,1125149,1425078,926360,685477,1322343,533916,1521710,2272303,2406928,1810819,2591097,2180339,1513879,1501315,1794697,1095007,2327606,1272188,1800309,2286163,1648615,2972930,2741718,1802469,1221140,1488645,948275,1339094,1049128,984247,212232,272414,174939,568316,23164,502378,374287,699337,614618,190690,488695,227639,537473,69106,503781,236347,444311,268265,81760,617453,574597,166536,709314,343701,100778,222549,221951,291787,95545,557231,705346,501125,918896,431137,250754,331307,368401,457580,611199,302213,202470,389180,954056,607318,187997,387301,564700,453207
212.5,0,495332,736909,903249,1612666,1288738,487293,816131,1204396,655978,1444262,1029159,602994,399020,510654,474570,1083483,1260521,2783393,1473946,1747242,2200530,4152298,1476463,1140342,359417,254931,749945,610666,752396,904137,278399,628255,235253,450654,611839,519339,344622,481891,625949,431130,927361,979571,679367,698592,1749150,337131,725472,1014568,1082775,1036282,1558624,943611,1625622,1270643,1168030,585152,596577,980671,1047278,753028,1377103,881694,2017722,1283154,1730940,1123126,1429845,902524,680053,1263247,576428,1487627,2175907,2336609,1827331,2456371,2158713,1391420,1494806,1819402,1064932,2390049,1264029,1743169,2307441,1604443,2882250,2774123,1793014,1206139,1469177,937501,1256689,1044400,962828,212781,256666,174051,555011,24660,482571,382858,723583,623863,177313,495869,232265,513865,68907,494868,268558,395990,255587,75868,597689,575168,160331,653403,395954,94561,221307,221193,294225,101446,536720,658303,518291,927198,423459,236753,333219,363302,448477,565677,299018,183347,384042,839460,603835,189925,378364,547310,452132
213.5,0,508071,703862,897370,1606785,1286009,461320,816149,1178269,678946,1377765,1067755,590082,385996,523345,462730,1056453,1241990,2741330,1464535,1696201,2098677,4023790,1447526,1122895,353003,232063,728243,632220,737994,879774,273169,614233,236352,436885,606511,540144,323698,482672,600165,427181,906916,909408,582892,681661,1578977,311576,683670,993247,1079439,1062319,1563170,956531,1589282,1246489,1133558,567670,605634,984695,1029979,739334,1335338,871846,2030301,1298909,1711686,1121934,1432568,879189,675492,1202728,624417,1459521,2081440,2268823,1845350,2327489,2133479,1276756,1489531,1838272,1038546,2448709,1258765,1691297,2328015,1561514,2788575,2803168,1784143,1194009,1449114,926191,1177070,1040038,942526,213820,241698,173032,542082,26640,463526,393508,746359,633216,165943,502531,237797,490251,69192,484576,304578,355695,243542,70607,578435,575246,155513,600077,456032,89424,220495,220198,296953,108310,516652,614074,538588,934324,418380,223859,335372,357941,440515,522386,295725,166051,378908,726898,599572,192513,371083,529235,450681
214.5,0,522353,672506,891822,1595903,1282073,436802,815991,1148773,704714,1312393,1106903,577976,374017,536986,452238,1028563,1223351,2696608,1458467,1645596,1998074,3883828,1420055,1101708,348823,212729,706826,655073,723542,855250,269434,600275,238983,423926,600281,561401,304626,483221,575557,425131,884485,840410,496976,663173,1411880,289284,644201,971993,1071044,1080127,1566574,972718,1554089,1223652,1097902,553649,615167,985528,1011394,726607,1293080,862164,2038287,1316554,1690671,1121513,1433125,856310,671758,1141422,678232,1437093,1989290,2203795,1864437,2204852,2104630,1170107,1485272,1850897,1015636,2502921,1256358,1644481,2347607,1520255,2692787,2828158,1775718,1184563,1428552,914359,1101004,1035957,923364,215322,227548,171879,529543,29171,445294,406189,767288,642543,156410,508569,244210,466776,69962,472995,344378,322409,232149,65913,559706,574903,151994,549644,524268,85238,220100,219095,299933,116210,497127,572606,562177,939996,415757,212045,337728,352398,433679,481351,292251,150478,373782,620283,594363,195701,365318,510643,448831
215.5,0,538164,642821,886630,1580122,1276897,413782,815586,1116395,733105,1248580,1146090,566611,363052,551381,443039,999969,1204718,2649412,1455560,1595614,1899505,3734362,1393921,1077118,346765,196526,685807,679130,709125,830668,267124,586421,243196,411797,593213,582754,287336,483543,552153,424979,860142,773404,421369,643276,1250996,269936,607129,950874,1057797,1089010,1568736,992033,1520133,1202117,1061356,542943,625037,982971,991640,714876,1250755,852628,2040826,1335939,1668010,1121800,1431420,833856,668814,1079928,738178,1420079,1899798,2141706,1884132,2088718,2072257,1071517,1481804,1857011,995997,2552052,1256764,1602500,2365935,1481034,2595738,2848437,1767605,1177592,1407582,902042,1029075,1032067,905352,217266,214245,170592,517400,32339,427917,420842,786001,651696,148559,513869,251480,443579,71229,460235,387769,295210,221424,61732,541516,574211,149706,502308,600696,81895,220107,218013,303129,125225,478231,533827,589218,943951,415463,201280,340247,346764,427947,442580,288517,136517,368669,522380,588050,199421,360938,491699,446561
216.5,0,555481,614777,881821,1559617,1270451,392283,814865,1081629,763909,1186697,1184759,555923,353068,566312,435079,970818,1186191,2599951,1455624,1546428,1803672,3577375,1369001,1049509,346740,183101,665282,704275,694818,806122,266177,572712,249058,400513,585378,603819,271748,483650,529967,426728,833993,709093,355551,622147,1098834,253238,572481,929947,1040032,1088586,1569579,1014324,1487485,1181856,1024208,535419,635097,976902,970843,704163,1208735,843218,2037127,1356916,1643828,1122723,1427389,811800,666622,1018802,804480,1408241,1813257,2082696,1903964,1979227,2036532,980885,1478899,1856499,979439,2595519,1259927,1565121,2382715,1444164,2498235,2863395,1759676,1172871,1386282,889293,961700,1028272,888494,219628,201807,169175,505654,36250,411418,437389,802153,660523,142255,518325,259577,420791,73007,446420,434362,273296,211372,58015,523884,573243,148598,458185,684938,79306,220503,217085,306506,135438,460028,497648,619869,945951,417385,191531,342894,341132,423297,406064,284456,124050,363573,434839,580486,203605,357825,472558,443854
217.5,0,574275,588336,877414,1534633,1262709,372316,813765,1044968,796875,1127051,1222321,545847,344032,581529,428308,941251,1167850,2548449,1458466,1498200,1711183,3414829,1345176,1019303,348677,172151,645334,730370,680690,781703,266542,559184,256653,390085,576846,624190,257773,483553,509000,430386,806170,648039,298818,599991,957258,238926,540245,909257,1018197,1078812,1569048,1039416,1456197,1162826,986734,530967,645200,967280,949134,694482,1167340,833914,2026491,1379341,1618258,1124204,1420999,790129,665146,958549,877256,1401368,1729912,2026866,1923452,1876415,1997707,897990,1476329,1849404,965782,2632797,1265783,1532113,2397668,1409910,2401033,2872486,1751813,1170155,1364725,876177,899143,1024471,872786,222388,190241,167635,494302,41028,395811,455725,815430,668863,137382,521834,268466,398529,75319,431683,483544,255984,201994,54722,506826,572074,148633,417309,776104,77395,221274,216440,310031,146932,442569,463967,654270,945787,421420,182764,345635,335599,419699,371781,280009,112960,358500,358348,571539,208174,355867,453366,440698
