particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_after_125_2_1_00,std_after_125_2_1_01,std_after_125_2_1_02,std_after_125_2_2_00,std_after_125_2_2_01,std_after_125_2_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02,std_before_125_2_1_00,std_before_125_2_1_01,std_before_125_2_1_02,std_before_125_2_2_00,std_before_125_2_2_01,std_before_125_2_2_02
85.5,4707074,990774,4599717,1011058,4790631,1752266,8341351,502409,4262949,2751646,6625316,2677965,4454985,8012287,3670832,628149,1893108,4193305,6009816,4036425,10274987,12571038,13095681,9861283
86.5,6718413,1923558,5276659,1683577,5783718,2703730,9628487,1198759,5281613,3665110,8330816,3921155,6900016,9355827,4902359,1072656,2843882,5324989,9126082,6945743,13322805,14912026,16292653,11736474
87.5,9021469,3369271,5980221,2679833,6870921,4011073,10951261,2584483,6407417,4799772,10172300,5598514,10013586,10699131,6443569,1761440,4034417,6572245,12985109,11050174,16349704,17261838,19232855,13717574
88.5,11457158,5359820,6697623,4081471,8029785,5708329,12272011,5018156,7625482,6175167,12073540,7759848,13677942,12025150,8315280,2774743,5447281,7906124,17362555,16287758,19069081,19517130,21699218,15736314
89.5,13830835,7800291,7413933,5949225,9228455,7776871,13549919,8767414,8914583,7799016,13945462,10400773,17657744,13318848,10508764,4184969,7049593,9291807,21878567,22273461,21222943,21573413,23553516,17708629
90.5,15947098,10466562,8112481,8296431,10426256,10125133,14743366,13802497,10245853,9662732,15694671,13438328,21623375,14562796,12973189,6035134,8797613,10689450,26048544,28285636,22626334,23333992,24739807,19540221
91.5,17643681,13055108,8775505,11061130,11575470,12582576,15812365,19645815,11581773,11737800,17232507,16699438,25198463,15733286,15606664,8315090,10639951,12054948,29367123,33386177,23192600,24718130,25270892,21134602
92.5,18815546,15264813,9384998,14086594,12624349,14916091,16720863,25410994,12875983,13973817,18483241,19931288,28022191,16797879,18255228,10943136,12518572,13340865,31404606,36662044,22936094,25667457,25207453,22402656
93.5,19424424,16874205,9923694,17122028,13521163,16869654,17438757,30063925,14074456,16298786,19390384,22836176,29812477,17715064,20723333,13761424,14368098,14497823,31891856,37503683,21955749,26149934,24637406,23272289
94.5,19494080,17784018,10376121,19851784,14218879,18217813,17943485,32784454,15118402,18621940,19920490,25123828,30414966,18436423,22796742,16550662,16114743,15476572,30773296,35799336,20407020,26161063,23659483,23696517
95.5,19095393,18016321,10729605,21951872,14679842,18815980,18221123,33233800,15948986,20839029,20064295,26566405,29825763,18911356,24274818,19063319,17676565,16230789,28215929,31956253,18470655,25722391,22372060,23658549
96.5,18326952,17681673,10975106,23160084,14879757,18630229,18266924,31602027,16513445,22839641,19835404,27039719,28182859,19093872,25005320,21067493,18966461,16720478,24572769,26745493,16325104,24877760,20866537,23172959
97.5,17296324,16934359,11107799,23337242,14810323,17737287,18085290,28453010,16771742,24515868,19267032,26539468,25730019,18950381,24912774,22389120,19898711,16915666,20309800,21050966,14126573,23687941,19223968,22282869
98.5,16105396,15932728,11127311,22497861,14480060,16297306,17689201,24484138,16702505,25771494,18407392,25170689,22764508,18466916,24012557,22940599,20398781,16799875,15914598,15634362,11997855,22224451,17513709,21053798
99.5,14841095,14813173,11037615,20799811,13913193,14511473,17099148,20321455,16306930,26530777,17314431,23117258,19583284,17654023,22406803,22728948,20414883,16372825,11809376,10996230,10024987,20563320,15793198,19565457
100.5,13571192,13678453,10846574,18498706,13146789,12579465,16341666,16410395,15609658,26745909,16050525,20602678,16440380,16547914,20263699,21843667,19928727,15651789,8289411,7351913,8259627,18779455,14108346,17902963
101.5,12344009,12596667,10565228,15885299,12226640,10668119,15447580,12998317,14656227,26402239,14677665,17852916,13522481,15207319,17786357,20430570,18962458,14671194,5499157,4690497,6724799,16942069,12494284,16148850
102.5,11190552,11606171,10206895,13227182,11202580,8895916,14450112,10172533,13507549,25520508,13253506,15068340,10943098,13706527,15179653,18660494,17579295,13480289,3445904,2866616,5421971,15111421,10976352,14376839
103.5,10127810,10722614,9786211,10729972,10123931,7331706,13382996,7916308,12232508,24155540,11828502,12407305,8750855,12126149,12622636,16701057,15876911,12139064,2039429,1684626,4338008,13336895,9571268,12647840
104.5,9162284,9945746,9318191,8522709,9035668,6002732,12278745,6159098,10900153,22391297,10444169,9980429,6945397,10543598,10251154,14696543,13974584,10712900,1140596,955528,3451147,11656320,8288433,11008177
105.5,8293198,9264959,8817411,6663264,7975691,4906571,11167184,4811876,9572903,20332707,9132401,7852769,5494994,9025175,8151737,12757417,11996996,9266708,603520,525033,2735634,10096288,7131286,9489693
106.5,7515141,8663364,8297352,5155228,6973327,4022926,10074347,3787635,8301744,18095290,7915664,6050747,4351894,7621035,6364833,10958246,10058378,7859420,302719,280493,2165011,8673195,6098638,8111179
107.5,6820081,8120655,7769943,3967935,6049002,3323115,9021768,3010915,7123838,15794019,6807832,4571135,3463640,6363389,4893931,9341377,8250362,6539613,144340,146235,1714220,7394739,5185903,6880587
108.5,6198814,7615186,7245286,3054009,5214821,2776587,8026160,2420599,6062362,13533091,5815432,3390244,2780199,5267528,3717002,7923593,6635472,5342789,65663,74685,1360784,6261609,4386171,5797517
109.5,5641942,7125660,6731565,2361986,4475784,2354781,7099456,1969247,5128035,11398021,4939078,2472181,2257662,4334765,2797453,6703483,5246480,4290526,28630,37515,1085315,5269191,3691090,4855638
110.5,5140509,6632755,6235086,1843872,3831291,2032987,6249137,1621008,4321625,9451024,4174925,1775607,1859550,3556259,2092982,5668133,4090361,3391319,12030,18614,871585,4409139,3091550,4044795
111.5,4686369,6120831,5760419,1458715,3276721,1790911,5478763,1349244,3636790,7729898,3516011,1258809,1556676,2916845,1561744,4798437,3154872,2642710,4902,9167,706323,3670739,2578190,3352720
112.5,4272391,5579660,5310608,1173544,2804860,1612504,4788630,1134369,3062744,6249965,2953422,883128,1326289,2398311,1166006,4072922,2415764,2034109,1951,4504,578883,3042015,2141745,2766325
113.5,3892533,5005934,4887411,962855,2407110,1485452,4176465,962074,2586468,5008153,2477237,614930,1150954,1981853,873823,3470229,1843189,1549792,765,2220,480857,2510597,1773282,2272598
114.5,3541847,4404147,4491543,807467,2074404,1400547,3638119,821950,2194364,3988115,2077259,426415,1017436,1649680,659367,2970555,1406516,1171594,298,1105,405691,2064338,1464352,1859191
115.5,3216421,3786411,4122918,693237,1797865,1351061,3168179,706449,1873355,3165373,1743537,295579,915713,1385918,502467,2556349,1077427,881055,116,560,348339,1691752,1207078,1514755
116.5,2913290,3170968,3780852,609879,1569224,1332181,2760508,610110,1611535,2511779,1466731,205641,838159,1176971,387785,2212531,831499,660909,46,290,304962,1382268,994213,1229101
117.5,2630317,2579432,3464251,549992,1381049,1340496,2408669,528990,1398466,1998905,1238316,144210,778886,1011536,303892,1926418,648710,495950,19,155,272675,1126371,819175,993231
118.5,2366058,2033262,3171757,508296,1226843,1373518,2106258,460235,1225253,1600292,1050697,102383,733247,880408,242399,1687502,513243,373399,8,87,249350,915643,676060,799299
119.5,2119613,1550245,2901867,481048,1101049,1429221,1847136,401765,1084465,1292695,897238,73908,697458,776197,197218,1487167,412961,282907,3,51,233462,742745,559642,640532
120.5,1890476,1141834,2653025,465622,998987,1505566,1625582,352041,969989,1056549,772232,54476,668327,693022,163969,1318390,338742,216340,2,32,223966,601351,465357,511117
121.5,1678390,811966,2423690,460189,916773,1599992,1436382,309892,876840,875923,670847,41159,643083,626211,139516,1175473,283842,167457,0,21,220215,486066,389276,406099
122.5,1483215,557487,2212376,463486,851214,1708916,1274865,274400,800987,738173,589040,31986,619285,572048,121627,1053791,243334,131568,0,15,221899,392323,328059,321269
123.5,1304814,369849,2017686,474632,799709,1827257,1136906,244817,739172,633457,523476,25643,594813,527561,108723,949590,213649,105194,0,12,229004,316283,278906,253071
124.5,1142964,237432,1838325,492987,760153,1948105,1018902,220521,688768,554234,471437,21257,567918,490350,99694,859811,192227,85793,0,10,241779,254744,239495,198508
125.5,997301,147814,1673106,518027,730847,2062644,917732,200989,647649,494784,430737,18250,537314,458468,93774,781950,177243,71521,0,9,260718,205040,207922,155068
126.5,867286,89491,1520953,549237,710421,2160460,830712,185794,614081,450802,399649,16242,502281,430323,90449,713945,167410,61052,0,9,286523,164971,182640,120653
127.5,752200,52872,1380890,586014,697770,2230345,755544,174601,586637,419063,376836,14986,462744,404628,89394,654086,161836,53440,0,11,320054,132723,162397,93523
128.5,651164,30607,1252033,627580,691987,2261558,690270,167182,564132,397143,361297,14327,419277,380357,90434,600945,159918,48016,0,13,362234,106806,146190,72238
129.5,563168,17440,1133584,672915,692321,2245431,633226,163429,545559,383207,352320,14176,373032,356734,93508,553321,161263,44313,0,19,413896,86003,133212,55617
130.5,487112,9831,1024813,720714,698120,2176980,583002,163373,530052,375830,349442,14489,325570,333223,98652,510197,165632,42017,0,28,475539,69322,122816,42696
131.5,421849,5512,925056,769381,708801,2056141,538407,167210,516850,373862,352420,15261,278633,309514,105982,470718,172892,40925,0,47,546989,55955,114481,32694
132.5,366229,3091,833698,817067,723803,1888247,498439,175325,505275,376310,361205,16520,233900,285515,115677,434162,182977,40926,0,83,626974,45248,107785,24981
133.5,319133,1745,750167,861761,742562,1683528,462261,188332,494709,382248,375918,18320,192770,261320,127964,399929,195851,41983,0,159,712662,36674,102384,19055
134.5,279507,997,673931,901414,764475,1455680,429179,207109,484591,390740,396832,20747,156222,237174,143095,367536,211473,44123,0,322,799279,29805,97993,14517
135.5,246376,580,604485,934110,788880,1219814,398626,232836,474407,400789,424338,23910,124764,213423,161313,336605,229760,47435,1,683,879986,24300,94380,11050
136.5,218865,346,541354,958231,815036,990278,370147,267015,463694,411306,458919,27947,98466,190459,182813,306868,250555,52069,3,1491,946218,19883,91351,8408
137.5,196202,212,484087,972618,842111,778834,343388,311457,452049,421116,501103,33021,77046,168667,207686,278157,273596,58240,6,3311,988651,16335,88751,6399
138.5,177719,135,432252,976681,869175,593553,318081,368189,439131,428986,551400,39314,59994,148385,235851,250402,298488,66227,16,7360,998803,13480,86456,4872
139.5,162851,90,385440,970454,895212,438520,294037,439248,424680,433699,610227,47029,46679,129867,266987,223621,324692,76379,41,16129,971014,11178,84373,3714
140.5,151134,62,343260,954569,919133,314257,271132,526275,408526,434145,677808,56373,36448,113274,300458,197902,351531,89113,108,34318,904275,9316,82441,2835
141.5,142193,45,305340,930180,939809,218589,249296,629885,390600,429440,754055,67552,28689,98670,335261,173394,378205,104906,292,69840,803239,7807,80625,2168
