particle_size,std_10000_no_1_00,std_10000_no_1_01,std_10000_no_1_02,std_10000_yes_1_00,std_10000_yes_1_01,std_10000_yes_1_02,std_10000_no_2_00,std_10000_no_2_01,std_10000_no_2_02,std_10000_yes_2_00,std_10000_yes_2_01,std_10000_yes_2_02,std_10000_no_3_00,std_10000_no_3_01,std_10000_no_3_02,std_10000_yes_3_00,std_10000_yes_3_01,std_10000_yes_3_02
69.5,2699720,339371,28364,63954,78,487,9437991,2152626,1660901,994,214,53311,990859,62346,185063,243,960,24115
70.5,3278189,500230,64144,120740,276,1741,10381023,2509815,2079598,2920,554,98800,1287367,115598,253611,920,3337,52644
71.5,3954439,721922,137513,218928,917,5694,11428389,2972628,2610198,8012,1432,174249,1644459,205391,343777,3063,10293,107061
72.5,4743051,1021739,279115,381556,2853,17014,12604403,3567008,3278624,20534,3655,292659,2066823,349022,461691,9045,28304,203415
73.5,5659768,1420423,536078,639611,8302,46459,13936350,4324897,4114222,49211,9146,469235,2557950,566676,614849,23956,69788,362625
74.5,6720956,1942557,974329,1031970,22580,116005,15454374,5284691,5149036,110480,22273,720889,3119994,879094,812196,57521,155331,609663
75.5,7942824,2616859,1676947,1603822,57392,265203,17191217,6491263,6416509,232911,52451,1065999,3753738,1304360,1064138,126489,314391,972068
76.5,9340423,3476271,2736665,2403336,136331,556293,19181686,7995238,7949553,462366,118796,1524689,4458675,1854665,1382500,257163,583209,1478178
77.5,10926419,4557703,4242178,3476801,302770,1073891,21461728,9851146,9777961,866890,257591,2119683,5233178,2534170,1780416,487553,999727,2155457
78.5,12709708,5901294,6260173,4863018,629077,1915307,24066958,12114090,11925272,1539750,532805,2877571,6074767,3338778,2272222,868578,1596931,3029146
79.5,14693947,7549012,8817242,6587987,1224138,3170947,27030522,14834586,14405296,2598661,1048401,3830148,6980412,4258001,2873376,1463737,2397138,4121240
80.5,16876136,9542469,11886743,8661004,2234177,4899824,30380193,18051517,17218609,4179376,1958829,5015432,7946877,5278358,3600448,2346770,3409585,5449649
81.5,19245384,11919829,15384759,11072838,3831392,7109476,34134681,21783464,20349450,6422555,3471432,6477916,8971049,6387292,4471195,3597020,4632183,7027349
82.5,21781997,14711794,19176777,13796105,6187247,9749095,38299260,26019277,23763482,9454211,5833223,8267590,10050249,7576612,5504693,5292511,6056617,8861372
83.5,24457031,17936754,23093605,16787374,9432748,12719086,42860959,30709304,27406844,13361905,9296399,10437281,11182486,8844787,6721406,7501182,7674838,10951603
84.5,27232378,21595352,26952677,19990197,13614814,15893080,47783787,35759220,31206840,18170675,14063015,13037860,12366662,10197877,8143078,10271177,9484936,13289462
85.5,30061431,25664911,30579903,23338280,18662441,19143726,53004623,41028539,35074419,23823895,20218264,16111052,13602700,11649256,9792225,13621482,11495013,15856618
86.5,32890287,30094366,33827891,26758240,24375730,22363690,58430569,46335494,38908374,30174205,27670051,19679928,14891606,13218435,11691032,17534346,13724546,18623957
87.5,35659435,34800558,36587882,30171801,30444344,25476917,63938594,51468927,42600944,36988028,36115736,23737727,16235448,14929278,13859442,21950771,16203268,21551004
88.5,38305808,39666793,38794686,33497615,36492131,28439631,69378177,56206371,46044294,43964260,45052114,28236458,17637264,16807801,16312303,26769842,18967860,24585967
89.5,40765093,44544589,40425381,36653104,42135982,31233716,74577357,60335886,49137199,50764331,53832767,33077511,19100880,18879625,19055548,31852059,22056632,27666504
90.5,42974201,49259260,41493502,39556754,47043197,33856184,79352145,63678050,51791224,57048072,61762303,38107033,20630642,21167024,22081563,37026174,25502221,30721226
91.5,44873800,53619537,42040664,42131112,50973750,36308028,83518639,66104220,53935762,62508645,68205285,43118789,22231039,23685525,25364188,42098684,29322280,33671889
92.5,46410840,57430824,42127411,44306510,53800122,38584672,86906688,67547867,55521465,66900535,72683519,47866284,23906218,26440019,28854045,46864975,33508307,36436139
93.5,47541003,60510911,41824580,46025179,55504721,40669259,89373479,68007332,56521828,70056810,74939757,52084146,25659362,29420512,32475210,51121290,38013295,38930685
94.5,48230982,62706361,41206003,47245229,56160433,42529273,90815328,67540213,56932940,71894702,74956627,55516454,27491926,32597804,36124374,54676930,42739741,41074742
95.5,48460473,63907345,40342887,47943795,55902306,44116647,91176094,66251249,56771629,72411064,72932191,57947522,29402726,35919624,39673541,57366244,47530538,42793623
96.5,48223715,64058722,39299903,48118735,54897943,45371223,90451144,64276505,56072407,71670770,69223804,59229378,31386876,39307975,42976909,59059983,52166152,44022366
97.5,47530395,63165564,38132802,47788470,53322012,46227140,88686449,61766864,54883667,69791532,64277093,59300408,33434607,42658576,45881830,59675372,56371687,44709305
98.5,46405741,61292231,36887267,46989898,51337585,46621377,85973125,58873283,53263617,66928074,58556504,58191420,35530015,45843297,48242798,59183928,59836511,44819423
99.5,44889653,58555127,35598715,45774667,49084787,46503210,82438382,55735405,51276335,63257620,52489530,56018232,37649828,48716228,49936524,57615822,62246803,44337317
100.5,43034834,55110333,34292751,44204361,46675778,45843059,78234217,52474105,48988260,58967610,46430562,52962899,39762310,51123543,50875598,55059597,63327832,43269471
101.5,40903981,51138088,32986065,42345309,44194419,44639082,73525359,49187809,46465284,54245750,40644656,49247970,41826495,52916611,51018269,51656447,62889023,41645493
102.5,38566250,46826422,31687573,40263719,41698970,42920232,68477824,45951875,43770518,49272088,35307583,45109029,43791938,53966978,50372542,47589056,60862153,39517951
103.5,36093309,42356131,30399715,38021684,39226380,40745097,63249150,42820179,40962706,44212649,30516728,40770295,45599223,54181187,48993921,43065996,57322892,36960511
104.5,33555370,37888741,29119815,35674387,36797160,38196746,57980956,39827994,38095208,39214371,26307453,36426487,47181456,53513010,46977449,38303611,52488832,34064238
105.5,31017598,33558414,27841479,33268606,34420170,35374586,52794067,36995456,35215440,34401231,22670614,32232278,48466870,51970851,44445739,33507927,46692786,30932200
106.5,28537224,29467964,26555996,30842432,32096932,32384764,47786101,34331081,32364664,29871676,19568429,28298901,49382636,49618751,41535270,28859125,40336485,27672818
107.5,26161578,25688545,25253735,28425941,29825293,29330793,43031156,31834989,29578004,25697524,16947312,24696417,49859731,46570607,38383226,24500565,33834905,24392650
108.5,23927128,22262164,23925513,26042534,27602333,26305757,38581120,29501668,26884633,21924455,14747309,21459593,49838573,42978441,35116615,20533368,27563275,21189468
109.5,21859450,19206031,22563881,23710610,25426516,23386956,34468077,27322209,24308056,18574019,12908432,18595510,49274897,39016699,31844673,17016446,21817124,18146482
110.5,19973982,16517776,21164267,21445272,23299070,20633234,30707327,25286013,21866455,15646925,11374487,16091363,48145198,34865169,28654783,13970976,16791261,15328354
111.5,18277309,14180768,19725906,19259817,21224638,18084713,27300629,23382034,19573084,13127187,10095054,13921463,46450970,30693126,25611512,11387753,12578202,12779358
112.5,16768759,12168972,18252450,17166816,19211264,15764371,24239362,21599623,17436705,10986632,9026218,12052961,44221031,26646808,22758025,9235736,9182107,10523656
113.5,15442072,10451040,16752195,15178678,17269813,13680753,21507396,19929041,15462052,9189297,8130516,10450141,41511411,22841414,20119019,7470399,6541857,8567357
114.5,14286972,8993505,15237855,13307664,15412970,11831170,19083586,18361713,13650323,7695328,7376458,9077410,38402590,19357880,17704386,6040885,4556674,6901786
115.5,13290531,7763103,13725898,11565431,13653994,10204891,16943814,16890299,11999689,6464149,6737847,7901190,34994266,16243832,15512999,4895497,3109172,5507353
116.5,12438253,6728326,12235476,9962225,12005411,8785993,15062609,15508626,10505812,5456796,6193038,6890992,31398219,13517636,13536186,3985442,2082876,4357435
117.5,11714878,5860347,10787063,8505955,10477834,7555696,13414368,14211534,9162353,4637459,5724233,6019896,27730120,11174234,11760687,3267026,1373377,3421840
118.5,11104901,5133465,9400947,7201321,9079042,6494150,11974227,12994682,7961453,3974335,5316837,5264658,24101295,9191602,10170989,2702630,893770,2669599
119.5,10592872,4525224,8095752,6049234,7813412,5581698,10718654,11854344,6894179,3439937,4958902,4605570,20611411,7536885,8751040,2260841,575827,2071002
120.5,10163506,4016295,6887162,5046603,6681731,4799702,9625814,10787213,5950917,3011032,4640648,4026215,17342851,6171631,7485424,1916048,368495,1598898
121.5,9801679,3590243,5786962,4186567,5681353,4131025,8675752,9790237,5121715,2668328,4354061,3513153,14357257,5055867,6360053,1647761,235073,1229386
122.5,9492361,3233209,4802504,3459086,4806637,3560258,7850456,8860497,4396560,2396038,4092564,3055600,11694328,4150959,5362479,1439838,150066,942039
123.5,9220553,2933586,3936591,2851807,4049562,3073769,7133824,7995125,3765599,2181386,3850733,2645112,9372690,3421425,4481923,1279709,96261,719810
124.5,8971283,2681690,3187764,2351019,3400427,2659645,6511570,7191257,3219313,2014122,3624074,2275270,7392392,2835881,3709070,1157689,62315,548738
125.5,8729727,2469462,2550895,1942598,2848544,2307565,5971092,6446021,2748634,1886066,3408839,1941382,5738451,2367357,3035755,1066369,40895,417570
126.5,8481488,2290196,2017976,1612797,2382865,2008645,5501323,5756560,2345037,1790703,3201891,1640171,4384888,1993199,2454565,1000119,27334,317341
127.5,8213060,2138306,1579009,1348848,1992495,1755270,5092567,5120053,2000592,1722822,3000602,1369465,3298739,1694713,1958459,954675,18695,240983
128.5,7912477,2009129,1222865,1139343,1667080,1540935,4736343,4533760,1707992,1678205,2802800,1127877,2443649,1456685,1540453,926797,13146,182965
129.5,7570086,1898755,938069,974420,1397072,1360099,4425232,3995059,1460573,1653361,2606744,914489,1782837,1266864,1193400,913986,9549,138987
130.5,7179369,1803891,713424,845801,1173882,1208055,4152735,3501475,1252305,1645292,2411145,728544,1281298,1115460,909907,914235,7196,105721
131.5,6737681,1721748,538488,746712,989937,1080818,3913145,3050696,1077789,1651284,2215203,569193,907286,994678,682369,925805,5649,80603
132.5,6246757,1649955,403872,671746,838679,975028,3701430,2640583,932228,1668734,2018667,435282,633124,898327,503115,947006,4638,61666
133.5,5712839,1586485,301401,616698,714507,887880,3513139,2269150,811410,1695001,1821888,325235,435498,821468,364619,975985,3995,47405
134.5,5146348,1529602,224155,578393,612700,817049,3344312,1934543,711668,1727292,1625861,237018,295359,760137,259727,1010514,3620,36672
135.5,4561049,1477823,166416,554533,529314,760649,3191416,1634993,629848,1762591,1432217,168193,197561,711105,181874,1047813,3457,28597
136.5,3972805,1429885,123569,543557,461090,717185,3051288,1368773,563267,1797637,1243158,116042,130370,671689,125244,1084407,3484,22520
137.5,3398050,1384723,91957,544529,405351,685529,2921093,1134148,509673,1828966,1061322,77730,84904,639599,84862,1116098,3705,17945
138.5,2852233,1341455,68736,557039,359916,664896,2798302,929322,467206,1853016,889564,50490,54591,612820,56618,1138081,4155,14499
139.5,2348421,1299370,51731,581117,323017,654831,2680674,752406,434353,1866294,730693,31767,34669,589524,37229,1145260,4907,11903
140.5,1896306,1257914,39298,617146,293233,655204,2566251,601394,409917,1865601,587174,19343,21756,568022,24152,1132805,6083,9950
141.5,1501686,1216685,30212,665764,269433,666206,2453363,474155,392976,1848277,460856,11391,13498,546743,15476,1096889,7889,8487
142.5,1166473,1175415,23571,727738,250724,688353,2340640,368447,382854,1812446,352765,6484,8284,524260,9808,1035519,10655,7400
143.5,889138,1133963,18712,803804,236414,722478,2227016,281950,379088,1757221,263004,3566,5032,499339,6157,949263,14902,6609
144.5,665458,1092295,15156,894452,225981,769718,2111750,212310,381399,1682831,190776,1896,3027,471024,3833,841634,21447,6054
145.5,489403,1050468,12559,999665,219049,831470,1994421,157199,389659,1590640,134527,974,1805,438733,2371,718937,31543,5695
