particle_size,1_25_1_00,1_25_1_01,1_25_1_02,1_25_2_00,1_25_2_01,1_25_2_02,2_25_1_00,2_25_1_01,2_25_1_02,2_25_2_00,2_25_2_01,2_25_2_02,3_25_1_00,3_25_1_01,3_25_1_02,3_25_2_00,3_25_2_01,3_25_2_02,4_25_1_00,4_25_1_01,4_25_1_02,4_25_2_00,4_25_2_01,4_25_2_02
133.5,0,842186,1382029,2328612,3561407,3200495,994712,900219,631325,3055056,2705854,1718092,2091677,1431267,1548645,1913810,2679729,2555704,3482261,5207686,5229028,3472966,6673413,3277122
134.5,0,880553,1352602,2383662,3563553,3075989,971447,897192,725710,2813416,2616357,1669420,2084573,1434059,1601203,1889746,2662526,2510815,3592255,5076246,5330955,3382605,6776862,3263471
135.5,0,926193,1327447,2440059,3554795,2953080,950459,897370,832458,2569047,2511589,1624785,2068135,1436351,1654512,1865168,2630949,2455398,3708045,4930537,5425945,3302102,6862908,3258641
136.5,0,979160,1306432,2497739,3535500,2835029,932025,900912,951645,2329948,2394718,1584607,2042969,1438150,1707084,1840240,2585698,2389998,3828307,4773527,5512865,3230477,6929839,3262588
137.5,0,1039454,1289425,2556583,3506071,2724367,916334,907922,1082826,2102365,2269097,1549194,2009916,1439472,1757417,1815141,2527879,2315479,3951510,4608277,5590553,3166917,6976083,3275191
138.5,0,1106992,1276300,2616395,3466940,2622939,903501,918450,1224930,1890761,2138055,1518758,1970001,1440341,1804055,1790069,2458934,2232982,4075942,4437835,5657861,3110784,7000254,3296253
139.5,0,1181580,1266939,2676887,3418567,2531983,893583,932494,1376176,1697955,2004725,1493417,1924377,1440789,1845666,1765237,2380552,2143872,4199734,4265133,5713696,3061608,7001201,3325514
140.5,0,1262886,1261233,2737668,3361445,2452222,886584,949998,1534037,1525365,1871912,1473214,1874264,1440853,1881098,1740872,2294579,2049665,4320902,4092913,5757063,3019080,6978060,3362641
141.5,0,1350419,1259082,2798238,3296100,2383957,882465,970853,1695252,1373295,1742005,1458121,1820897,1440577,1909447,1717208,2202926,1951954,4437407,3923657,5787110,2983036,6930303,3407238
142.5,0,1443513,1260396,2857975,3223106,2327154,881154,994892,1855917,1241245,1616939,1448055,1765478,1440002,1930092,1694484,2107482,1852340,4547210,3759550,5803168,2953438,6857785,3458840
143.5,0,1541315,1265088,2916148,3143082,2281515,882546,1021889,2011641,1128175,1498192,1442881,1709136,1439174,1942720,1672932,2010044,1752362,4648346,3602454,5804783,2930350,6760783,3516913
144.5,0,1642790,1273076,2971914,3056703,2246539,886511,1051557,2157767,1032742,1386812,1442420,1652899,1438136,1947327,1652776,1912262,1653441,4738994,3453903,5791746,2913917,6640019,3580858
145.5,0,1746724,1284278,3024341,2964699,2221564,892896,1083546,2289643,953478,1283463,1446456,1597675,1436930,1944199,1634224,1815594,1556841,4817542,3315117,5764102,2904338,6496670,3650004
146.5,0,1851751,1298608,3072427,2867851,2205799,901524,1117444,2402923,888929,1188484,1454735,1544243,1435594,1933876,1617464,1721288,1463639,4882649,3187017,5722163,2901844,6332357,3723616
147.5,0,1956383,1315972,3115128,2766989,2198343,912200,1152782,2493857,837743,1101952,1466967,1493247,1434161,1917101,1602658,1630370,1374712,4933294,3070263,5666499,2906674,6149111,3800894
148.5,0,2059045,1336268,3151396,2662979,2198200,924710,1189038,2559550,798733,1023740,1482829,1445207,1432661,1894762,1589940,1543646,1290737,4968813,2965278,5597917,2919052,5949329,3880980
149.5,0,2158124,1359376,3180217,2556712,2204290,938823,1225649,2598155,770909,953576,1501960,1400522,1431118,1867837,1579412,1461718,1212200,4988909,2872294,5517441,2939163,5735702,3962962
150.5,0,2252019,1385162,3200652,2449086,2215449,954295,1262021,2608982,753491,891088,1523963,1359486,1429551,1837335,1571144,1385005,1139413,4993660,2791382,5426275,2967139,5511134,4045887
151.5,0,2339191,1413470,3211885,2340994,2230450,970871,1297547,2592515,745916,835846,1548405,1322295,1427973,1804247,1565171,1313760,1072537,4983494,2722483,5325762,3003032,5278651,4128770
152.5,0,2418208,1444121,3213257,2233299,2248006,988286,1331625,2550331,747826,787392,1574813,1289070,1426393,1769506,1561494,1248103,1011606,4959161,2665441,5217345,3046796,5041310,4210602
153.5,0,2487795,1476911,3204304,2126824,2266797,1006275,1363671,2484942,759060,745267,1602676,1259859,1424813,1733957,1560079,1188039,956555,4921688,2620021,5102519,3098270,4802105,4290372
154.5,0,2546869,1511608,3184785,2022333,2285492,1024575,1393143,2399586,779634,709028,1631446,1234657,1423230,1698334,1560857,1133490,907239,4872322,2585934,4982793,3157157,4563882,4367076
155.5,0,2594563,1547958,3154694,1920519,2302778,1042928,1419557,2297973,809716,678260,1660540,1213413,1421633,1663250,1563722,1084307,863459,4812476,2562842,4859649,3223010,4329273,4439735
156.5,0,2630250,1585675,3114271,1821993,2317401,1061091,1442498,2184037,849599,652588,1689348,1196039,1420009,1629195,1568536,1040300,824981,4743670,2550369,4734507,3295216,4100635,4507407
157.5,0,2653551,1624453,3063991,1727280,2328203,1078838,1461638,2061699,899661,631678,1717232,1182414,1418334,1596532,1575128,1001243,791549,4667470,2548105,4608701,3372987,3880015,4569210
158.5,0,2664331,1663961,3004551,1636814,2334162,1095967,1476737,1934669,960320,615242,1743541,1172394,1416582,1565506,1583293,966894,762904,4585442,2555600,4483454,3455355,3669128,4624326
159.5,0,2662694,1703849,2936836,1550938,2334429,1112302,1487651,1806295,1031968,603039,1767617,1165812,1414715,1536255,1592796,937004,738788,4499107,2572360,4359862,3541177,3469351,4672023
160.5,0,2648961,1743755,2861888,1469907,2328361,1127698,1494331,1679461,1114904,594874,1788810,1162478,1412692,1508815,1603372,911325,718952,4409902,2597839,4238887,3629146,3281736,4711660
161.5,0,2623652,1783304,2780864,1393894,2315543,1142041,1496819,1556535,1209245,590597,1806489,1162185,1410463,1483137,1614730,889613,703166,4319157,2631425,4121353,3717816,3107030,4742701
162.5,0,2587460,1822120,2694987,1322999,2295797,1155252,1495235,1439362,1314829,590100,1820060,1164705,1407969,1459095,1626555,871635,691218,4228072,2672432,4007944,3805630,2945708,4764715
163.5,0,2541216,1859825,2605510,1257254,2269190,1167280,1489776,1329286,1431115,593316,1828983,1169792,1405146,1436497,1638510,857171,682913,4137709,2720085,3899209,3890970,2798003,4777389
164.5,0,2485866,1896053,2513668,1196633,2236012,1178108,1480695,1227203,1557084,600214,1832787,1177175,1401921,1415102,1650246,846014,678081,4048986,2773512,3795574,3972204,2663956,4780522
165.5,0,2422434,1930449,2420645,1141067,2196761,1187745,1468292,1133622,1691151,610796,1831090,1186565,1398213,1394624,1661399,837972,676566,3962678,2831733,3697343,4047749,2543446,4774033
166.5,0,2351999,1962677,2327546,1090446,2152103,1196220,1452903,1048732,1831110,625093,1823610,1197648,1393938,1374750,1671601,832866,678234,3879426,2893661,3604718,4116131,2436235,4757949
167.5,0,2275664,1992427,2235369,1044634,2102843,1203583,1434882,972479,1974116,643161,1810180,1210088,1389004,1355147,1680486,830529,682962,3799739,2958099,3517802,4176047,2342000,4732410
168.5,0,2194534,2019416,2144992,1003474,2049871,1209898,1414593,904623,2116722,665071,1790761,1223531,1383316,1335475,1687694,830806,690639,3724014,3023751,3436617,4226420,2260366,4697656
169.5,0,2109690,2043393,2057165,966797,1994132,1215233,1392401,844801,2254982,690910,1765439,1237601,1376775,1315401,1692883,833552,701162,3652538,3089238,3361111,4266444,2190931,4654021
170.5,0,2022179,2064143,1972505,934427,1936576,1219663,1368660,792570,2384614,720768,1734436,1251907,1369284,1294607,1695729,838627,714432,3585511,3153115,3291168,4295618,2133294,4601926
171.5,0,1932987,2081483,1891502,906190,1878127,1223258,1343708,747451,2501232,754731,1698096,1266050,1360744,1272804,1695940,845899,730349,3523050,3213908,3226622,4313759,2087066,4541866
172.5,0,1843038,2095269,1814520,881913,1819656,1226083,1317863,708956,2600607,792871,1656881,1279622,1351061,1249741,1693260,855239,748807,3465204,3270142,3167260,4321005,2051890,4474401
173.5,0,1753177,2105392,1741815,861431,1761953,1228191,1291417,676608,2678957,835239,1611355,1292223,1340147,1225215,1687472,866516,769694,3411967,3320388,3112835,4317793,2027444,4400143
174.5,0,1664165,2111776,1673539,844592,1705718,1229623,1264638,649963,2733221,881848,1562165,1303459,1327921,1199083,1678409,879603,792883,3363284,3363303,3063066,4304833,2013452,4319746
175.5,0,1576680,2114381,1609758,831251,1651548,1230401,1237765,628611,2761286,932668,1510020,1312961,1314315,1171261,1665954,894365,818230,3319061,3397674,3017651,4283055,2009686,4233896
176.5,0,1491306,2113196,1550462,821280,1599935,1230532,1211010,612191,2762150,987608,1455663,1320385,1299270,1141733,1650043,910667,845574,3279173,3422459,2976267,4253565,2015960,4143295
177.5,0,1408544,2108236,1495580,814560,1551270,1230002,1184560,600385,2735982,1046510,1399857,1325427,1282745,1110551,1630670,928362,874728,3243471,3436827,2938576,4217581,2032133,4048655
