particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02
233.5,0,0,2822,0,72057,0,0,0,0,12,0,0
234.5,0,0,2289,0,69236,0,0,0,0,5,0,0
235.5,0,0,1851,0,65104,0,0,0,0,2,0,0
236.5,0,0,1495,0,59901,0,0,0,0,0,0,0
237.5,0,0,1205,0,53922,0,0,0,0,0,0,0
238.5,0,0,970,0,47485,0,0,0,0,0,0,0
239.5,0,0,781,0,40907,0,0,0,0,0,0,0
240.5,0,0,628,0,34474,0,0,0,0,0,0,0
241.5,0,0,505,0,28421,0,0,0,0,0,0,0
242.5,0,0,406,0,22924,0,0,0,0,0,0,0
243.5,0,0,326,0,18091,0,0,0,0,0,0,0
244.5,0,0,263,0,13971,0,0,0,0,0,0,0
245.5,0,0,212,0,10559,0,0,0,0,0,0,0
246.5,0,0,171,0,7812,0,0,0,0,0,0,0
247.5,0,0,138,0,5658,0,0,0,0,0,0,0
248.5,0,0,112,0,4014,0,0,0,0,0,0,0
249.5,0,0,91,0,2789,0,0,0,0,0,0,0
250.5,0,0,74,0,1899,0,0,0,0,0,0,0
251.5,0,0,60,0,1267,0,0,0,0,0,0,0
252.5,0,0,49,0,829,0,0,0,0,0,0,0
253.5,0,0,40,0,532,0,0,0,0,0,0,0
254.5,0,0,33,0,335,0,0,0,0,0,0,0
255.5,0,0,27,0,207,0,0,0,0,0,0,0
256.5,0,0,22,0,126,0,0,0,0,0,0,0
257.5,0,0,18,0,75,0,0,0,0,0,0,0
258.5,0,0,15,0,44,0,0,0,0,0,0,0
259.5,0,0,13,0,25,0,0,0,0,0,0,0
260.5,0,0,11,0,14,0,0,0,0,0,0,0
261.5,0,0,9,0,8,0,0,0,0,0,0,0
262.5,0,0,7,0,4,0,0,0,0,0,0,0
263.5,0,0,6,0,2,0,0,0,0,0,0,0
264.5,0,0,5,0,1,0,0,0,0,0,0,0
265.5,0,0,4,0,0,0,0,0,0,0,0,0
266.5,0,0,4,0,0,0,0,0,0,0,0,0
267.5,0,0,3,0,0,0,0,0,0,0,0,0
268.5,0,0,3,0,0,0,0,0,0,0,0,0
269.5,0,0,2,0,0,0,0,0,0,0,0,0
270.5,0,0,2,0,0,0,0,0,0,0,0,0
271.5,0,0,2,0,0,0,0,0,0,0,0,0
272.5,0,0,1,0,0,0,0,0,0,0,0,0
273.5,0,0,1,0,0,0,0,0,0,0,0,0
274.5,0,0,0,0,0,0,0,0,0,0,0,0
