NTA Experiment Summary File
65.5,8979,11241,156,1504,1243,4625,2279,
66.5,17513,19587,410,2871,2310,8538,4121,
67.5,32013,32774,1024,5377,4223,15082,7104,
68.5,55202,52781,2427,9856,7583,25570,11672,
69.5,90334,82004,5477,17656,13343,41763,18281,
70.5,141045,123206,11806,30868,22953,65976,27321,
71.5,211130,179422,24366,52601,38523,101208,38985,
72.5,304272,253839,48230,87271,62960,151315,53123,
73.5,423737,349654,91669,140848,100054,221193,69077,
74.5,572074,469928,167422,220944,154438,316961,85579,
75.5,750859,617442,293916,336657,231399,446055,100864,
76.5,960522,794559,495958,498024,336522,617117,113360,
77.5,1200293,1003092,804226,715052,475189,839570,123772,
78.5,1468293,1244166,1252797,996323,652023,1122720,139395,
79.5,1761765,1518075,1874193,1347364,870365,1474353,176822,
80.5,2077428,1824127,2692102,1769048,1131887,1898918,252171,
81.5,2411886,2160485,3712910,2256405,1436381,2395613,369481,
82.5,2762053,2524024,4918187,2798191,1781755,2956842,523362,
83.5,3125505,2910220,6260768,3377418,2164166,3567616,703084,
84.5,3500732,3313118,7666557,3972850,2578257,4206303,893700,
85.5,3887240,3725391,9042727,4561226,3017403,4846798,1077320,
86.5,4285517,4138552,10290902,5119793,3473948,5461743,1235382,
87.5,4696864,4543296,11322235,5628670,3939412,6026095,1351422,
88.5,5123125,4929989,12070622,6072638,4404681,6520211,1413568,
89.5,5566344,5289258,12500971,6442118,4860232,6931784,1416144,
90.5,6028377,5612632,12611113,6733282,5296409,7256362,1360114,
91.5,6510488,5893141,12427848,6947447,5703795,7496544,1252526,
92.5,7012950,6125826,11998975,7089982,6073647,7660276,1105453,
93.5,7534661,6308050,11383753,7168986,6398390,7758768,935248,
94.5,8072820,6439615,10643943,7194002,6672092,7804494,763296,
95.5,8622655,6522639,9836860,7174896,6890864,7809583,619437,
96.5,9177258,6561244,9010979,7121015,7053112,7784722,543853,
97.5,9727538,6561090,8203986,7040627,7159608,7738570,564862,
98.5,10262327,6528838,7442716,6940632,7213348,7677572,663863,
99.5,10768658,6471599,6744329,6826479,7219241,7606061,799656,
100.5,11232230,6396429,6118107,6702242,7183651,7526532,943133,
101.5,11638046,6309917,5567403,6570800,7113869,7440007,1078637,
102.5,11971223,6217871,5091449,6434066,7017583,7346438,1197661,
103.5,12217907,6125125,4686876,6293236,6902393,7245107,1295206,
104.5,12366244,6035428,4348892,6149037,6775417,7135004,1368188,
105.5,12407325,5951433,4072135,6001940,6643007,7015168,1414805,
106.5,12336003,5874727,3851260,5852337,6510570,6884979,1434299,
