particle_size,sample,filter,dilution_factor,tech_rep,values
166.5,mG15.5,yes,500,00,0
167.5,mG15.5,yes,500,00,0
168.5,mG15.5,yes,500,00,0
169.5,mG15.5,yes,500,00,0
170.5,mG15.5,yes,500,00,0
171.5,mG15.5,yes,500,00,0
172.5,mG15.5,yes,500,00,0
173.5,mG15.5,yes,500,00,0
174.5,mG15.5,yes,500,00,0
175.5,mG15.5,yes,500,00,0
176.5,mG15.5,yes,500,00,0
177.5,mG15.5,yes,500,00,0
178.5,mG15.5,yes,500,00,0
179.5,mG15.5,yes,500,00,0
180.5,mG15.5,yes,500,00,0
181.5,mG15.5,yes,500,00,0
182.5,mG15.5,yes,500,00,0
183.5,mG15.5,yes,500,00,0
184.5,mG15.5,yes,500,00,0
185.5,mG15.5,yes,500,00,0
186.5,mG15.5,yes,500,00,0
187.5,mG15.5,yes,500,00,0
188.5,mG15.5,yes,500,00,0
189.5,mG15.5,yes,500,00,0
190.5,mG15.5,yes,500,00,0
191.5,mG15.5,yes,500,00,0
192.5,mG15.5,yes,500,00,0
193.5,mG15.5,yes,500,00,0
194.5,mG15.5,yes,500,00,0
195.5,mG15.5,yes,500,00,0
196.5,mG15.5,yes,500,00,0
197.5,mG15.5,yes,500,00,0
198.5,mG15.5,yes,500,00,0
199.5,mG15.5,yes,500,00,0
200.5,mG15.5,yes,500,00,0
201.5,mG15.5,yes,500,00,0
202.5,mG15.5,yes,500,00,0
203.5,mG15.5,yes,500,00,0
204.5,mG15.5,yes,500,00,0
205.5,mG15.5,yes,500,00,0
206.5,mG15.5,yes,500,00,0
207.5,mG15.5,yes,500,00,0
208.5,mG15.5,yes,500,00,0
209.5,mG15.5,yes,500,00,0
210.5,mG15.5,yes,500,00,0
211.5,mG15.5,yes,500,00,0
212.5,mG15.5,yes,500,00,0
213.5,mG15.5,yes,500,00,0
214.5,mG15.5,yes,500,00,0
215.5,mG15.5,yes,500,00,0
216.5,mG15.5,yes,500,00,0
217.5,mG15.5,yes,500,00,0
218.5,mG15.5,yes,500,00,0
219.5,mG15.5,yes,500,00,0
220.5,mG15.5,yes,500,00,0
221.5,mG15.5,yes,500,00,0
222.5,mG15.5,yes,500,00,0
223.5,mG15.5,yes,500,00,0
224.5,mG15.5,yes,500,00,0
225.5,mG15.5,yes,500,00,0
226.5,mG15.5,yes,500,00,0
227.5,mG15.5,yes,500,00,0
228.5,mG15.5,yes,500,00,0
229.5,mG15.5,yes,500,00,0
230.5,mG15.5,yes,500,00,0
231.5,mG15.5,yes,500,00,0
232.5,mG15.5,yes,500,00,0
233.5,mG15.5,yes,500,00,0
234.5,mG15.5,yes,500,00,0
235.5,mG15.5,yes,500,00,0
236.5,mG15.5,yes,500,00,0
237.5,mG15.5,yes,500,00,0
238.5,mG15.5,yes,500,00,0
239.5,mG15.5,yes,500,00,0
240.5,mG15.5,yes,500,00,0
241.5,mG15.5,yes,500,00,0
242.5,mG15.5,yes,500,00,0
243.5,mG15.5,yes,500,00,0
244.5,mG15.5,yes,500,00,0
245.5,mG15.5,yes,500,00,0
246.5,mG15.5,yes,500,00,0
247.5,mG15.5,yes,500,00,0
248.5,mG15.5,yes,500,00,0
249.5,mG15.5,yes,500,00,0
250.5,mG15.5,yes,500,00,0
251.5,mG15.5,yes,500,00,0
252.5,mG15.5,yes,500,00,0
253.5,mG15.5,yes,500,00,0
254.5,mG15.5,yes,500,00,0
255.5,mG15.5,yes,500,00,0
256.5,mG15.5,yes,500,00,0
257.5,mG15.5,yes,500,00,0
258.5,mG15.5,yes,500,00,0
259.5,mG15.5,yes,500,00,0
260.5,mG15.5,yes,500,00,0
261.5,mG15.5,yes,500,00,0
262.5,mG15.5,yes,500,00,0
263.5,mG15.5,yes,500,00,0
264.5,mG15.5,yes,500,00,0
265.5,mG15.5,yes,500,00,0
266.5,mG15.5,yes,500,00,0
267.5,mG15.5,yes,500,00,0
268.5,mG15.5,yes,500,00,0
269.5,mG15.5,yes,500,00,0
270.5,mG15.5,yes,500,00,0
271.5,mG15.5,yes,500,00,0
272.5,mG15.5,yes,500,00,0
273.5,mG15.5,yes,500,00,0
274.5,mG15.5,yes,500,00,0
275.5,mG15.5,yes,500,00,0
276.5,mG15.5,yes,500,00,0
277.5,mG15.5,yes,500,00,0
278.5,mG15.5,yes,500,00,0
279.5,mG15.5,yes,500,00,0
280.5,mG15.5,yes,500,00,0
281.5,mG15.5,yes,500,00,0
282.5,mG15.5,yes,500,00,0
283.5,mG15.5,yes,500,00,0
284.5,mG15.5,yes,500,00,0
285.5,mG15.5,yes,500,00,0
